sample	quantile	ii_bytes	wall_ns	user_ns	system_ns	return_code	status
size_q00	0.0	617	468546000	35824000	143296000	0	complete
size_q10	0.1	949211	579389000	290652000	105692000	0	complete
size_q20	0.2	1673004	617335000	535694000	43975000	0	complete
size_q30	0.3	2315195	678948000	591555000	47642000	0	complete
size_q40	0.4	2786250	1371349000	1251331000	87394000	0	complete
size_q50	0.5	3626741	2171109000	2010771000	100138000	0	complete
size_q60	0.6	5016594	4119461000	3751951000	187998000	0	complete
size_q70	0.7	6969466	4848078000	4541515000	203173000	0	complete
size_q80	0.8	10946453	5736933000	5393281000	263281000	1	early-error
accessible_aom		11581248	8231200000			0	complete
size_q90	0.9	16039436	11050109000	10421283000	558996000	1	early-error
size_q100	1.0	26437462	23276600000	21890632000	1259002000	1	early-error
