id	name	TUs	raw	wp_z19	P29_bytes	P29_xz19	tier	grz_bytes	grz_xz19	C_MBps	F_MBps	exact	PASS	maxcomp_xz19
corpus	llvm	1238	3620271340	7296438	9328055	1.2784	M	6155748	0.8437	2802.2	1463.6	YES	PASS	0.8096
corpus2	rocksdb	622	3114320596	6199621	9823481	1.5845	M	4748156	0.7659	1828.3	1402.8	YES	PASS	0.7142
corpus3	duckdb	689	1985715205	7086957	9589726	1.3532	M	-	0.8599	1440.5	1291.1	YES	PASS	0.8032
corpus4	abseil	700	2581008467	4020529	5863183	1.4583	M	3092778	0.7692	2317.3	1511.6	YES	PASS	0.7190
corpus5	opencv	1506	4630994774	6291678	8563234	1.3610	M	5370560	0.8536	2754.1	1497.5	YES	PASS	0.8079
corpus6	godot	2207	5932762185	57718953	39589524	0.6859	M	-	0.8667	1128.9	1228.1	YES	PASS	0.8437
corpus7	fmt	50	136350082	735266	1046398	1.4232	S	-	0.9893	1229.1	1262.5	YES	PASS	0.8653
corpus8	spdlog	34	98384472	469519	539513	1.1491	S	-	0.9712	1332.8	1180.2	YES	PASS	0.8990
corpus9	catch2	857	947252235	800649	1006039	1.2565	M	599895	0.7493	2697.4	1444.0	YES	PASS	0.7173
corpus10	json	99	293917707	805297	1168818	1.4514	M	-	0.9379	1270.6	1179.2	YES	PASS	0.8943
corpus11	range-v3	259	632049016	740552	874082	1.1803	M	615713	0.8314	2336.3	1458.1	YES	PASS	0.7765
corpus12	eigen	650	3532268956	1241062	1377958	1.1103	M	863115	0.6955	4418.5	1536.6	YES	PASS	0.6696
corpus13	re2	72	110231455	427825	488243	1.1412	S	-	0.9711	1478.6	1254.5	YES	PASS	0.9055
corpus14	leveldb	72	143868249	549315	685350	1.2476	S	-	0.9500	1562.7	1309.2	YES	PASS	0.8610
corpus15	simdjson	153	468377342	1018122	1408595	1.3835	M	-	0.9487	1839.7	1337.8	YES	PASS	0.9057
corpus16	cereal	84	326899429	471206	512588	1.0878	M	-	0.8974	1687.0	1247.0	YES	PASS	0.8694
corpus17	corpus17	780	2542399239	11644348	-	-	M	-	0.9085	1328.4	1371.4	YES	PASS	0.8581
corpus19	corpus19	1205	7050790103	8912186	-	-	M	6741617	0.7564	3085.0	1550.1	YES	PASS	0.7270
corpus21	corpus21	1742	10802074073	9577844	-	-	M	6766847	0.7065	3343.3	1556.0	YES	PASS	0.6719
corpus22	corpus22	364	1514916526	2216220	-	-	M	1943021	0.8767	2882.6	1493.3	YES	PASS	0.8415
corpus23	corpus23	297	916009779	2160222	-	-	M	-	0.8938	2126.5	1377.0	YES	PASS	0.8559
corpus24	corpus24	621	2311143894	3158310	-	-	M	2653086	0.8400	2903.2	1553.5	YES	PASS	0.8016
