corpus	config	raw	comp	enc_s	enc_MBps	dec_s	dec_MBps
fmt	zstd-12-long31	136350082	849916	0.61	212.6	0.22	579.3
fmt	zstd-12-long31-T0	136350082	849916	0.57	226.2	0.23	564.8
fmt	zstd-15-long31	136350082	831880	1.75	74.5	0.23	566.4
fmt	zstd-15-long31-T0	136350082	831880	0.64	204.3	0.24	553.1
abseil	zstd-12-long31	2147483647	4870629	8.90	276.6	3.98	618.2
abseil	zstd-12-long31-T0	2147483647	4870629	9.65	255.0	3.92	628.5
abseil	zstd-15-long31	2147483647	4777490	25.05	98.3	3.85	639.4
abseil	zstd-15-long31-T0	2147483647	4777490	8.64	285.0	3.89	632.2
rocksdb	zstd-12-long31	2147483647	7605543	10.53	281.9	4.52	656.5
rocksdb	zstd-12-long31-T0	2147483647	7605543	11.90	249.7	4.45	668.1
rocksdb	zstd-15-long31	2147483647	7450595	32.05	92.7	4.57	649.6
rocksdb	zstd-15-long31-T0	2147483647	7450595	11.26	263.8	4.54	653.5
fmt	zstd-19-long31	136350082	735266	8.97	14.5	0.23	566.6
fmt	zstd-19-long31-T0	136350082	735266	4.37	29.8	0.25	528.4
abseil	zstd-19-long31	2147483647	4020529	148.34	16.6	4.01	614.5
abseil	zstd-19-long31-T0	2147483647	4020529	29.99	82.1	4.01	613.3
rocksdb	zstd-19-long31	2147483647	6199621	217.03	13.7	4.62	642.9
rocksdb	zstd-19-long31-T0	2147483647	6199621	47.16	63.0	4.57	650.6
fmt	zstd-3-long31	136350082	1033609	0.46	281.7	0.23	556.8
fmt	zstd-6-long31	136350082	937232	0.48	272.6	0.22	578.3
fmt	zstd-9-long31	136350082	868619	0.55	238.1	0.23	561.2
abseil	zstd-3-long31	2147483647	5798399	8.39	293.4	3.91	629.3
abseil	zstd-6-long31	2147483647	5361930	8.57	287.2	3.87	635.3
abseil	zstd-9-long31	2147483647	5027982	9.00	273.5	3.90	631.0
rocksdb	zstd-3-long31	2147483647	9014841	9.63	308.4	4.50	659.6
rocksdb	zstd-6-long31	2147483647	8376924	9.79	303.3	4.47	664.0
rocksdb	zstd-9-long31	2147483647	7823277	10.09	294.4	4.54	653.9
DONE_BASELINE
