corpus	tus	shards	wire	cf_total	fc_total	carry	cf_root	cf_fill	cf_control	fc_need	fc_control	missing	split_ok	dir_ok
corpus16	84	1	1120409	1108638	11577	194	376533	731601	504	10065	1512	5187	84/84	84/84
corpus16	84	30	20217591	19969165	242606	5820	623699	19344962	504	241094	1512	134260	84/84	84/84
corpus11	259	1	1820664	1794099	26370	195	682111	1110303	1685	21446	4924	10451	259/259	259/259
corpus11	259	30	18524428	18276808	241770	5850	1296932	16978191	1685	236846	4924	131651	259/259	259/259
corpus9	857	1	2384393	2304142	80056	195	1134676	1163595	5871	63172	16884	30135	857/857	857/857
corpus9	857	30	19078143	18790157	282136	5850	2198732	16585554	5871	265252	16884	145502	857/857	857/857
corpus3	689	1	13089408	12614499	474714	195	3088872	9520932	4695	461190	13524	210074	689/689	689/689
corpus3	689	30	55090705	54132079	952776	5850	4444351	49683033	4695	939252	13524	465872	689/689	689/689
corpus2	622	1	15692955	14336905	1355855	195	6402651	7930028	4226	1343671	12184	641506	622/622	622/622
corpus2	622	30	54028700	51995991	2026859	5850	7994812	43996953	4226	2014675	12184	960602	622/622	622/622
corpus12	650	1	3289527	3246460	42872	195	1362464	1879574	4422	30128	12744	13156	650/650	650/650
corpus12	650	30	42029723	41508730	515143	5850	8089346	33414962	4422	502399	12744	270823	650/650	650/650
corpus	1238	1	14614029	14439885	173949	195	4407729	10023618	8538	149445	24504	62318	1238/1238	1238/1238
corpus	1238	30	68150955	67340529	804576	5850	7250759	60081232	8538	780072	24504	390328	1238/1238	1238/1238
corpus6	2207	1	62871696	62579277	292224	195	3984833	58579123	15321	248340	43884	102838	2207/2207	2207/2207
corpus6	2207	30	157822682	156562092	1254740	5850	8584758	147962013	15321	1210856	43884	584043	2207/2207	2207/2207
