logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
0	0	0	1836	743	987683	1836	743	20	20	653	24	26	1	12	1	77	110	451	1	1	11	20	653	6	679	20	18	38	1
1	1	1	3726840	660334	56093751	3728676	661077	8499	8213	643572	24	26	1	8411	80	4073	132004	507476	1	1	4567	8499	643572	6	652077	8213	18	8231	1
2	2	2	3341805	601944	46494344	7070481	1263021	8137	7659	586098	24	26	1	177	7951	4113	124939	457026	1	1	4270	8137	586098	6	594241	7659	18	7677	1
3	3	3	3871485	677176	62055902	10941966	1940197	8746	8266	660114	24	26	1	454	8283	4231	139510	516353	1	1	4576	8746	660114	6	668866	8266	18	8284	1
4	4	4	2894389	528055	48838649	13836355	2468252	7231	6506	514268	24	26	1	529	6693	4258	111106	398884	1	1	3675	7231	514268	6	521505	6506	18	6524	1
5	5	5	3910918	683320	62454859	17747273	3151572	8923	8280	666067	24	26	1	241	8673	4325	142418	519304	1	1	4576	8923	666067	6	674996	8280	18	8298	1
6	6	6	3977380	699077	61800383	21724653	3850649	9149	8447	681431	24	26	1	479	8661	4411	144418	532582	1	1	4652	9149	681431	6	690586	8447	18	8465	1
7	7	7	4423246	781127	68627169	26147899	4631776	9695	9105	762277	24	26	1	654	9032	4652	157565	600040	1	1	5001	9695	762277	6	771978	9105	18	9123	1
8	8	8	3224620	594422	54479042	29372519	5226198	7835	7481	579056	24	26	1	707	7119	4908	126863	447265	1	1	4165	7835	579056	6	586897	7481	18	7499	1
9	9	9	3022248	552491	50278260	32394767	5778689	7396	6992	538053	24	26	1	379	7008	4961	121085	411987	1	1	3893	7396	538053	6	545455	6992	18	7010	1
10	10	10	3755417	682557	62797847	36150184	6461246	9158	8619	664730	24	26	1	397	8752	4999	145349	514362	1	1	4725	9158	664730	6	673894	8619	18	8637	1
11	11	11	3423516	621675	57707911	39573700	7082921	8311	7755	605559	24	26	1	244	8058	5032	135527	464980	1	1	4289	8311	605559	6	613876	7755	18	7773	1
12	12	12	3591597	652519	60420872	43165297	7735440	8598	8091	635780	24	26	1	281	8308	5130	141675	488955	1	1	4455	8598	635780	6	644384	8091	18	8109	1
13	13	13	3547473	645414	57840870	46712770	8380854	8821	8149	628394	24	26	1	80	8733	5162	138994	484218	1	1	4487	8821	628394	6	637221	8149	18	8167	1
14	14	14	3893927	685718	62597778	50606697	9066572	9129	8480	668059	24	26	1	86	9035	5170	145286	517583	1	1	4674	9129	668059	6	677194	8480	18	8498	1
15	15	15	3770999	669280	59027061	54377696	9735852	9035	8479	651716	24	26	1	357	8669	5209	142666	503821	1	1	4655	9035	651716	6	660757	8479	18	8497	1
16	16	16	3608859	655810	57731861	57986555	10391662	8886	8562	638312	24	26	1	546	8331	5370	142206	490716	1	1	4704	8886	638312	6	647204	8562	18	8580	1
17	17	17	2807366	509454	44572418	60793921	10901116	6866	6343	496195	24	26	1	44	6814	5385	113569	377221	1	1	3582	6866	496195	6	503067	6343	18	6361	1
18	18	18	3437381	633147	54838040	64231302	11534263	8218	7809	617070	24	26	1	395	7814	5478	135269	476303	1	1	4337	8218	617070	6	625294	7809	18	7827	1
19	19	19	3531244	615982	55574405	67762546	12150245	8105	7284	600543	24	26	1	430	7666	5493	128353	466677	1	1	4033	8105	600543	6	608654	7284	18	7302	1
20	20	20	3854245	688654	61938273	71616791	12838899	9304	8670	670630	24	26	1	201	9094	5509	146731	518370	1	1	4745	9304	670630	6	679940	8670	18	8688	1
21	21	21	4987004	870634	80197823	76603795	13709533	10451	9986	850147	24	26	1	1295	9147	6069	172711	671347	1	1	5401	10451	850147	6	860604	9986	18	10004	1
22	22	22	2098275	376509	33955597	78702070	14086042	5220	4891	366348	24	26	1	70	5142	6091	86926	273311	1	1	2790	5220	366348	6	371574	4891	18	4909	1
23	23	23	3758634	668363	58868383	82460704	14754405	8642	8209	651462	24	26	1	55	8579	6106	143312	502024	1	1	4532	8642	651462	6	660110	8209	18	8227	1
24	24	24	4102983	734105	66624052	86563687	15488510	9758	9144	715153	24	26	1	552	9197	6212	157438	551483	1	1	4971	9758	715153	6	724917	9144	18	9162	1
25	25	25	2824953	521420	48157524	89388640	16009930	6880	6518	507972	24	26	1	49	6823	6221	115276	386455	1	1	3671	6880	507972	6	514858	6518	18	6536	1
26	26	26	3666182	673168	45802939	93054822	16683098	9368	8772	654978	24	26	1	419	8940	6297	148886	499775	1	1	4782	9368	654978	6	664352	8772	18	8790	1
