logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
0	0	0	3977760	644384	53992029	3977760	644384	8137	7908	628290	24	25	1	8037	92	4002	141188	482621	91	370	4418	8137	628290	6	636433	7908	18	7926	1
1	1	1	3983495	648931	53056167	7961255	1293315	8171	7916	632795	24	25	1	19	8144	4018	146043	482254	91	370	4419	8171	632795	6	640972	7916	18	7934	1
2	2	2	3983525	649287	60672742	11944780	1942602	8169	7914	633155	24	25	1	17	8144	4029	146143	482503	91	370	4418	8169	633155	6	641330	7914	18	7932	1
3	3	3	3978762	648519	58056261	15923542	2591121	8169	7914	632387	24	25	1	17	8144	4040	146029	481838	91	370	4418	8169	632387	6	640562	7914	18	7932	1
4	4	4	3979308	648471	58809746	19902850	3239592	8169	7914	632339	24	25	1	17	8144	4049	146049	481761	91	370	4418	8169	632339	6	640514	7914	18	7932	1
5	5	5	3978883	648499	58411969	23881733	3888091	8169	7914	632367	24	25	1	17	8144	4059	146030	481798	91	370	4418	8169	632367	6	640542	7914	18	7932	1
6	6	6	4015592	654941	59156044	27897325	4543032	8238	7957	638697	24	25	1	462	7767	4103	149856	484258	91	370	4432	8238	638697	6	646941	7957	18	7975	1
7	7	7	4037713	666860	60486384	31935038	5209892	8221	7960	650630	24	25	1	49	8164	4131	156302	489717	91	370	4434	8221	650630	6	658857	7960	18	7978	1
8	8	8	3979517	657257	58989754	35914555	5867149	8169	7915	641124	24	25	1	17	8144	4140	154644	481860	91	370	4418	8169	641124	6	649299	7915	18	7933	1
9	9	9	3979614	656722	58610367	39894169	6523871	8169	7915	640589	24	25	1	17	8144	4151	154552	481406	91	370	4418	8169	640589	6	648764	7915	18	7933	1
10	10	10	3977868	656632	59745799	43872037	7180503	8169	7915	640499	24	25	1	17	8144	4157	154560	481302	91	370	4418	8169	640499	6	648674	7915	18	7933	1
11	11	11	3977339	656625	58990285	47849376	7837128	8169	7915	640492	24	25	1	17	8144	4167	154558	481287	91	370	4418	8169	640492	6	648667	7915	18	7933	1
12	12	12	3991126	657910	59668429	51840502	8495038	8169	7915	641777	24	25	1	17	8144	4179	154727	482391	91	370	4418	8169	641777	6	649952	7915	18	7933	1
13	13	13	3983472	657272	60127587	55823974	9152310	8169	7915	641139	24	25	1	17	8144	4189	154655	481815	91	370	4418	8169	641139	6	649314	7915	18	7933	1
14	14	14	3979695	656937	59285733	59803669	9809247	8169	7915	640804	24	25	1	17	8144	4206	154634	481484	91	370	4418	8169	640804	6	648979	7915	18	7933	1
15	15	15	3987270	657341	54264688	63790939	10466588	8169	7915	641208	24	25	1	17	8144	4213	154637	481878	91	370	4418	8169	641208	6	649383	7915	18	7933	1
16	16	16	3983303	656983	59166424	67774242	11123571	8171	7918	640845	24	25	1	19	8144	4221	154583	481561	91	370	4419	8171	640845	6	649022	7918	18	7936	1
17	17	17	3980301	656803	45600259	71754543	11780374	8169	7915	640670	24	25	1	17	8144	4229	154578	481383	91	370	4418	8169	640670	6	648845	7915	18	7933	1
18	18	18	3981283	656790	59147424	75735826	12437164	8169	7915	640657	24	25	1	17	8144	4237	154546	481394	91	370	4418	8169	640657	6	648832	7915	18	7933	1
19	19	19	3989748	657720	53751262	79725574	13094884	8169	7915	641587	24	25	1	17	8144	4246	154631	482230	91	370	4418	8169	641587	6	649762	7915	18	7933	1
20	20	20	3995308	658894	62441701	83720882	13753778	8173	7920	642752	24	25	1	21	8144	4256	154853	483163	91	370	4420	8173	642752	6	650931	7920	18	7938	1
