id	name	N	prefix_raw	W_grz	Z6	ratio_vs_Z6	gate	prefix_exact	wp_z19_full	W_vs_z19full
corpus2	rocksdb	100	669183165	2033511	3633246	0.5597	PASS	YES	6199621	0.3280
corpus2	rocksdb	200	1224557334	2770835	5099581	0.5433	PASS	YES	6199621	0.4469
corpus4	abseil	100	284336916	930097	1586360	0.5863	PASS	YES	4020529	0.2313
corpus4	abseil	200	548396320	1258842	2212343	0.5690	PASS	YES	4020529	0.3131
corpus3	duckdb	100	314498355	1378194	2144664	0.6426	PASS	YES	7086957	0.1945
corpus3	duckdb	200	646795216	1830460	2841123	0.6443	PASS	YES	7086957	0.2583
corpus9	catch2	100	102344296	365383	539019	0.6779	PASS	YES	800649	0.4564
corpus9	catch2	200	212426768	413939	618686	0.6691	PASS	YES	800649	0.5170
corpus	llvm	100	360810728	1084342	1614405	0.6717	PASS	YES	7296438	0.1486
corpus	llvm	200	724323634	1937026	2907907	0.6661	PASS	YES	7296438	0.2655
corpus5	opencv	100	110856373	471903	640543	0.7367	PASS	YES	6291678	0.0750
corpus5	opencv	200	307655351	1045559	1525959	0.6852	PASS	YES	6291678	0.1662
corpus6	godot	100	204440064	910919	1280930	0.7111	PASS	YES	57718953	0.0158
corpus6	godot	200	382645585	1533975	2196838	0.6983	PASS	YES	57718953	0.0266
corpus12	eigen	100	538626320	505243	743718	0.6793	PASS	YES	1241062	0.4071
corpus12	eigen	200	1098381060	711858	1099434	0.6475	PASS	YES	1241062	0.5736
corpus11	range-v3	100	247655440	388764	610361	0.6369	PASS	YES	740552	0.5250
corpus11	range-v3	200	484251452	552220	883458	0.6251	PASS	YES	740552	0.7457
corpus17	corpus17	100	346363171	1424312	2150291	0.6624	PASS	YES	11644348	0.1223
corpus17	corpus17	200	672996751	3223623	5068314	0.6360	PASS	YES	11644348	0.2768
corpus19	corpus19	100	329258060	1108435	1611865	0.6877	PASS	YES	8912186	0.1244
corpus19	corpus19	200	797021145	1664868	2518792	0.6610	PASS	YES	8912186	0.1868
corpus21	corpus21	100	241274114	724362	1044504	0.6935	PASS	YES	9577844	0.0756
corpus21	corpus21	200	962164948	1485037	2451683	0.6057	PASS	YES	9577844	0.1550
corpus22	corpus22	100	398814967	1456545	2021198	0.7206	PASS	YES	2216220	0.6572
corpus22	corpus22	200	865468847	1684236	2439574	0.6904	PASS	YES	2216220	0.7600
corpus23	corpus23	100	342319628	1001662	1477646	0.6779	PASS	YES	2160222	0.4637
corpus23	corpus23	200	651480669	1464298	2203883	0.6644	PASS	YES	2160222	0.6778
corpus24	corpus24	100	314956763	841331	1210097	0.6953	PASS	YES	3158310	0.2664
corpus24	corpus24	200	654543194	1125760	1690516	0.6659	PASS	YES	3158310	0.3564
corpus15	simdjson	100	298179308	830156	1156884	0.7176	PASS	YES	1018122	0.8154
