corpus	tus	workers	assignment	raw	wire	b_root	b_need	b_fill	b_control	b_carry	wall_s	split_ok	distinct_workers
corpus11	259	1	roundrobin	632049016	1820664	682111	21446	1110303	6609	195	0.833992	259/259	1
corpus11	259	2	roundrobin	632049016	2743022	816127	33052	1886844	6609	390	1.118681	259/259	2
corpus11	259	4	roundrobin	632049016	4426648	973097	54701	3391461	6609	780	1.205913	259/259	4
corpus11	259	8	roundrobin	632049016	7076645	1100740	88897	5878839	6609	1560	1.371615	259/259	8
corpus11	259	16	roundrobin	632049016	11697241	1228149	149173	10310190	6609	3120	1.727722	259/259	16
corpus11	259	32	roundrobin	632049016	19270895	1308872	247083	17702091	6609	6240	2.406190	259/259	32
corpus11	259	8	sticky	632049016	7023298	1095993	87324	5831812	6609	1560	1.427530	259/259	8
corpus11	259	8	random	632049016	7075489	1117476	87891	5861953	6609	1560	1.432931	259/259	8
corpus16	84	1	roundrobin	326899429	1120409	376533	10065	731601	2016	194	0.412262	84/84	1
corpus16	84	2	roundrobin	326899429	1876495	394182	19084	1460825	2016	388	0.573678	84/84	2
corpus16	84	4	roundrobin	326899429	3200526	410849	35380	2751505	2016	776	0.640774	84/84	4
corpus16	84	8	roundrobin	326899429	5807880	444556	67469	5292287	2016	1552	0.879642	84/84	8
corpus16	84	16	roundrobin	326899429	11057662	509708	130601	10412233	2016	3104	1.283209	84/84	16
corpus16	84	32	roundrobin	326899429	21521549	631849	256877	20624599	2016	6208	2.151940	84/84	32
corpus16	84	8	sticky	326899429	5806350	444556	67414	5290812	2016	1552	0.878680	84/84	8
corpus16	84	8	random	326899429	5795872	440452	67370	5284482	2016	1552	0.856462	84/84	8
corpus9	857	1	roundrobin	947252235	2384393	1134676	63172	1163595	22755	195	1.270812	857/857	1
corpus9	857	2	roundrobin	947252235	3526439	1480381	75070	1947843	22755	390	1.803881	857/857	2
corpus9	857	4	roundrobin	947252235	5493943	1941327	95966	3433115	22755	780	1.823298	857/857	4
corpus9	857	8	roundrobin	947252235	8010182	2001303	127343	5857221	22755	1560	2.083870	857/857	8
corpus9	857	16	roundrobin	947252235	12291101	2043396	180694	10041136	22755	3120	2.387237	857/857	16
corpus9	857	32	roundrobin	947252235	19445031	2097689	269172	17049175	22755	6240	2.797901	857/857	32
corpus9	857	8	sticky	947252235	7922385	1946669	126471	5824930	22755	1560	1.983756	857/857	8
corpus9	857	8	random	947252235	7882833	1934743	126479	5797296	22755	1560	1.983243	857/857	8
corpus2	622	1	roundrobin	2147483647	15692955	6402651	1343671	7930028	16410	195	4.533160	622/622	1
corpus2	622	2	roundrobin	2147483647	17771659	6837067	1379855	9537937	16410	390	5.008355	622/622	2
corpus2	622	4	roundrobin	2147483647	21151214	7235212	1444824	12453988	16410	780	5.039854	622/622	4
corpus2	622	8	roundrobin	2147483647	26831854	7558195	1548542	17707147	16410	1560	5.517295	622/622	8
corpus2	622	16	roundrobin	2147483647	37153351	7861514	1727453	27544854	16410	3120	6.684410	622/622	16
corpus2	622	32	roundrobin	2147483647	56400064	8043963	2051311	46282140	16410	6240	8.742033	622/622	32
corpus2	622	8	sticky	2147483647	26671429	7494271	1541741	17617447	16410	1560	5.510292	622/622	8
corpus2	622	8	random	2147483647	26793413	7557848	1545067	17672528	16410	1560	5.594597	622/622	8
corpus3	689	1	roundrobin	1985715205	13089408	3088872	461190	9520932	18219	195	3.506154	689/689	1
