corpus	tus	workers	assignment	pass1_wire	pass2_wire	pass2_over_pass1	p2_root	p2_need	p2_fill	wall_s	split_ok
corpus11	518	1	sticky	1820495	1391972	0.7646	1377040	2590	5180	1.520030	518/518
corpus11	518	1	roundrobin	1820495	1391972	0.7646	1377040	2590	5180	1.507660	518/518
corpus11	518	4	sticky	4233684	1392711	0.3290	1377040	2590	5412	2.076773	518/518
corpus11	518	4	roundrobin	4425972	1769211	0.3997	1377040	11838	372664	2.191151	518/518
corpus11	518	8	sticky	7021946	1393907	0.1985	1377040	2590	5932	2.399449	518/518
corpus11	518	8	roundrobin	7075293	2204788	0.3116	1377040	19306	800097	2.401331	518/518
corpus11	518	32	sticky	19441714	1409203	0.0725	1377040	2590	17172	3.309514	518/518
corpus11	518	32	roundrobin	19265487	4178732	0.2169	1377040	47787	2741504	3.471502	518/518
corpus16	168	1	sticky	1120240	40266	0.0359	35529	796	1636	0.856676	168/168
corpus16	168	1	roundrobin	1120240	40266	0.0359	35529	796	1636	0.845889	168/168
corpus16	168	4	sticky	3176999	277455	0.0873	272211	796	1636	1.033350	168/168
corpus16	168	4	roundrobin	3199850	359088	0.1122	353844	796	1636	1.070115	168/168
corpus16	168	8	sticky	5804998	327128	0.0564	321208	796	1636	1.337648	168/168
corpus16	168	8	roundrobin	5806528	889037	0.1531	672159	3493	209897	1.285185	168/168
corpus16	168	32	sticky	19501553	358309	0.0184	345685	796	4209	2.354517	168/168
corpus16	168	32	roundrobin	21516141	881938	0.0410	672159	3895	198340	2.581550	168/168
corpus9	1714	1	sticky	2384224	526877	0.2210	477002	8570	17997	3.102002	1714/1714
corpus9	1714	1	roundrobin	2384224	526877	0.2210	477002	8570	17997	2.500776	1714/1714
corpus9	1714	4	sticky	5221337	831569	0.1593	780947	8570	18237	3.235364	1714/1714
corpus9	1714	4	roundrobin	5493267	1471121	0.2678	911571	53489	482246	3.344641	1714/1714
corpus9	1714	8	sticky	7921033	930624	0.1175	879006	8570	18557	3.505882	1714/1714
corpus9	1714	8	roundrobin	8008830	2818826	0.3520	1837636	60910	895789	3.526423	1714/1714
corpus9	1714	32	sticky	19679565	1053490	0.0535	995835	8570	20538	4.002871	1714/1714
corpus9	1714	32	roundrobin	19439623	4711763	0.2424	1971688	84180	2627348	4.265892	1714/1714
corpus2	1244	1	sticky	15692786	8613479	0.5489	8577234	6220	13062	8.986866	1244/1244
corpus2	1244	1	roundrobin	15692786	8613479	0.5489	8577234	6220	13062	8.502072	1244/1244
corpus2	1244	4	sticky	21055804	8626148	0.4097	8589119	6220	13339	8.742726	1244/1244
corpus2	1244	4	roundrobin	21150538	17350279	0.8203	8589119	1320287	7423403	9.329893	1244/1244
corpus2	1244	8	sticky	26670077	8628208	0.3235	8589119	6220	14723	9.350441	1244/1244
corpus2	1244	8	roundrobin	26830502	17902853	0.6673	8589119	1339923	7955665	9.978389	1244/1244
corpus2	1244	32	sticky	56123727	8652919	0.1542	8589119	6220	35378	11.972391	1244/1244
corpus2	1244	32	roundrobin	56394656	19638325	0.3482	8589119	1401472	9625532	13.114447	1244/1244
