corpus	tag	K	sbits	litbe	tokbe	blkMB	thr	raw	out	ratio_z19	vs_gate	enc_s	enc_MBps	dec_s	dec_MBps	match_s	match_MBps	ent_s	litraw	litpct	matches	c_ll	c_lit	c_sd	c_ml	sha_exact	gate_pass	speed_pass	VERDICT	lrz_recov_pct
rocksdb	FAST-1T	320	5	4	5	12	1	3114320596	4516141	0.7285	0.6622	2.918	1017.8	2.826	1050.9	1.190	2496	1.724	119170549	3.827	22321	16935	4407672	55831	35504	YES	PASS	FAIL	FAIL	233.0
rocksdb	MAX-1T	512	5	2	1	1024	1	3114320596	4141317	0.6680	0.6073	4.480	662.9	4.072	729.4	1.196	2484	3.281	119998171	3.853	18813	13357	4047532	48978	31332	YES	PASS	FAIL	FAIL	284.9
abseil	FAST-1T	512	5	2	1	1024	1	2581008467	2769545	0.6889	0.6262	2.285	1077.3	2.773	887.6	0.813	3028	1.470	69434231	2.690	25380	18554	2654706	59054	37113	YES	PASS	PASS	PASS	173.5
fmt	FAST-1T	64	6	4	5	8	1	136350082	751080	1.0215	0.9286	0.231	564.1	0.194	669.6	0.040	3227	0.189	5997978	4.399	33608	32193	624300	66778	27691	YES	PASS	FAIL	FAIL	0.0
fmt	MAX-1T	384	4	2	1	1024	1	136350082	627799	0.8538	0.7762	0.391	332.7	0.344	378.3	0.085	1533	0.305	9772971	7.168	1794	1781	617828	4521	3551	YES	PASS	FAIL	FAIL	0.0
rocksdb	FAST2-1T	256	5	4	5	8	1	3114320596	4631446	0.7471	0.6791	2.853	1041.0	2.749	1080.4	1.164	2551	1.685	115901866	3.722	35193	36401	4475036	75261	44513	YES	PASS	PASS	PASS	217.0
rocksdb	FAST3-1T	288	5	4	5	10	1	3114320596	4556846	0.7350	0.6682	2.895	1025.9	2.726	1089.4	1.182	2513	1.709	118320617	3.799	25943	21909	4436678	60118	37924	YES	PASS	PASS	PASS	227.4
fmt	FAST2-1T	128	5	4	5	4	1	136350082	704807	0.9586	0.8714	0.245	531.6	0.192	679.0	0.050	2616	0.194	7062990	5.180	17328	17759	637938	33805	15178	YES	PASS	FAIL	FAIL	0.0
fmt	FAST3-1T	96	6	4	5	4	1	136350082	714779	0.9721	0.8838	0.235	553.8	0.176	737.2	0.042	3126	0.192	7094851	5.203	18674	19444	637440	40360	17408	YES	PASS	FAIL	FAIL	0.0
fmt	MAX-8T	384	4	2	1	1	8	136350082	674738	0.9177	0.8343	0.173	752.9	0.329	395.4	0.082	1584	0.090	9772971	7.168	1794	1781	664686	4521	3551	YES	PASS	FAIL	FAIL	0.0
fmt	FAST-8T	128	5	4	5	1	8	136350082	727388	0.9893	0.8994	0.091	1430.5	0.169	768.5	0.050	2601	0.040	7062990	5.180	17328	17759	660474	33805	15178	YES	PASS	PASS	PASS	0.0
abseil	MAX-8T	512	5	2	1	8	8	2581008467	2890593	0.7190	0.6536	1.288	1911.4	2.607	944.2	0.805	3056	0.478	69434231	2.690	25380	18554	2775682	59054	37113	YES	PASS	PASS	PASS	156.7
rocksdb	MAX-8T	512	5	2	1	8	8	3114320596	4427437	0.7141	0.6492	1.749	1697.9	3.697	803.3	1.181	2515	0.559	119998171	3.853	18813	13357	4333526	48978	31332	YES	PASS	PASS	PASS	245.3
rocksdb	MAX2-8T	512	5	2	1	16	8	3114320596	4337004	0.6996	0.6360	1.781	1667.3	3.887	764.1	1.184	2508	0.588	119998171	3.853	18813	13357	4243156	48978	31332	YES	PASS	PASS	PASS	257.8
abseil	MAX2-8T	512	5	2	1	12	8	2581008467	2883654	0.7172	0.6520	1.167	2109.0	2.582	953.3	0.808	3047	0.357	69434231	2.690	25380	18554	2768770	59054	37113	YES	PASS	PASS	PASS	157.7
fmt	MAX-16T	384	4	2	1	1	16	136350082	674738	0.9177	0.8343	0.136	954.0	0.334	389.2	0.086	1507	0.049	9772971	7.168	1794	1781	664686	4521	3551	YES	PASS	FAIL	FAIL	0.0
