corpus	K	sbits	litbe	blkMB	thr	raw	out	ratio	litraw	litpct	match_s	match_MBps	ent_s	enc_s	enc_MBps	dec_s	dec_MBps	gate	speed
rocksdb	96	5	3	25	1	3114320596	5802961	0.9360	63292017	2.032	0.916	3241	2.304	3.228	920.2	3.192	930.3	PASS	FAIL
rocksdb	128	5	3	25	1	3114320596	5211787	0.8407	76678169	2.462	0.961	3090	2.269	3.234	918.4	3.189	931.4	PASS	FAIL
rocksdb	192	5	3	25	1	3114320596	4697772	0.7578	97605675	3.134	1.045	2841	2.195	3.244	915.4	3.198	928.7	PASS	FAIL
rocksdb	256	5	3	25	1	3114320596	4408176	0.7110	115901866	3.722	1.140	2606	2.149	3.292	902.1	3.248	914.5	PASS	FAIL
rocksdb	384	5	3	25	1	3114320596	4336788	0.6995	119518433	3.838	1.145	2594	2.135	3.283	904.6	3.286	903.8	PASS	FAIL
rocksdb	512	5	3	25	1	3114320596	4335965	0.6994	119998171	3.853	1.175	2529	2.148	3.326	892.9	3.282	905.0	PASS	FAIL
abseil	96	5	3	25	1	2581008467	3634113	0.9039	32502742	1.259	0.635	3874	1.139	1.777	1385.0	2.160	1139.7	PASS	PASS
abseil	128	5	3	25	1	2581008467	3325805	0.8272	38791125	1.503	0.655	3757	1.122	1.785	1379.2	2.175	1131.8	PASS	PASS
abseil	192	5	3	25	1	2581008467	3089972	0.7685	52555630	2.036	0.727	3388	1.107	1.836	1340.9	2.230	1103.8	PASS	PASS
abseil	256	5	3	25	1	2581008467	2885006	0.7176	64132820	2.485	0.782	3148	1.043	1.827	1347.3	2.189	1124.4	PASS	PASS
abseil	384	5	3	25	1	2581008467	2851279	0.7092	67313027	2.608	0.781	3152	1.044	1.829	1346.2	2.206	1115.7	PASS	PASS
abseil	512	5	3	25	1	2581008467	2844191	0.7074	69434231	2.690	0.792	3108	1.056	1.855	1326.8	2.238	1099.8	PASS	PASS
