id	name	tus	raw	wp_z19	out	ratio	groups	max_group_bytes	idx_bytes	C_min_Bps	C_max_Bps	F_min_Bps	F_max_Bps	C_reps_s	F_reps_s	C_RSS_GiB	F_RSS_GiB	F_ring_GiB	wire_sha256	exact	deterministic_wire	retry_replay	group_caps	size	C	F	PASS
corpus	llvm	1238	3620271340	7296438	7638087	1.0468	12	442700204	16777216	1003567626	1008928668	1087902424	1091052156	3.5882,3.5997,3.6074	3.3231,3.3278,3.3181	1.50	2.05	2.00	e577b75f9038b0bde6cb309a279b91fbf34e4609767a1f9fd136b885ce6b5a06	YES	PASS	PASS	PASS	PASS	PASS	PASS	PASS
corpus2	corpus2	622	3114320596	6199621	5456878	0.8802	7	535499953	16777216	1070145475	1073661646	982551598	991061386	2.9007,2.9102,2.9047	3.1497,3.1696,3.1424	1.73	2.07	2.00	895b4ed13c7cedf1d4f033d3fb0dddcfce06a0beb882caac6eeb7bfca5a54201	YES	PASS	PASS	PASS	PASS	PASS	PASS	PASS
corpus3	corpus3	689	1985715205	7086957	6576037	0.9279	7	493237280	16777216	827061005	833063070	688940701	692783549	2.3836,2.4009,2.3915	2.8823,2.8663,2.8701	1.61	2.06	2.00	e7169c444fcbebb274806d835223387262e324787d720c980a90f7fb969e5905	YES	PASS	PASS	PASS	PASS	FAIL	PASS	FAIL
corpus4	corpus4	700	2581008467	4020529	3424583	0.8518	7	536850159	16777216	1195730766	1223624563	1048736763	1055015325	2.1093,2.1137,2.1585	2.4584,2.4611,2.4464	1.63	2.05	2.00	c25f13a49b7c1354fc6c4125c383b7ba407e815e81813293249aa0f7b3691a22	YES	PASS	PASS	PASS	PASS	PASS	PASS	PASS
corpus5	corpus5	1506	4630994774	6291678	6687096	1.0628	14	424223115	16777216	1160453612	1164561963	1346047120	1349028220	3.9786,3.9907,3.9766	3.4364,3.4404,3.4328	1.49	2.04	2.00	3978c4417cc4168ddc4ded544b659c0b6156f5204a8e894275b07ad673c9fed1	YES	PASS	PASS	PASS	PASS	PASS	PASS	PASS
corpus6	corpus6	2207	5932762185	57718953	53427567	0.9257	23	411967396	16777216	366992527	371846979	630274189	633459681	15.9548,15.9591,16.1659	9.3657,9.4130,9.4079	2.03	2.20	2.00	1164ece2a7611b8051491ee89dbc048b1256c135edefeb621cfc60c53049434c	YES	PASS	PASS	PASS	PASS	FAIL	PASS	FAIL
corpus7	fmt @ cde18a3	50	136350082	735266	662261	0.9007	1	136350082	16777216	433373082	447608049	104903759	106491636	0.3046,0.3055,0.3146	1.2941,1.2998,1.2804	0.20	2.04	2.00	c8479bccc86a1db370d9b96e5a56c7fb61825cc5fe6ab08457136a7af3e4f277	YES	PASS	PASS	PASS	PASS	FAIL	FAIL	FAIL
corpus8	spdlog @ f5f173a	34	98384472	469519	436106	0.9288	1	98384472	16777216	502472737	529938191	81328485	82091367	0.1866,0.1958,0.1857	1.2097,1.2085,1.1985	0.14	2.03	2.00	f6dd58bab00536891c295b2026bc86e13a61b591c796ccafb19b81e7712fe4dd	YES	PASS	PASS	PASS	PASS	FAIL	FAIL	FAIL
corpus9	catch2 @ 0aeb818	857	947252235	800649	626178	0.7821	8	144075692	16777216	1510910275	1519458081	626707795	633478378	0.6269,0.6234,0.6259	1.4953,1.5115,1.5018	0.92	2.02	2.00	d3542cc47bfe6301d6c70e98f6f489573b4e53a148a6e16824786707616de973	YES	PASS	PASS	PASS	PASS	PASS	PASS	PASS
corpus10	json @ cdf52ae	99	293917707	805297	743198	0.9229	1	293917707	16777216	800031267	809867130	220564122	222007472	0.3674,0.3629,0.3641	1.3326,1.3296,1.3239	0.34	2.04	2.00	8cd8d76377e8e8c0340c410acd524e3fd52ae49c23ac4f1140aa2f1cba6945d7	YES	PASS	PASS	PASS	PASS	FAIL	FAIL	FAIL
