corpus	group	first_tu_zero_based	last_tu_zero_based	material_available_through_tu_count	group_tus	lookahead_tus_after_first	raw_bytes	raw_lookahead_after_first	add_bytes	bytes_charged_at_first_tu	cumulative_wire_after_frame	history_base	history_extent	closed_by
corpus2	0	0	81	82	82	81	530452580	523382655	44870226	1762578	1762650	0	0	raw
corpus2	1	82	165	166	84	83	535499953	528164429	34477005	1031486	2794136	0	530452580	raw
corpus2	2	166	270	271	105	104	532916527	525777047	5944816	469441	3263577	0	1065952533	raw
corpus2	3	271	382	383	112	111	514947218	508925145	7761770	735108	3998685	525127236	1073741824	tu
corpus2	4	383	494	495	112	111	448887078	442982194	4062946	426340	4425025	1040074454	1073741824	tu
corpus2	5	495	606	607	112	111	528709734	525716135	25870348	852931	5277956	1488961532	1073741824	tu
corpus2	6	607	621	622	15	14	22907506	17321974	1533059	178886	5456842	2017671266	1073741824	tu
corpus4	0	0	111	112	112	111	318073203	315649399	24259140	1049339	1049411	0	0	tu
corpus4	1	112	223	224	112	111	305154563	304161893	9943437	365252	1414663	0	318073203	tu
corpus4	2	224	335	336	112	111	361373970	357568231	14304469	443881	1858544	0	623227766	tu
corpus4	3	336	447	448	112	111	299516152	296437728	11046685	663978	2522522	0	984601736	tu
corpus4	4	448	559	560	112	111	478473505	473405644	4111238	441578	2964100	210376064	1073741824	tu
corpus4	5	560	650	651	91	90	536850159	530688051	2080106	216737	3180837	688849569	1073741824	raw
corpus4	6	651	699	700	49	48	281566915	275402758	2395999	243710	3424547	1225699728	1073741824	tu
