id	name	tus	raw	wire_bytes	wire_sha256	base_F_min_Bps	new_F_min_Bps	new_F_max_Bps	F_reps_s	base_F_RSS_GiB	new_F_RSS_GiB	base_ring_GiB	new_ring_GiB	rate_multiple	rss_saved_GiB	ring_saved_GiB	wire_retained	exact	F	PASS
corpus	llvm	1238	3620271340	7638087	e577b75f9038b0bde6cb309a279b91fbf34e4609767a1f9fd136b885ce6b5a06	1087902424	1113008739	1119917824	3.2326,3.2527,3.2406	2.05	2.046	2.00	2.000	1.023	0.004	0.000	YES	YES	PASS	PASS
corpus2	corpus2	622	3114320596	5456878	895b4ed13c7cedf1d4f033d3fb0dddcfce06a0beb882caac6eeb7bfca5a54201	982551598	976010819	989713953	3.1909,3.1872,3.1467	2.07	2.059	2.00	2.000	0.993	0.011	0.000	YES	YES	PASS	PASS
corpus3	corpus3	689	1985715205	6576037	e7169c444fcbebb274806d835223387262e324787d720c980a90f7fb969e5905	688940701	714365893	727230774	2.7797,2.7512,2.7305	2.06	1.914	2.00	2.000	1.037	0.146	0.000	YES	YES	PASS	PASS
corpus4	corpus4	700	2581008467	3424583	c25f13a49b7c1354fc6c4125c383b7ba407e815e81813293249aa0f7b3691a22	1048736763	1053061523	1075152539	2.4510,2.4139,2.4006	2.05	2.035	2.00	2.000	1.004	0.015	0.000	YES	YES	PASS	PASS
corpus5	corpus5	1506	4630994774	6687096	3978c4417cc4168ddc4ded544b659c0b6156f5204a8e894275b07ad673c9fed1	1346047120	1334486313	1353931645	3.4440,3.4204,3.4702	2.04	2.043	2.00	2.000	0.991	-0.003	0.000	YES	YES	PASS	PASS
corpus6	corpus6	2207	5932762185	53427567	1164ece2a7611b8051491ee89dbc048b1256c135edefeb621cfc60c53049434c	630274189	631566856	632267623	9.3937,9.3888,9.3833	2.20	2.115	2.00	2.000	1.002	0.085	0.000	YES	YES	PASS	PASS
corpus7	fmt @ cde18a3	50	136350082	662261	c8479bccc86a1db370d9b96e5a56c7fb61825cc5fe6ab08457136a7af3e4f277	104903759	548904820	550803944	0.2484,0.2484,0.2475	2.04	0.150	2.00	2.000	5.232	1.890	0.000	YES	YES	PASS	PASS
corpus8	spdlog @ f5f173a	34	98384472	436106	f6dd58bab00536891c295b2026bc86e13a61b591c796ccafb19b81e7712fe4dd	81328485	630535513	644313176	0.1527,0.1560,0.1547	2.03	0.107	2.00	2.000	7.753	1.923	0.000	YES	YES	PASS	PASS
corpus9	catch2 @ 0aeb818	857	947252235	626178	d3542cc47bfe6301d6c70e98f6f489573b4e53a148a6e16824786707616de973	626707795	1044248395	1055080868	0.9071,0.8979,0.8978	2.02	0.901	2.00	2.000	1.666	1.119	0.000	YES	YES	PASS	PASS
corpus10	json @ cdf52ae	99	293917707	743198	8cd8d76377e8e8c0340c410acd524e3fd52ae49c23ac4f1140aa2f1cba6945d7	220564122	755762490	778228362	0.3889,0.3792,0.3777	2.04	0.297	2.00	2.000	3.426	1.743	0.000	YES	YES	PASS	PASS
corpus11	range-v3 @ 108f93c	259	632049016	628319	8e5c60d22d9a291424f897cd1b06948273db26c7b5b5bfb65ea8cd96b78ba9c6	444522276	1005805788	1040320831	0.6284,0.6155,0.6076	2.03	0.604	2.00	2.000	2.263	1.426	0.000	YES	YES	PASS	PASS
corpus12	eigen @ ddd2165	650	3532268956	2040151	a5c0da1886ad3a8c5a794e9df7b824e2ac277d092a575ace407fb9ac50d3e70e	1433276511	1407771929	1412308017	2.5011,2.5091,2.5074	2.03	2.030	2.00	2.000	0.982	0.000	0.000	YES	YES	PASS	PASS
corpus13	re2 @ 0dade9f	72	110231455	401210	34a1b9626f77a165211964da78105d6bde615449ac4b047ebf524f0b35cade19	91215590	731118980	745738455	0.1507,0.1478,0.1508	2.02	0.117	2.00	2.000	8.015	1.903	0.000	YES	YES	PASS	PASS
corpus14	leveldb @ 7ee830d	72	143868249	489989	707543a945f8e7b7819f946487c8fe89041a097c20d15f1ad166d53fb6c1904b	116312929	683685816	708200271	0.2097,0.2104,0.2031	2.03	0.152	2.00	2.000	5.878	1.878	0.000	YES	YES	PASS	PASS
corpus15	simdjson @ 1f78f3e	153	468377342	955208	efd6f14a2efe05e346016e31858642f1079d31b49ddbddd8b5d63b9c0e2dc44f	333150881	835156111	846405728	0.5608,0.5543,0.5534	2.04	0.451	2.00	2.000	2.507	1.589	0.000	YES	YES	PASS	PASS
corpus16	cereal @ 22a1b36	84	326899429	423581	73a3c9dd02aca6b781d05b4ac9688a6cc325874101448d69b94d0e57be0ade9d	257993954	943708332	983461104	0.3382,0.3464,0.3324	2.03	0.320	2.00	2.000	3.658	1.710	0.000	YES	YES	PASS	PASS
