id	name	hist_MB	graw_MB	out	ratio	groups	C_Bps	F_Bps	C_RSS_GiB	F_RSS_GiB	ring_GiB	exact	PASS
corpus2	rocksdb	256	128	8425534	1.3590	24	666293104	1064761392	0.49	1.05	1.00	YES	FAIL
corpus2	rocksdb	256	512	7794592	1.2573	7	835005656	876680722	0.95	2.07	2.00	YES	FAIL
corpus2	rocksdb	512	128	7036441	1.1350	24	728530129	1146277226	0.73	1.05	1.00	YES	FAIL
corpus2	rocksdb	512	512	6037725	0.9739	7	903251427	955137274	1.23	2.07	2.00	YES	FAIL
corpus2	rocksdb	1024	128	5836801	0.9415	24	792912034	1001711353	1.25	2.04	2.00	YES	FAIL
corpus2	rocksdb	1024	512	5462342	0.8811	7	963052940	735776359	1.74	4.07	4.00	YES	FAIL
corpus2	rocksdb	2048	128	5342074	0.8617	24	834669971	752906053	2.27	4.04	4.00	YES	FAIL
corpus2	rocksdb	2048	512	5187098	0.8367	7	1023942330	731215655	2.77	4.07	4.00	YES	PASS
corpus2	rocksdb	4096	128	4797119	0.7738	24	879950440	491217760	3.11	8.04	8.00	YES	FAIL
corpus2	rocksdb	4096	512	4687015	0.7560	7	1051993175	488268127	3.24	8.07	8.00	YES	FAIL
corpus4	abseil	256	128	5696162	1.4168	20	819185726	1153162571	0.46	1.05	1.00	YES	FAIL
corpus4	abseil	256	512	5239108	1.3031	7	928687560	939334158	0.89	2.05	2.00	YES	FAIL
corpus4	abseil	512	128	4288746	1.0667	20	946950568	1262415489	0.70	1.04	1.00	YES	FAIL
corpus4	abseil	512	512	4105540	1.0211	7	1040100128	999887060	1.13	2.05	2.00	YES	PASS
corpus4	abseil	1024	128	3900324	0.9701	20	985268158	1019637525	1.23	2.05	2.00	YES	FAIL
corpus4	abseil	1024	512	3395123	0.8444	7	1130682292	721960410	1.65	4.05	4.00	YES	PASS
corpus4	abseil	2048	128	3321116	0.8260	20	1070602483	728337181	2.24	4.04	4.00	YES	PASS
corpus4	abseil	2048	512	3251766	0.8088	7	1159066134	733887363	2.44	4.05	4.00	YES	PASS
corpus4	abseil	4096	128	3160980	0.7862	20	1088665626	452737018	2.59	8.04	8.00	YES	FAIL
corpus4	abseil	4096	512	3089286	0.7684	7	1177359943	449786255	2.63	8.05	8.00	YES	FAIL
