run	prefix_tus	test_tus	test_raw_bytes	prefix_cum_wire	total_cum_wire	test_wire	exact_all	exact_test
rocksdb_cold_nodict	0	622	3114320596	0	8537705	8537705	True	True
rocksdb_withdictA	7840	622	3114320596	60383913	68494263	8110350	True	True
rocksdb_withdictB	10192	622	3114320596	83390956	91473484	8082528	True	True
rocksdb_warm	672	622	3114320596	8540337	8571800	31463	True	True
abseil_cold_nodict	0	700	2581008467	0	5058543	5058543	True	True
abseil_withdictA	7840	700	2581008467	60386855	64942716	4555861	True	True
abseil_warm	784	700	2581008467	5062898	5093887	30989	True	True
cereal_cold_nodict	0	84	326899429	0	459374	459374	True	True
cereal_withdictA	7840	84	326899429	60384089	60513433	129344	True	True
cereal_warm	112	84	326899429	459773	461276	1503	True	True
firefox_cold_mt	0	10010	109591729873	0	37391954	37391954	True	True
firefox_withdictA	7840	10010	109591729873	60385301	97108937	36723636	True	True
firefox_warm	10080	10010	109591729873	37393169	37606317	213148	True	True
llvmfull_cold_nodict	0	8141	43106403854	0	58526788	58526788	True	True
llvmfull_withdictA1	6608	8141	43106403854	53378877	111497658	58118781	True	True
llvmfull_warm	8176	8141	43106403854	58528647	58974266	445619	True	True
