group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	closed_by	end_offset
0	0	1	4771262	4378188	350168	13.63	0	0	tu	350240
1	1	2	4776839	10661	2114	2259.62	0	4771262	tu	352354
2	2	3	4779466	15441	2358	2026.92	0	9548101	tu	354712
3	3	4	4772218	8193	1584	3012.76	0	14327567	tu	356296
4	4	5	4772748	8757	1556	3067.32	0	19099785	tu	357852
5	5	6	4772373	8064	1606	2971.59	0	23872533	tu	359458
6	6	7	4773019	8994	2090	2283.74	0	28644906	tu	361548
7	7	8	4773036	8732	1652	2889.25	0	33417925	tu	363200
8	8	9	4771608	7583	1396	3418.06	0	38190961	tu	364596
9	9	10	4770807	6782	1382	3452.10	0	42962569	tu	365978
10	10	11	4784758	20164	2614	1830.44	0	47733376	tu	368592
11	11	12	4778534	14509	2184	2187.97	0	52518134	tu	370776
12	12	13	4782298	18001	2166	2207.89	0	57296668	tu	372942
13	13	14	4773405	9380	1874	2547.17	0	62078966	tu	374816
14	14	15	4776731	12706	1874	2548.95	0	66852371	tu	376690
15	15	16	4773825	9797	1648	2896.74	0	71629102	tu	378338
16	16	17	4774591	10566	1684	2835.27	0	76402927	tu	380022
17	17	18	4783692	19140	2352	2033.88	0	81177518	tu	382374
18	18	19	4788867	24875	3437	1393.33	0	85961210	tu	385811
19	19	20	4784404	15800	2393	1999.33	0	90750077	tu	388204
20	20	21	4772651	8626	1464	3260.01	0	95534481	tu	389668
21	21	22	4771571	7546	1452	3286.21	0	100307132	tu	391120
22	22	23	4770633	6605	1370	3482.21	0	105078703	tu	392490
23	23	24	4771572	7547	1448	3295.28	0	109849336	tu	393938
24	24	25	4771575	7013	1495	3191.69	0	114620908	tu	395433
25	25	26	4778363	14338	2320	2059.64	0	119392483	tu	397753
26	26	27	4786192	21318	2795	1712.41	0	124170846	tu	400548
27	27	28	4773486	9461	1632	2924.93	0	128957038	tu	402180
28	28	29	4773867	9575	2032	2349.34	0	133730524	tu	404212
29	29	30	4776189	10405	1794	2662.31	0	138504391	tu	406006
30	30	31	4778716	14683	1892	2525.75	0	143280580	tu	407898
31	31	32	4775355	11322	1698	2812.34	0	148059296	tu	409596
32	32	33	4774018	9990	1650	2893.34	0	152834651	tu	411246
33	33	34	4774337	10346	2236	2135.21	0	157608669	tu	413482
34	34	35	4773411	9381	1650	2892.98	0	162383006	tu	415132
35	35	36	4773887	9862	1726	2765.87	0	167156417	tu	416858
36	36	37	4780024	15465	2280	2096.50	0	171930304	tu	419138
37	37	38	4771262	0	143	33365.47	0	176710328	tu	419281
38	38	39	4776839	0	146	32718.08	0	181481590	tu	419427
39	39	40	4779466	0	146	32736.07	0	186258429	tu	419573
40	40	41	4772218	0	146	32686.42	0	191037895	tu	419719
41	41	42	4772748	0	146	32690.05	0	195810113	tu	419865
42	42	43	4772373	0	146	32687.49	0	200582861	tu	420011
43	43	44	4773019	0	146	32691.91	0	205355234	tu	420157
44	44	45	4773036	0	146	32692.03	0	210128253	tu	420303
45	45	46	4771608	0	146	32682.25	0	214901289	tu	420449
46	46	47	4770807	0	146	32676.76	0	219672897	tu	420595
47	47	48	4784758	0	146	32772.32	0	224443704	tu	420741
48	48	49	4778534	0	146	32729.68	0	229228462	tu	420887
49	49	50	4782298	340	342	13983.33	0	234006996	tu	421229
50	50	51	4773405	0	146	32694.55	0	238789294	tu	421375
51	51	52	4776731	0	146	32717.34	0	243562699	tu	421521
52	52	53	4773825	0	146	32697.43	0	248339430	tu	421667
53	53	54	4774591	0	146	32702.68	0	253113255	tu	421813
54	54	55	4783692	0	146	32765.01	0	257887846	tu	421959
55	55	56	4788867	0	146	32800.46	0	262671538	tu	422105
56	56	57	4784404	0	146	32769.89	0	267460405	tu	422251
57	57	58	4772651	0	146	32689.39	0	272244809	tu	422397
58	58	59	4771571	0	146	32681.99	0	277017460	tu	422543
59	59	60	4770633	0	146	32675.57	0	281789031	tu	422689
60	60	61	4771572	0	146	32682.00	0	286559664	tu	422835
61	61	62	4771575	0	146	32682.02	0	291331236	tu	422981
62	62	63	4778363	0	146	32728.51	0	296102811	tu	423127
63	63	64	4786192	0	146	32782.14	0	300881174	tu	423273
64	64	65	4773486	0	146	32695.11	0	305667366	tu	423419
65	65	66	4773867	0	146	32697.72	0	310440852	tu	423565
66	66	67	4776189	0	147	32491.08	0	315214719	tu	423712
67	67	68	4778716	0	147	32508.27	0	319990908	tu	423859
68	68	69	4775355	0	147	32485.41	0	324769624	tu	424006
69	69	70	4774018	0	147	32476.31	0	329544979	tu	424153
70	70	71	4774337	0	147	32478.48	0	334318997	tu	424300
71	71	72	4773411	0	147	32472.18	0	339093334	tu	424447
72	72	73	4773887	0	147	32475.42	0	343866745	tu	424594
73	73	74	4780024	0	147	32517.17	0	348640632	tu	424741
74	74	75	3948188	17552	4067	970.79	0	353420656	tu	428808
75	75	76	3879102	7231	2220	1747.34	0	357368844	tu	431028
76	76	77	3593920	6057	1578	2277.52	0	361247946	tu	432606
77	77	78	4069835	22400	4748	857.17	0	364841866	tu	437354
78	78	79	3523537	541	476	7402.39	0	368911701	tu	437830
79	79	80	3524629	691	500	7049.26	0	372435238	build	438330
80	80	81	4771262	0	143	33365.47	0	375959867	tu	438473
81	81	82	4776839	0	146	32718.08	0	380731129	tu	438619
82	82	83	4779466	0	146	32736.07	0	385507968	tu	438765
83	83	84	4772218	0	146	32686.42	0	390287434	tu	438911
84	84	85	4772748	0	146	32690.05	0	395059652	tu	439057
85	85	86	4772373	0	146	32687.49	0	399832400	tu	439203
86	86	87	4773019	0	146	32691.91	0	404604773	tu	439349
87	87	88	4773036	0	146	32692.03	0	409377792	tu	439495
88	88	89	4771608	0	146	32682.25	0	414150828	tu	439641
89	89	90	4770807	0	146	32676.76	0	418922436	tu	439787
90	90	91	4784758	0	146	32772.32	0	423693243	tu	439933
91	91	92	4778534	0	146	32729.68	0	428478001	tu	440079
92	92	93	4782298	340	342	13983.33	0	433256535	tu	440421
93	93	94	4773405	0	146	32694.55	0	438038833	tu	440567
94	94	95	4776731	0	146	32717.34	0	442812238	tu	440713
95	95	96	4773825	0	146	32697.43	0	447588969	tu	440859
96	96	97	4774591	0	146	32702.68	0	452362794	tu	441005
97	97	98	4783692	0	146	32765.01	0	457137385	tu	441151
98	98	99	4788867	0	146	32800.46	0	461921077	tu	441297
99	99	100	4784404	0	146	32769.89	0	466709944	tu	441443
100	100	101	4772651	0	146	32689.39	0	471494348	tu	441589
101	101	102	4771571	0	146	32681.99	0	476266999	tu	441735
102	102	103	4770633	0	146	32675.57	0	481038570	tu	441881
103	103	104	4771572	0	146	32682.00	0	485809203	tu	442027
104	104	105	4771575	0	146	32682.02	0	490580775	tu	442173
105	105	106	4778363	0	146	32728.51	0	495352350	tu	442319
106	106	107	4786192	0	146	32782.14	0	500130713	tu	442465
107	107	108	4773486	0	146	32695.11	0	504916905	tu	442611
108	108	109	4773867	0	146	32697.72	0	509690391	tu	442757
109	109	110	4776189	0	147	32491.08	0	514464258	tu	442904
110	110	111	4778716	0	147	32508.27	0	519240447	tu	443051
111	111	112	4775355	0	147	32485.41	0	524019163	tu	443198
112	112	113	4774018	0	147	32476.31	0	528794518	tu	443345
113	113	114	4774337	0	147	32478.48	0	533568536	tu	443492
114	114	115	4773411	0	147	32472.18	0	538342873	tu	443639
115	115	116	4773887	0	147	32475.42	0	543116284	tu	443786
116	116	117	4780024	0	147	32517.17	0	547890171	tu	443933
117	117	118	4771262	0	143	33365.47	0	552670195	tu	444076
118	118	119	4776839	0	146	32718.08	0	557441457	tu	444222
119	119	120	4779466	0	146	32736.07	0	562218296	tu	444368
120	120	121	4772218	0	146	32686.42	0	566997762	tu	444514
121	121	122	4772748	0	146	32690.05	0	571769980	tu	444660
122	122	123	4772373	0	146	32687.49	0	576542728	tu	444806
123	123	124	4773019	0	146	32691.91	0	581315101	tu	444952
124	124	125	4773036	0	146	32692.03	0	586088120	tu	445098
125	125	126	4771608	0	146	32682.25	0	590861156	tu	445244
126	126	127	4770807	0	146	32676.76	0	595632764	tu	445390
127	127	128	4784758	0	146	32772.32	0	600403571	tu	445536
128	128	129	4778534	0	146	32729.68	0	605188329	tu	445682
129	129	130	4782298	340	342	13983.33	0	609966863	tu	446024
130	130	131	4773405	0	146	32694.55	0	614749161	tu	446170
131	131	132	4776731	0	146	32717.34	0	619522566	tu	446316
132	132	133	4773825	0	146	32697.43	0	624299297	tu	446462
133	133	134	4774591	0	146	32702.68	0	629073122	tu	446608
134	134	135	4783692	0	146	32765.01	0	633847713	tu	446754
135	135	136	4788867	0	146	32800.46	0	638631405	tu	446900
136	136	137	4784404	0	146	32769.89	0	643420272	tu	447046
137	137	138	4772651	0	146	32689.39	0	648204676	tu	447192
138	138	139	4771571	0	146	32681.99	0	652977327	tu	447338
139	139	140	4770633	0	146	32675.57	0	657748898	tu	447484
140	140	141	4771572	0	146	32682.00	0	662519531	tu	447630
141	141	142	4771575	0	146	32682.02	0	667291103	tu	447776
142	142	143	4778363	0	146	32728.51	0	672062678	tu	447922
143	143	144	4786192	0	146	32782.14	0	676841041	tu	448068
144	144	145	4773486	0	146	32695.11	0	681627233	tu	448214
145	145	146	4773867	0	146	32697.72	0	686400719	tu	448360
146	146	147	4776189	0	147	32491.08	0	691174586	tu	448507
147	147	148	4778716	0	147	32508.27	0	695950775	tu	448654
148	148	149	4775355	0	147	32485.41	0	700729491	tu	448801
149	149	150	4774018	0	147	32476.31	0	705504846	tu	448948
150	150	151	4774337	0	147	32478.48	0	710278864	tu	449095
151	151	152	4773411	0	147	32472.18	0	715053201	tu	449242
152	152	153	4773887	0	147	32475.42	0	719826612	tu	449389
153	153	154	4780024	0	147	32517.17	0	724600499	tu	449536
154	154	155	3948188	0	147	26858.42	0	729380523	tu	449683
155	155	156	3879102	0	147	26388.45	0	733328711	tu	449830
156	156	157	3593920	0	147	24448.44	0	737207813	tu	449977
157	157	158	4069835	0	147	27685.95	0	740801733	tu	450124
158	158	159	3523537	0	147	23969.64	0	744871568	tu	450271
159	159	160	3524629	0	147	23977.07	0	748395105	build	450418
160	160	161	4771262	0	143	33365.47	0	751919734	tu	450561
161	161	162	4776839	0	146	32718.08	0	756690996	tu	450707
162	162	163	4779466	0	146	32736.07	0	761467835	tu	450853
163	163	164	4772218	0	146	32686.42	0	766247301	tu	450999
164	164	165	4772748	0	146	32690.05	0	771019519	tu	451145
165	165	166	4772373	0	146	32687.49	0	775792267	tu	451291
166	166	167	4773019	0	146	32691.91	0	780564640	tu	451437
167	167	168	4773036	0	146	32692.03	0	785337659	tu	451583
168	168	169	4771608	0	146	32682.25	0	790110695	tu	451729
169	169	170	4770807	0	146	32676.76	0	794882303	tu	451875
170	170	171	4784758	0	146	32772.32	0	799653110	tu	452021
171	171	172	4778534	0	146	32729.68	0	804437868	tu	452167
172	172	173	4782298	340	342	13983.33	0	809216402	tu	452509
173	173	174	4773405	0	146	32694.55	0	813998700	tu	452655
174	174	175	4776731	0	146	32717.34	0	818772105	tu	452801
175	175	176	4773825	0	146	32697.43	0	823548836	tu	452947
176	176	177	4774591	0	146	32702.68	0	828322661	tu	453093
177	177	178	4783692	0	146	32765.01	0	833097252	tu	453239
178	178	179	4788867	0	146	32800.46	0	837880944	tu	453385
179	179	180	4784404	0	146	32769.89	0	842669811	tu	453531
180	180	181	4772651	0	146	32689.39	0	847454215	tu	453677
181	181	182	4771571	0	146	32681.99	0	852226866	tu	453823
