group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	closed_by	end_offset
0	0	1	1714549	1666689	192292	8.92	0	0	tu	192364
1	1	2	1214133	58793	9873	122.98	0	1714549	tu	202237
2	2	3	207682	3672	1259	164.96	0	2928682	tu	203496
3	3	4	2336657	1112201	124648	18.75	0	3136364	tu	328144
4	4	5	3073802	222411	30635	100.34	0	5473021	tu	358779
5	5	6	1467681	7069	2203	666.22	0	8546823	tu	360982
6	6	7	2844375	37927	4939	575.90	0	10014504	tu	365921
7	7	8	3127736	195049	17982	173.94	0	12858879	tu	383903
8	8	9	2420583	6052	1832	1321.28	0	15986615	tu	385735
9	9	10	3455396	368129	30679	112.63	0	18407198	tu	416414
10	10	11	3132182	59184	7970	393.00	0	21862594	tu	424384
11	11	12	3199431	102714	6219	514.46	0	24994776	tu	430603
12	12	13	3943931	730882	42298	93.24	0	28194207	tu	472901
13	13	14	3225858	88734	8646	373.10	0	32138138	tu	481547
14	14	15	3089135	53235	8706	354.83	0	35363996	tu	490253
15	15	16	2336657	0	146	16004.50	0	38453131	tu	490399
16	16	17	3152132	136	479	6580.65	0	40789788	tu	490878
17	17	18	1735380	256	498	3484.70	0	43941920	tu	491376
18	18	19	1773548	165	367	4832.56	0	45677300	tu	491743
19	19	20	3344358	102222	13580	246.27	0	47450848	tu	505323
20	20	21	3639521	249763	27905	130.43	0	50795206	tu	533228
21	21	22	3553503	262153	17139	207.33	0	54434727	tu	550367
22	22	23	3102449	220267	20173	153.79	0	57988230	tu	570540
23	23	24	2837863	3640	1499	1893.17	0	61090679	tu	572039
24	24	25	2946037	10550	2646	1113.39	0	63928542	tu	574685
25	25	26	2336657	0	146	16004.50	0	66874579	tu	574831
26	26	27	3152132	136	479	6580.65	0	69211236	tu	575310
27	27	28	1735380	0	153	11342.35	0	72363368	tu	575463
28	28	29	1773548	0	153	11591.82	0	74098748	tu	575616
29	29	30	3270889	65947	8715	375.32	0	75872296	tu	584331
30	30	31	2336657	0	146	16004.50	0	79143185	tu	584477
31	31	32	3152132	136	479	6580.65	0	81479842	tu	584956
32	32	33	1735380	0	153	11342.35	0	84631974	tu	585109
33	33	34	1773548	0	153	11591.82	0	86367354	tu	585262
34	34	35	3547548	106131	7811	454.17	0	88140902	tu	593073
35	35	36	3274096	7531	2732	1198.42	0	91688450	tu	595805
36	36	37	2336657	0	146	16004.50	0	94962546	tu	595951
37	37	38	3152132	136	479	6580.65	0	97299203	tu	596430
38	38	39	1735380	0	153	11342.35	0	100451335	tu	596583
39	39	40	1773548	0	153	11591.82	0	102186715	tu	596736
40	40	41	3586120	102820	8616	416.22	0	103960263	tu	605352
41	41	42	2115274	3027	1416	1493.84	0	107546383	tu	606768
42	42	43	1378731	2042	1502	917.93	0	109661657	tu	608270
43	43	44	3138583	57343	6372	492.56	0	111040388	tu	614642
44	44	45	1714549	0	142	12074.29	0	114178971	tu	614784
45	45	46	2336657	0	146	16004.50	0	115893520	tu	614930
46	46	47	3073802	0	146	21053.44	0	118230177	tu	615076
47	47	48	1467681	0	145	10121.94	0	121303979	tu	615221
48	48	49	3240489	104918	7106	456.02	0	122771660	tu	622327
49	49	50	75734	35887	5201	14.56	0	126012149	tu	627528
50	50	51	3322508	336243	55037	60.37	0	126087883	build	682565
51	51	52	1714549	0	142	12074.29	0	129410391	tu	682707
52	52	53	1214133	0	145	8373.33	0	131124940	tu	682852
53	53	54	207682	0	145	1432.29	0	132339073	tu	682997
54	54	55	2336657	0	146	16004.50	0	132546755	tu	683143
55	55	56	3073802	0	146	21053.44	0	134883412	tu	683289
56	56	57	1467681	0	145	10121.94	0	137957214	tu	683434
57	57	58	2844375	0	146	19482.02	0	139424895	tu	683580
58	58	59	3127736	0	146	21422.85	0	142269270	tu	683726
59	59	60	2420583	0	146	16579.34	0	145397006	tu	683872
60	60	61	3455396	0	146	23667.10	0	147817589	tu	684018
61	61	62	3132182	0	146	21453.30	0	151272985	tu	684164
62	62	63	3199431	0	146	21913.91	0	154405167	tu	684310
63	63	64	3943931	0	146	27013.23	0	157604598	tu	684456
64	64	65	3225858	0	146	22094.92	0	161548529	tu	684602
65	65	66	3089135	0	146	21158.46	0	164774387	tu	684748
66	66	67	2336657	0	146	16004.50	0	167863522	tu	684894
