group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	closed_by	end_offset
0	0	1	1393444	1351181	140742	9.90	0	0	tu	140814
1	1	2	1005165	31358	5462	184.03	0	1393444	tu	146276
2	2	3	1649153	242295	32175	51.26	0	2398609	tu	178451
3	3	4	1540904	10015	2616	589.03	0	4047762	tu	181067
4	4	5	1401513	237137	29106	48.15	0	5588666	tu	210173
5	5	6	1398437	7374	2514	556.26	0	6990179	tu	212687
6	6	7	1283447	5438	1748	734.24	0	8388616	tu	214435
7	7	8	1274151	7880	2479	513.98	0	9672063	tu	216914
8	8	9	1269849	3512	1605	791.18	0	10946214	tu	218519
9	9	10	1359556	4544	1729	786.33	0	12216063	tu	220248
10	10	11	1565182	11518	3247	482.04	0	13575619	tu	223495
11	11	12	1285552	4155	1655	776.77	0	15140801	tu	225150
12	12	13	1435433	8250	2333	615.27	0	16426353	tu	227483
13	13	14	1565904	46764	9017	173.66	0	17861786	tu	236500
14	14	15	1353817	4591	1591	850.92	0	19427690	tu	238091
15	15	16	1261483	5198	1821	692.74	0	20781507	tu	239912
16	16	17	1273076	10554	2866	444.20	0	22042990	tu	242778
17	17	18	1085360	4734	1785	608.04	0	23316066	tu	244563
18	18	19	1276710	5765	2006	636.45	0	24401426	tu	246569
19	19	20	852453	2884	1194	713.95	0	25678136	tu	247763
20	20	21	858168	7580	1646	521.37	0	26530589	tu	249409
21	21	22	1281506	9899	2463	520.30	0	27388757	tu	251872
22	22	23	1283286	7938	2470	519.55	0	28670263	tu	254342
23	23	24	866757	5763	1639	528.83	0	29953549	tu	255981
24	24	25	588656	2465	1176	500.56	0	30820306	tu	257157
25	25	26	677100	2796	1237	547.37	0	31408962	tu	258394
26	26	27	975792	11256	2786	350.25	0	32086062	tu	261180
27	27	28	970894	4315	1510	642.98	0	33061854	tu	262690
28	28	29	1145822	4340	1537	745.49	0	34032748	tu	264227
29	29	30	987870	27343	9806	100.74	0	35178570	tu	274033
30	30	31	974665	4245	1576	618.44	0	36166440	tu	275609
31	31	32	653129	412	419	1558.78	0	37141105	tu	276028
32	32	33	968703	1807	975	993.54	0	37794234	tu	277003
33	33	34	1264373	4969	1952	647.73	0	38762937	tu	278955
34	34	35	974220	1025	737	1321.87	0	40027310	tu	279692
35	35	36	1143250	2316	1078	1060.53	0	41001530	tu	280770
36	36	37	1858649	113240	18005	103.23	0	42144780	tu	298775
37	37	38	1386829	10485	2763	501.93	0	44003429	tu	301538
38	38	39	973904	3323	1369	711.40	0	45390258	tu	302907
39	39	40	2430503	669235	87405	27.81	0	46364162	tu	390312
40	40	41	2263520	15577	2501	905.05	0	48794665	tu	392813
41	41	42	2960987	530663	59158	50.05	0	51058185	tu	451971
42	42	43	3079393	26984	4597	669.87	0	54019172	tu	456568
43	43	44	3164428	90173	6251	506.23	0	57098565	tu	462819
44	44	45	3712606	635700	27122	136.89	0	60262993	tu	489941
45	45	46	2487449	45631	3605	690.00	0	63975599	tu	493546
46	46	47	2487429	45921	3418	727.74	0	66463048	tu	496964
47	47	48	2675548	233174	9213	290.41	0	68950477	tu	506177
48	48	49	3168513	95877	5467	579.57	0	71626025	tu	511644
49	49	50	3030210	61490	5682	533.30	0	74794538	tu	517326
50	50	51	2450696	7933	1923	1274.41	0	77824748	tu	519249
51	51	52	3159213	169895	6487	487.01	0	80275444	tu	525736
52	52	53	2496774	35252	3020	826.75	0	83434657	tu	528756
53	53	54	3184448	123747	5772	551.71	0	85931431	tu	534528
54	54	55	3012445	44994	3374	892.84	0	89115879	tu	537902
55	55	56	3103474	109514	9108	340.74	0	92128324	tu	547010
56	56	57	2261600	11227	2151	1051.42	0	95231798	tu	549161
57	57	58	2992718	25248	2969	1007.99	0	97493398	tu	552130
58	58	59	2341579	81232	4457	525.37	0	100486116	tu	556587
59	59	60	2339508	81063	4649	503.23	0	102827695	tu	561236
60	60	61	2274866	24838	2241	1015.11	0	105167203	tu	563477
61	61	62	2259729	10473	1639	1378.72	0	107442069	tu	565116
62	62	63	2304281	48006	3321	693.85	0	109701798	tu	568437
63	63	64	2960987	0	146	20280.73	0	112006079	tu	568583
64	64	65	63434	40543	5635	11.26	0	114967066	tu	574218
65	65	66	2960987	0	146	20280.73	0	115030500	tu	574364
66	66	67	3075303	102309	9333	329.51	0	117991487	tu	583697
67	67	68	1237586	6203	1861	665.01	0	121066790	tu	585558
68	68	69	2960987	0	146	20280.73	0	122304376	tu	585704
69	69	70	3008261	37258	7669	392.26	0	125265363	tu	593373
70	70	71	3022043	114715	18110	166.87	0	128273624	tu	611483
71	71	72	2950258	4588	1953	1510.63	0	131295667	tu	613436
72	72	73	3176014	449798	65799	48.27	0	134245925	tu	679235
73	73	74	2252078	1782	1345	1674.41	0	137421939	tu	680580
74	74	75	2626856	279072	37864	69.38	0	139674017	tu	718444
75	75	76	1950937	8521	2739	712.28	0	142300873	tu	721183
76	76	77	1624171	3745	1556	1043.81	0	144251810	tu	722739
77	77	78	2395715	21831	5333	449.22	0	145875981	tu	728072
78	78	79	2387804	19708	5146	464.01	0	148271696	tu	733218
79	79	80	1255571	748	736	1705.94	0	150659500	tu	733954
80	80	81	1472305	9909	2504	587.98	0	151915071	tu	736458
81	81	82	2076773	10929	3004	691.34	0	153387376	tu	739462
82	82	83	1905125	7423	2428	784.65	0	155464149	tu	741890
83	83	84	2175542	9020	3070	708.65	0	157369274	tu	744960
84	84	85	1307906	2863	1326	986.35	0	159544816	tu	746286
85	85	86	1902423	4716	1971	965.21	0	160852722	tu	748257
86	86	87	2299063	14038	4047	568.09	0	162755145	tu	752304
87	87	88	1738687	5068	1991	873.27	0	165054208	tu	754295
88	88	89	1999382	4239	1759	1136.66	0	166792895	tu	756054
89	89	90	2094359	7415	2675	782.94	0	168792277	tu	758729
90	90	91	1890513	9381	2591	729.65	0	170886636	tu	761320
91	91	92	2634691	50502	9762	269.89	0	172777149	tu	771082
92	92	93	2016038	7262	2520	800.02	0	175411840	tu	773602
93	93	94	1325127	1364	695	1906.66	0	177427878	build	774297
94	94	95	1393444	0	142	9812.99	0	178753005	tu	774439
95	95	96	1005165	0	145	6932.17	0	180146449	tu	774584
96	96	97	1649153	0	145	11373.47	0	181151614	tu	774729
