group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	closed_by	end_offset
0	0	112	144346085	2511857	237389	608.06	0	0	tu	237461
1	112	224	118079735	1374639	143816	821.05	0	144346085	tu	381277
2	224	336	196453677	602509	63657	3086.13	0	262425820	tu	444934
3	336	448	222970223	1281767	86931	2564.91	0	458879497	tu	531865
4	448	537	184639221	842869	93231	1980.45	0	681849720	build	625096
5	537	649	144346085	0	1031	140005.90	0	866488941	tu	626127
6	649	761	118079735	0	1035	114086.70	0	1010835026	tu	627162
7	761	873	196453677	0	1035	189810.32	55172937	1073741824	tu	628197
8	873	985	222970223	0	1035	215430.17	251626614	1073741824	tu	629232
9	985	1074	184639221	0	851	216967.36	474596837	1073741824	build	630083
10	1074	1186	144346085	2476592	234295	616.09	659236058	1073741824	tu	864378
11	1186	1298	118079735	1377647	144295	818.32	803582143	1073741824	tu	1008673
12	1298	1410	196453677	623040	66212	2967.04	921661878	1073741824	tu	1074885
13	1410	1522	222970223	1281767	86926	2565.06	1118115555	1073741824	tu	1161811
14	1522	1611	184639221	843377	93332	1978.31	1341085778	1073741824	build	1255143
15	1611	1723	144346085	0	1035	139464.82	1525724999	1073741824	tu	1256178
16	1723	1835	118079735	0	1035	114086.70	1670071084	1073741824	tu	1257213
17	1835	1947	196453677	0	1035	189810.32	1788150819	1073741824	tu	1258248
18	1947	2059	222970223	0	1035	215430.17	1984604496	1073741824	tu	1259283
19	2059	2148	184639221	0	851	216967.36	2207574719	1073741824	build	1260134
