group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	closed_by	end_offset
0	0	1	1496695	1451610	157784	9.49	0	0	tu	157856
1	1	2	1750960	248337	31387	55.79	0	1496695	tu	189243
2	2	3	1810990	126503	19038	95.13	0	3247655	tu	208281
3	3	4	1439885	16040	4048	355.70	0	5058645	tu	212329
4	4	5	1197209	7546	2195	545.43	0	6498530	tu	214524
5	5	6	1580971	20982	4384	360.62	0	7695739	tu	218908
6	6	7	1468475	15388	4033	364.11	0	9276710	tu	222941
7	7	8	1467018	67977	11089	132.29	0	10745185	tu	234030
8	8	9	10456	3199	923	11.33	0	12212203	tu	234953
9	9	10	1410969	20386	4446	317.36	0	12222659	tu	239399
10	10	11	1447898	15454	3522	411.10	0	13633628	tu	242921
11	11	12	1483622	30984	6725	220.61	0	15081526	tu	249646
12	12	13	1564628	41951	7760	201.63	0	16565148	tu	257406
13	13	14	1552547	25045	5766	269.26	0	18129776	tu	263172
14	14	15	1495660	8208	2451	610.22	0	19682323	tu	265623
15	15	16	1336603	16950	3442	388.32	0	21177983	tu	269065
16	16	17	857848	2878	1276	672.29	0	22514586	tu	270341
17	17	18	1201306	8523	2656	452.30	0	23372434	tu	272997
18	18	19	21132	13886	3235	6.53	0	24573740	tu	276232
19	19	20	132571	114660	22215	5.97	0	24594872	tu	298447
20	20	21	26370	3607	1355	19.46	0	24727443	tu	299802
21	21	22	759620	5932	1927	394.20	0	24753813	tu	301729
22	22	23	1494907	6844	2094	713.90	0	25513433	tu	303823
23	23	24	1091510	4032	1605	680.07	0	27008340	tu	305428
24	24	25	1893739	350200	32557	58.17	0	28099850	tu	337985
25	25	26	1195003	1498	853	1400.94	0	29993589	tu	338838
26	26	27	1709466	7672	2469	692.37	0	31188592	tu	341307
27	27	28	1450567	4457	1832	791.79	0	32898058	tu	343139
28	28	29	1530552	23951	4913	311.53	0	34348625	tu	348052
29	29	30	1025043	36609	5866	174.74	0	35879177	tu	353918
30	30	31	1093945	6885	2061	530.78	0	36904220	tu	355979
31	31	32	764286	1336	953	801.98	0	37998165	tu	356932
32	32	33	1509484	21394	3407	443.05	0	38762451	tu	360339
33	33	34	764286	181	327	2337.27	0	40271935	tu	360666
34	34	35	1419168	17539	3601	394.10	0	41036221	tu	364267
35	35	36	764286	181	327	2337.27	0	42455389	tu	364594
36	36	37	1490855	2911	1297	1149.46	0	43219675	tu	365891
37	37	38	764286	181	327	2337.27	0	44710530	tu	366218
38	38	39	1110682	22989	4152	267.51	0	45474816	tu	370370
39	39	40	764286	181	327	2337.27	0	46585498	tu	370697
40	40	41	1880684	11941	2672	703.85	0	47349784	tu	373369
41	41	42	764286	181	327	2337.27	0	49230468	tu	373696
42	42	43	1481788	150522	15516	95.50	0	49994754	tu	389212
43	43	44	764286	181	327	2337.27	0	51476542	tu	389539
44	44	45	1283114	9062	1948	658.68	0	52240828	tu	391487
45	45	46	764286	181	327	2337.27	0	53523942	tu	391814
46	46	47	1196938	5668	1735	689.88	0	54288228	tu	393549
47	47	48	764286	181	327	2337.27	0	55485166	tu	393876
48	48	49	1501133	12728	2136	702.78	0	56249452	tu	396012
49	49	50	764286	181	327	2337.27	0	57750585	tu	396339
50	50	51	1895521	8039	2175	871.50	0	58514871	tu	398514
51	51	52	764286	181	327	2337.27	0	60410392	tu	398841
52	52	53	1430203	29071	2717	526.39	0	61174678	tu	401558
53	53	54	764286	181	327	2337.27	0	62604881	tu	401885
54	54	55	1094923	7358	2178	502.72	0	63369167	tu	404063
55	55	56	764286	181	327	2337.27	0	64464090	tu	404390
56	56	57	1453058	5020	1658	876.39	0	65228376	tu	406048
57	57	58	764286	181	327	2337.27	0	66681434	tu	406375
58	58	59	1893180	27220	5389	351.30	0	67445720	tu	411764
59	59	60	764286	181	327	2337.27	0	69338900	tu	412091
60	60	61	1451914	1702	862	1684.35	0	70103186	tu	412953
61	61	62	764286	181	327	2337.27	0	71555100	tu	413280
62	62	63	1629581	2209	1176	1385.70	0	72319386	tu	414456
63	63	64	764286	181	327	2337.27	0	73948967	tu	414783
64	64	65	1631687	3530	1573	1037.31	0	74713253	tu	416356
65	65	66	764286	181	327	2337.27	0	76344940	tu	416683
66	66	67	1451577	1314	750	1935.44	0	77109226	tu	417433
67	67	68	764286	181	327	2337.27	0	78560803	tu	417760
68	68	69	1454020	3716	1439	1010.44	0	79325089	tu	419199
69	69	70	764286	181	327	2337.27	0	80779109	tu	419526
70	70	71	1783268	96023	8581	207.82	0	81543395	tu	428107
71	71	72	1310665	4810	2036	643.75	0	83326663	build	430143
72	72	73	1496695	0	142	10540.11	0	84637328	tu	430285
73	73	74	1750960	0	145	12075.59	0	86134023	tu	430430
74	74	75	1810990	0	145	12489.59	0	87884983	tu	430575
75	75	76	1439885	0	145	9930.24	0	89695973	tu	430720
76	76	77	1197209	0	145	8256.61	0	91135858	tu	430865
77	77	78	1580971	0	145	10903.25	0	92333067	tu	431010
78	78	79	1468475	0	145	10127.41	0	93914038	tu	431155
79	79	80	1467018	0	145	10117.37	0	95382513	tu	431300
80	80	81	10456	0	144	72.61	0	96849531	tu	431444
81	81	82	1410969	0	145	9730.82	0	96859987	tu	431589
82	82	83	1447898	0	145	9985.50	0	98270956	tu	431734
83	83	84	1483622	0	145	10231.88	0	99718854	tu	431879
84	84	85	1564628	0	145	10790.54	0	101202476	tu	432024
85	85	86	1552547	0	145	10707.22	0	102767104	tu	432169
86	86	87	1495660	0	145	10314.90	0	104319651	tu	432314
87	87	88	1336603	0	145	9217.95	0	105815311	tu	432459
88	88	89	857848	0	145	5916.19	0	107151914	tu	432604
89	89	90	1201306	0	145	8284.87	0	108009762	tu	432749
90	90	91	21132	0	145	145.74	0	109211068	tu	432894
91	91	92	132571	0	145	914.28	0	109232200	tu	433039
92	92	93	26370	0	145	181.86	0	109364771	tu	433184
93	93	94	759620	0	145	5238.76	0	109391141	tu	433329
94	94	95	1494907	0	145	10309.70	0	110150761	tu	433474
95	95	96	1091510	0	145	7527.66	0	111645668	tu	433619
96	96	97	1893739	0	145	13060.27	0	112737178	tu	433764
97	97	98	1195003	0	145	8241.40	0	114630917	tu	433909
98	98	99	1709466	0	145	11789.42	0	115825920	tu	434054
99	99	100	1450567	0	145	10003.91	0	117535386	tu	434199
100	100	101	1530552	0	145	10555.53	0	118985953	tu	434344
101	101	102	1025043	0	145	7069.26	0	120516505	tu	434489
102	102	103	1093945	0	145	7544.45	0	121541548	tu	434634
103	103	104	764286	181	327	2337.27	0	122635493	tu	434961
104	104	105	1509484	0	145	10410.23	0	123399779	tu	435106
105	105	106	764286	181	327	2337.27	0	124909263	tu	435433
106	106	107	1419168	0	145	9787.37	0	125673549	tu	435578
107	107	108	764286	181	327	2337.27	0	127092717	tu	435905
108	108	109	1490855	0	145	10281.76	0	127857003	tu	436050
109	109	110	764286	181	327	2337.27	0	129347858	tu	436377
110	110	111	1110682	0	145	7659.88	0	130112144	tu	436522
111	111	112	764286	181	327	2337.27	0	131222826	tu	436849
112	112	113	1880684	0	145	12970.23	0	131987112	tu	436994
113	113	114	764286	181	327	2337.27	0	133867796	tu	437321
114	114	115	1481788	0	145	10219.23	0	134632082	tu	437466
115	115	116	764286	181	327	2337.27	0	136113870	tu	437793
116	116	117	1283114	0	145	8849.06	0	136878156	tu	437938
117	117	118	764286	181	327	2337.27	0	138161270	tu	438265
118	118	119	1196938	0	145	8254.74	0	138925556	tu	438410
119	119	120	764286	181	327	2337.27	0	140122494	tu	438737
120	120	121	1501133	0	145	10352.64	0	140886780	tu	438882
121	121	122	764286	181	327	2337.27	0	142387913	tu	439209
122	122	123	1895521	0	145	13072.56	0	143152199	tu	439354
123	123	124	764286	181	327	2337.27	0	145047720	tu	439681
124	124	125	1430203	0	145	9863.47	0	145812006	tu	439826
125	125	126	764286	181	327	2337.27	0	147242209	tu	440153
126	126	127	1094923	0	145	7551.19	0	148006495	tu	440298
127	127	128	764286	181	327	2337.27	0	149101418	tu	440625
128	128	129	1453058	0	145	10021.09	0	149865704	tu	440770
129	129	130	764286	181	327	2337.27	0	151318762	tu	441097
130	130	131	1893180	0	145	13056.41	0	152083048	tu	441242
131	131	132	764286	181	327	2337.27	0	153976228	tu	441569
132	132	133	1451914	0	145	10013.20	0	154740514	tu	441714
133	133	134	764286	181	327	2337.27	0	156192428	tu	442041
134	134	135	1629581	0	145	11238.49	0	156956714	tu	442186
135	135	136	764286	181	327	2337.27	0	158586295	tu	442513
136	136	137	1631687	0	145	11253.01	0	159350581	tu	442658
137	137	138	764286	181	327	2337.27	0	160982268	tu	442985
138	138	139	1451577	0	145	10010.88	0	161746554	tu	443130
139	139	140	764286	181	327	2337.27	0	163198131	tu	443457
