tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	catch2	conan-gcc	223747	223747	296397	NA	48471	32400	NA	0
1	1	catch2	conan-gcc	917475	1141222	330754	NA	216885	170786	NA	0
2	1	catch2	conan-gcc	230379	1371601	331317	NA	227841	204361	NA	0
3	1	catch2	conan-gcc	1018350	2389951	347552	NA	325726	361996	NA	0
4	1	catch2	conan-gcc	1542442	3932393	376381	NA	501082	578857	NA	0
5	1	catch2	conan-gcc	101255	4033648	376725	NA	505758	595069	NA	0
6	1	catch2	conan-gcc	1180066	5213714	379666	NA	571801	779380	NA	0
7	1	catch2	conan-gcc	1711876	6925590	381103	NA	649938	1031464	NA	0
8	1	catch2	conan-gcc	896404	7821994	382027	NA	692883	1171938	NA	0
9	1	catch2	conan-gcc	1287289	9109283	389746	NA	777988	1372585	NA	0
10	1	catch2	conan-gcc	1089379	10198662	392239	NA	832517	1535828	NA	0
11	1	catch2	conan-gcc	1335303	11533965	393134	NA	900774	1742844	NA	0
12	1	catch2	conan-gcc	1364437	12898402	394647	NA	975865	1955814	NA	0
13	1	catch2	conan-gcc	1239976	14138378	395592	NA	1036245	2141438	NA	0
14	1	catch2	conan-gcc	1052164	15190542	395943	NA	1084695	2300286	NA	0
15	1	catch2	conan-gcc	1942358	17132900	406511	NA	1215886	2594277	NA	0
16	1	catch2	conan-gcc	1489095	18621995	412217	NA	1304220	2825305	NA	0
17	1	catch2	conan-gcc	1740681	20362676	413153	NA	1390342	3094673	NA	0
18	1	catch2	conan-gcc	1305035	21667711	414033	NA	1457301	3298012	NA	0
19	1	catch2	conan-gcc	687318	22355029	414941	NA	1489657	3401105	NA	0
20	1	catch2	conan-gcc	1345340	23700369	415483	NA	1556156	3610242	NA	0
21	1	catch2	conan-gcc	1051906	24752275	415656	NA	1603894	3769362	NA	0
22	1	catch2	conan-gcc	1513040	26265315	416274	NA	1678426	4001470	NA	0
23	1	catch2	conan-gcc	1342795	27608110	416838	NA	1744949	4209636	NA	0
24	1	catch2	conan-gcc	1348801	28956911	417451	NA	1813145	4418959	NA	0
25	1	catch2	conan-gcc	926883	29883794	417904	NA	1857203	4564518	NA	0
26	1	catch2	conan-gcc	909932	30793726	418162	NA	1898185	4701518	NA	0
27	1	catch2	conan-gcc	772834	31566560	418498	NA	1934104	4818966	NA	0
28	1	catch2	conan-gcc	1174219	32740779	418954	NA	1990078	5002113	NA	0
29	1	catch2	conan-gcc	660846	33401625	419175	NA	2019505	5101296	NA	0
30	1	catch2	conan-gcc	1305407	34707032	419712	NA	2084147	5305149	NA	0
31	1	catch2	conan-gcc	680370	35387402	419895	NA	2114208	5406994	NA	0
32	1	catch2	conan-gcc	516820	35904222	420144	NA	2137687	5484749	NA	0
33	1	catch2	conan-gcc	1439386	37343608	420631	NA	2206189	5701173	NA	0
34	1	catch2	conan-gcc	922008	38265616	421014	NA	2250822	5845932	NA	0
35	1	catch2	conan-gcc	1392256	39657872	424839	NA	2329764	6062668	NA	0
36	1	catch2	conan-gcc	1049953	40707825	425269	NA	2377907	6221092	NA	0
37	1	catch2	conan-gcc	1249413	41957238	426116	NA	2439462	6417016	NA	0
38	1	catch2	conan-gcc	1284389	43241627	427278	NA	2503667	6616736	NA	0
39	1	catch2	conan-gcc	1983493	45225120	441127	NA	2643544	6923726	NA	0
40	1	catch2	conan-gcc	663612	45888732	441463	NA	2673549	7023261	NA	0
41	1	catch2	conan-gcc	1228140	47116872	442028	NA	2736490	7214661	NA	0
42	1	catch2	conan-gcc	1336414	48453286	442411	NA	2801579	7420992	NA	0
43	1	catch2	conan-gcc	219527	48672813	442681	NA	2810278	7452466	NA	0
44	1	catch2	conan-gcc	1361688	50034501	443393	NA	2879737	7665729	NA	0
45	1	catch2	conan-gcc	12652	50047153	443615	NA	2880938	7668270	NA	0
46	1	catch2	conan-gcc	789631	50836784	443961	NA	2918050	7789302	NA	0
47	1	catch2	conan-gcc	892968	51729752	444236	NA	2960768	7929152	NA	0
48	1	catch2	conan-gcc	1244826	52974578	445982	NA	3026409	8123463	NA	0
49	1	catch2	conan-gcc	969018	53943596	446318	NA	3071531	8268288	NA	0
50	1	catch2	conan-gcc	1501525	55445121	447002	NA	3149512	8500078	NA	0
51	1	catch2	conan-gcc	1634106	57079227	447581	NA	3231110	8754200	NA	0
52	1	catch2	conan-gcc	1184505	58263732	450502	NA	3297284	8940482	NA	0
53	1	catch2	conan-gcc	18635	58282367	450907	NA	3298354	8944010	NA	0
54	1	catch2	conan-gcc	893018	59175385	451282	NA	3340813	9083816	NA	0
55	1	catch2	conan-gcc	989757	60165142	451684	NA	3388349	9237796	NA	0
56	1	catch2	conan-gcc	1180030	61345172	451901	NA	3444081	9420015	NA	0
57	1	catch2	conan-gcc	895667	62240839	452146	NA	3486746	9560287	NA	0
58	1	catch2	conan-gcc	797936	63038775	452470	NA	3524398	9681771	NA	0
59	1	catch2	conan-gcc	6488	63045263	452754	NA	3524919	9683209	NA	0
60	1	catch2	conan-gcc	1016038	64061301	453069	NA	3574496	9843742	NA	0
61	1	catch2	conan-gcc	1147425	65208726	456102	NA	3637006	10023079	NA	0
62	1	catch2	conan-gcc	619895	65828621	456530	NA	3661835	10107829	NA	0
63	1	catch2	conan-gcc	52255	65880876	457014	NA	3664329	10116752	NA	0
64	1	catch2	conan-gcc	1001550	66882426	457540	NA	3713307	10273047	NA	0
65	1	catch2	conan-gcc	1429952	68312378	458103	NA	3781488	10485976	NA	0
66	1	catch2	conan-gcc	1181245	69493623	458476	NA	3837337	10668457	NA	0
67	1	catch2	conan-gcc	661362	70154985	458698	NA	3866793	10767739	NA	0
68	1	catch2	conan-gcc	1111613	71266598	459119	NA	3918703	10935360	NA	0
69	1	catch2	conan-gcc	679695	71946293	459445	NA	3949084	11037274	NA	0
70	1	catch2	conan-gcc	985641	72931934	460046	NA	3997866	11190451	NA	0
71	1	catch2	conan-gcc	870758	73802692	460833	NA	4037801	11320534	NA	0
72	1	catch2	conan-gcc	599159	74401851	461088	NA	4061464	11402169	NA	0
73	1	catch2	conan-gcc	12590	74414441	461328	NA	4062666	11404867	NA	0
74	1	catch2	conan-gcc	1590345	76004786	461733	NA	4135067	11636057	NA	0
75	1	catch2	conan-gcc	1468093	77472879	462979	NA	4206773	11865231	NA	0
76	1	catch2	conan-gcc	1214909	78687788	463473	NA	4264519	12046156	NA	0
77	1	catch2	conan-gcc	1080268	79768056	463886	NA	4317576	12215896	NA	0
78	1	catch2	conan-gcc	1574825	81342881	465699	NA	4399137	12459562	NA	0
79	1	catch2	conan-gcc	696342	82039223	466178	NA	4430955	12564559	NA	0
80	1	catch2	conan-gcc	517652	82556875	466374	NA	4454524	12642650	NA	0
81	1	catch2	conan-gcc	909335	83466210	466613	NA	4497850	12784519	NA	0
82	1	catch2	conan-gcc	529459	83995669	466849	NA	4522070	12865083	NA	0
83	1	catch2	conan-gcc	931637	84927306	467186	NA	4566456	13009652	NA	0
84	1	catch2	conan-gcc	1033787	85961093	467552	NA	4617726	13172710	NA	0
