tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	catch2	debian-gcc	213992	213992	287380	NA	46290	30857	NA	0
1	1	catch2	debian-gcc	807855	1021847	318765	NA	194226	153219	NA	0
2	1	catch2	debian-gcc	220560	1242407	319322	NA	204959	185244	NA	0
3	1	catch2	debian-gcc	902708	2145115	334497	NA	296274	325888	NA	0
4	1	catch2	debian-gcc	1442224	3587339	363321	NA	467058	527765	NA	0
5	1	catch2	debian-gcc	103466	3690805	363678	NA	471743	543981	NA	0
6	1	catch2	debian-gcc	1113900	4804705	368593	NA	542091	718687	NA	0
7	1	catch2	debian-gcc	1653381	6458086	369997	NA	620125	961861	NA	0
8	1	catch2	debian-gcc	795061	7253147	370863	NA	658619	1087497	NA	0
9	1	catch2	debian-gcc	1220026	8473173	378800	NA	740978	1278823	NA	0
10	1	catch2	debian-gcc	1033666	9506839	381258	NA	793435	1434032	NA	0
11	1	catch2	debian-gcc	1267813	10774652	382143	NA	858908	1631469	NA	0
12	1	catch2	debian-gcc	1296819	12071471	383653	NA	931275	1834913	NA	0
13	1	catch2	debian-gcc	1183289	13254760	384589	NA	989247	2012486	NA	0
14	1	catch2	debian-gcc	996662	14251422	384942	NA	1035609	2163500	NA	0
15	1	catch2	debian-gcc	1817264	16068686	395332	NA	1161299	2438405	NA	0
16	1	catch2	debian-gcc	1420631	17489317	401088	NA	1246764	2659831	NA	0
17	1	catch2	debian-gcc	1668912	19158229	402024	NA	1330239	2919079	NA	0
18	1	catch2	debian-gcc	1237684	20395913	402924	NA	1394479	3113028	NA	0
19	1	catch2	debian-gcc	596984	20992897	403784	NA	1423113	3202848	NA	0
20	1	catch2	debian-gcc	1277758	22270655	404329	NA	1486874	3402590	NA	0
21	1	catch2	debian-gcc	996396	23267051	404503	NA	1532437	3553792	NA	0
22	1	catch2	debian-gcc	1444473	24711524	405140	NA	1604184	3776232	NA	0
23	1	catch2	debian-gcc	1275035	25986559	405691	NA	1667951	3974904	NA	0
24	1	catch2	debian-gcc	1281251	27267810	406313	NA	1733415	4174774	NA	0
25	1	catch2	debian-gcc	824889	28092699	406765	NA	1773166	4305334	NA	0
26	1	catch2	debian-gcc	800337	28893036	406998	NA	1809563	4426457	NA	0
27	1	catch2	debian-gcc	673636	29566672	407340	NA	1841325	4529214	NA	0
28	1	catch2	debian-gcc	1107979	30674651	407804	NA	1894537	4703117	NA	0
29	1	catch2	debian-gcc	566901	31241552	408024	NA	1920064	4788355	NA	0
30	1	catch2	debian-gcc	1237862	32479414	408557	NA	1982023	4982844	NA	0
31	1	catch2	debian-gcc	590116	33069530	408744	NA	2008342	5071401	NA	0
32	1	catch2	debian-gcc	428010	33497540	408999	NA	2027671	5135533	NA	0
33	1	catch2	debian-gcc	1319409	34816949	409472	NA	2090409	5333930	NA	0
34	1	catch2	debian-gcc	819994	35636943	409856	NA	2130798	5463909	NA	0
35	1	catch2	debian-gcc	1324563	36961506	413648	NA	2207147	5671101	NA	0
36	1	catch2	debian-gcc	994657	37956163	414018	NA	2253027	5821723	NA	0
37	1	catch2	debian-gcc	1132113	39088276	414886	NA	2309566	6000347	NA	0
38	1	catch2	debian-gcc	1217624	40305900	415939	NA	2370949	6190553	NA	0
39	1	catch2	debian-gcc	1913783	42219683	429144	NA	2507439	6487542	NA	0
40	1	catch2	debian-gcc	573877	42793560	429483	NA	2533528	6573899	NA	0
41	1	catch2	debian-gcc	1116937	43910497	430038	NA	2591237	6748929	NA	0
