tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	catch2	fedora-clang-libcxx	3155422	3155422	422905	NA	485662	336699	NA	0
1	1	catch2	fedora-clang-libcxx	3164623	6320045	423835	NA	582465	675345	NA	0
2	1	catch2	fedora-clang-libcxx	3161214	9481259	424303	NA	676500	1013183	NA	0
3	1	catch2	fedora-clang-libcxx	3373427	12854686	430399	NA	804096	1372959	NA	0
4	1	catch2	fedora-clang-libcxx	3411279	16265965	446093	NA	943012	1735375	NA	0
5	1	catch2	fedora-clang-libcxx	275909	16541874	447545	NA	951725	1764000	NA	0
6	1	catch2	fedora-clang-libcxx	3403208	19945082	449878	NA	1060179	2130953	NA	0
7	1	catch2	fedora-clang-libcxx	3711002	23656084	450651	NA	1170176	2526455	NA	0
8	1	catch2	fedora-clang-libcxx	3297360	26953444	453822	NA	1267439	2877926	NA	0
9	1	catch2	fedora-clang-libcxx	3580940	30534384	461912	NA	1398171	3259795	NA	0
10	1	catch2	fedora-clang-libcxx	3426194	33960578	463756	NA	1501572	3623036	NA	0
11	1	catch2	fedora-clang-libcxx	3650265	37610843	464645	NA	1610646	4010734	NA	0
12	1	catch2	fedora-clang-libcxx	3678394	41289237	466058	NA	1725801	4404511	NA	0
13	1	catch2	fedora-clang-libcxx	3378093	44667330	466756	NA	1826911	4766053	NA	0
14	1	catch2	fedora-clang-libcxx	3367728	48035058	467097	NA	1924973	5125476	NA	0
15	1	catch2	fedora-clang-libcxx	3638122	51673180	471266	NA	2042380	5515885	NA	0
16	1	catch2	fedora-clang-libcxx	3722679	55395859	473391	NA	2157972	5912894	NA	0
17	1	catch2	fedora-clang-libcxx	3749660	59145519	474275	NA	2271457	6314877	NA	0
18	1	catch2	fedora-clang-libcxx	3597830	62743349	475174	NA	2379625	6699493	NA	0
19	1	catch2	fedora-clang-libcxx	2248856	64992205	476081	NA	2448388	6935703	NA	0
20	1	catch2	fedora-clang-libcxx	3659278	68651483	476631	NA	2555681	7325769	NA	0
21	1	catch2	fedora-clang-libcxx	3367538	72019021	476815	NA	2653137	7685378	NA	0
22	1	catch2	fedora-clang-libcxx	3653193	75672214	477384	NA	2760206	8073586	NA	0
23	1	catch2	fedora-clang-libcxx	3656680	79328894	477913	NA	2867556	8462367	NA	0
24	1	catch2	fedora-clang-libcxx	3663710	82992604	478538	NA	2976405	8852493	NA	0
25	1	catch2	fedora-clang-libcxx	3311039	86303643	479122	NA	3072780	9207343	NA	0
26	1	catch2	fedora-clang-libcxx	3157969	89461612	479371	NA	3164594	9546005	NA	0
27	1	catch2	fedora-clang-libcxx	2788293	92249905	479704	NA	3249396	9843443	NA	0
28	1	catch2	fedora-clang-libcxx	3395784	95645689	480122	NA	3348852	10208172	NA	0
29	1	catch2	fedora-clang-libcxx	2239358	97885047	480516	NA	3415123	10442347	NA	0
30	1	catch2	fedora-clang-libcxx	3596148	101481195	481045	NA	3520977	10827023	NA	0
31	1	catch2	fedora-clang-libcxx	2241959	103723154	481222	NA	3587349	11061908	NA	0
32	1	catch2	fedora-clang-libcxx	2786449	106509603	481472	NA	3671649	11359806	NA	0
33	1	catch2	fedora-clang-libcxx	3388530	109898133	481932	NA	3772271	11723792	NA	0
34	1	catch2	fedora-clang-libcxx	3307090	113205223	482320	NA	3869022	12078225	NA	0
35	1	catch2	fedora-clang-libcxx	3827788	117033011	488682	NA	4008966	12485967	NA	0
36	1	catch2	fedora-clang-libcxx	3364193	120397204	489132	NA	4106524	12844316	NA	0
37	1	catch2	fedora-clang-libcxx	3390908	123788112	491217	NA	4207192	13208690	NA	0
