tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	catch2	linuxbrew	218940	218940	285724	NA	46469	31012	NA	0
1	1	catch2	linuxbrew	839310	1058250	317133	NA	195074	153455	NA	0
2	1	catch2	linuxbrew	224821	1283071	317594	NA	205648	185570	NA	0
3	1	catch2	linuxbrew	946492	2229563	332784	NA	297577	326906	NA	0
4	1	catch2	linuxbrew	1478533	3708096	361270	NA	465796	527367	NA	0
5	1	catch2	linuxbrew	108107	3816203	361608	NA	470466	543812	NA	0
6	1	catch2	linuxbrew	1161485	4977688	366750	NA	540730	718909	NA	0
7	1	catch2	linuxbrew	1693224	6670912	368078	NA	617942	960733	NA	0
8	1	catch2	linuxbrew	836419	7507331	368785	NA	656176	1087109	NA	0
9	1	catch2	linuxbrew	1271009	8778340	376673	NA	738416	1278899	NA	0
10	1	catch2	linuxbrew	1070628	9848968	379126	NA	790460	1434318	NA	0
11	1	catch2	linuxbrew	1321317	11170285	380030	NA	855600	1632416	NA	0
12	1	catch2	linuxbrew	1349763	12520048	381415	NA	927533	1836417	NA	0
13	1	catch2	linuxbrew	1231181	13751229	382122	NA	984943	2014265	NA	0
14	1	catch2	linuxbrew	1031195	14782424	382463	NA	1030882	2165361	NA	0
15	1	catch2	linuxbrew	1878381	16660805	393108	NA	1155850	2439712	NA	0
16	1	catch2	linuxbrew	1477695	18138500	398477	NA	1240815	2661774	NA	0
17	1	catch2	linuxbrew	1745312	19883812	399368	NA	1324111	2921771	NA	0
18	1	catch2	linuxbrew	1288012	21171824	400256	NA	1388037	3116205	NA	0
19	1	catch2	linuxbrew	620952	21792776	401005	NA	1416471	3206307	NA	0
20	1	catch2	linuxbrew	1330443	23123219	401525	NA	1479777	3406552	NA	0
21	1	catch2	linuxbrew	1031017	24154236	401697	NA	1525049	3557822	NA	0
22	1	catch2	linuxbrew	1513720	25667956	402277	NA	1596415	3781186	NA	0
