tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	cereal	debian-gcc	3518074	3518074	446344	NA	762320	520743	95294	0
1	1	cereal	debian-gcc	3523605	7041679	446680	NA	912408	1042022	176427	0
2	1	cereal	debian-gcc	3523686	10565365	447059	NA	1062979	1563333	176623	0
3	1	cereal	debian-gcc	3518991	14084356	447271	NA	1212182	2084179	176819	0
4	1	cereal	debian-gcc	3519520	17603876	447507	NA	1361350	2605004	177015	0
5	1	cereal	debian-gcc	3519112	21122988	447738	NA	1510484	3125896	177211	0
6	1	cereal	debian-gcc	3519831	24642819	448083	NA	1660617	3647227	177407	0
7	1	cereal	debian-gcc	3519843	28162662	448322	NA	1809876	4168064	177603	0
8	1	cereal	debian-gcc	3518182	31680844	448557	NA	1958832	4688786	177799	0
9	1	cereal	debian-gcc	3517653	35198497	448795	NA	2107756	5209554	177995	0
10	1	cereal	debian-gcc	3531244	38729741	449206	NA	2263333	5731438	178191	0
11	1	cereal	debian-gcc	3523616	42253357	449523	NA	2413502	6252753	178387	0
12	1	cereal	debian-gcc	3527193	45780550	449815	NA	2568404	6774180	178583	0
13	1	cereal	debian-gcc	3519941	49300491	450135	NA	2718048	7295045	178779	0
14	1	cereal	debian-gcc	3523430	52823921	450412	NA	2867580	7816255	179000	0
15	1	cereal	debian-gcc	3520530	56344451	450625	NA	3016905	8337292	179196	0
16	1	cereal	debian-gcc	3521427	59865878	450826	NA	3166209	8858239	179392	0
17	1	cereal	debian-gcc	3529654	63395532	451139	NA	3321619	9379976	179588	0
18	1	cereal	debian-gcc	3535454	66930986	451688	NA	3478370	9902770	179834	0
19	1	cereal	debian-gcc	3531323	70462309	452306	NA	3633131	10424452	180146	0
20	1	cereal	debian-gcc	3519157	73981466	452567	NA	3782259	10945272	180342	0
21	1	cereal	debian-gcc	3518383	77499849	452802	NA	3931333	11466059	180538	0
22	1	cereal	debian-gcc	3517513	81017362	452997	NA	4080240	11986731	180734	0
23	1	cereal	debian-gcc	3518384	84535746	453162	NA	4229316	12507519	180930	0
24	1	cereal	debian-gcc	3518315	88054061	453348	NA	4378292	13028286	181126	0
25	1	cereal	debian-gcc	3524829	91578890	453752	NA	4528930	13549884	181322	0
26	1	cereal	debian-gcc	3532515	95111405	454336	NA	4684936	14072036	181518	0
27	1	cereal	debian-gcc	3520292	98631697	454525	NA	4834179	14592864	181714	0
28	1	cereal	debian-gcc	3521371	102153068	454815	NA	4984034	15114036	181910	0
29	1	cereal	debian-gcc	3522719	105675787	455047	NA	5133490	15634826	182106	0
30	1	cereal	debian-gcc	3525076	109200863	455343	NA	5283183	16155954	182302	0
31	1	cereal	debian-gcc	3521720	112722583	455600	NA	5432491	16676921	182498	0
32	1	cereal	debian-gcc	3520553	116243136	455825	NA	5581760	17197587	182694	0
33	1	cereal	debian-gcc	3520698	119763834	456196	NA	5731980	17719063	183016	0
34	1	cereal	debian-gcc	3520116	123283950	456406	NA	5881353	18240085	183212	0
35	1	cereal	debian-gcc	3520659	126804609	456605	NA	6030817	18761062	183408	0
36	1	cereal	debian-gcc	3526649	130331258	456962	NA	6185930	19282639	183629	0
37	1	cereal	debian-gcc	3518074	133849332	457010	NA	6333901	19803382	185051	0
38	1	cereal	debian-gcc	3523605	137372937	457059	NA	6481970	20324661	185472	0
39	1	cereal	debian-gcc	3523686	140896623	457108	NA	6630107	20845972	185870	0
40	1	cereal	debian-gcc	3518991	144415614	457157	NA	6778050	21366818	186272	0
41	1	cereal	debian-gcc	3519520	147935134	457207	NA	6926001	21887643	186670	0
42	1	cereal	debian-gcc	3519112	151454246	457257	NA	7073920	22408535	187071	0
43	1	cereal	debian-gcc	3519831	154974077	457307	NA	7222023	22929866	187470	0
44	1	cereal	debian-gcc	3519843	158493920	457357	NA	7369997	23450703	187869	0
45	1	cereal	debian-gcc	3518182	162012102	457407	NA	7517957	23971425	188267	0
46	1	cereal	debian-gcc	3517653	165529755	457457	NA	7665917	24492193	188666	0
47	1	cereal	debian-gcc	3531244	169060999	457507	NA	7814143	25014077	189065	0
48	1	cereal	debian-gcc	3523616	172584615	457557	NA	7962222	25535392	189464	0
49	1	cereal	debian-gcc	3527193	176111808	457607	NA	8110307	26056819	189862	0
50	1	cereal	debian-gcc	3519941	179631749	457657	NA	8258322	26577684	190259	0
51	1	cereal	debian-gcc	3523430	183155179	457707	NA	8406304	27098894	190683	0
52	1	cereal	debian-gcc	3520530	186675709	457757	NA	8554298	27619931	191081	0
53	1	cereal	debian-gcc	3521427	190197136	457807	NA	8702249	28140878	191480	0
54	1	cereal	debian-gcc	3529654	193726790	457857	NA	8850457	28662615	191879	0
55	1	cereal	debian-gcc	3535454	197262244	457907	NA	8998842	29185409	192319	0
56	1	cereal	debian-gcc	3531323	200793567	457957	NA	9146914	29707091	192780	0
57	1	cereal	debian-gcc	3519157	204312724	458007	NA	9294889	30227911	193171	0
58	1	cereal	debian-gcc	3518383	207831107	458057	NA	9442864	30748698	193567	0
59	1	cereal	debian-gcc	3517513	211348620	458107	NA	9590814	31269370	193964	0
60	1	cereal	debian-gcc	3518384	214867004	458157	NA	9738789	31790158	194362	0
61	1	cereal	debian-gcc	3518315	218385319	458207	NA	9886694	32310925	194759	0
62	1	cereal	debian-gcc	3524829	221910148	458257	NA	10034859	32832523	195157	0
63	1	cereal	debian-gcc	3532515	225442663	458307	NA	10183157	33354675	195555	0
64	1	cereal	debian-gcc	3520292	228962955	458357	NA	10331125	33875503	195954	0
65	1	cereal	debian-gcc	3521371	232484326	458407	NA	10479175	34396675	196355	0
66	1	cereal	debian-gcc	3522719	236007045	458457	NA	10627170	34917465	196755	0
67	1	cereal	debian-gcc	3525076	239532121	458507	NA	10775211	35438593	197154	0
68	1	cereal	debian-gcc	3521720	243053841	458557	NA	10923205	35959560	197552	0
69	1	cereal	debian-gcc	3520553	246574394	458607	NA	11071173	36480226	197948	0
70	1	cereal	debian-gcc	3520698	250095092	458657	NA	11219229	37001702	198446	0
