tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	cereal	fedora-clang-libcxx	4771262	4771262	467701	NA	769131	535075	189003	0
1	1	cereal	fedora-clang-libcxx	4776839	9548101	468348	NA	913789	1070600	348943	0
2	1	cereal	fedora-clang-libcxx	4779466	14327567	469280	NA	1059211	1606597	350517	0
3	1	cereal	fedora-clang-libcxx	4772218	19099785	469780	NA	1202994	2141679	351509	0
4	1	cereal	fedora-clang-libcxx	4772748	23872533	470228	NA	1346751	2676719	352483	0
5	1	cereal	fedora-clang-libcxx	4772373	28644906	470740	NA	1490482	3211790	353456	0
6	1	cereal	fedora-clang-libcxx	4773019	33417925	471348	NA	1635202	3747449	354448	0
7	1	cereal	fedora-clang-libcxx	4773036	38190961	471816	NA	1779051	4282637	355424	0
8	1	cereal	fedora-clang-libcxx	4771608	42962569	472307	NA	1922588	4817696	356397	0
9	1	cereal	fedora-clang-libcxx	4770807	47733376	472836	NA	2066095	5352713	357389	0
10	1	cereal	fedora-clang-libcxx	4784758	52518134	473546	NA	2211641	5888880	358364	0
11	1	cereal	fedora-clang-libcxx	4778534	57296668	474334	NA	2356483	6424558	359837	0
12	1	cereal	fedora-clang-libcxx	4782298	62078966	475080	NA	2501193	6960280	361313	0
13	1	cereal	fedora-clang-libcxx	4773405	66852371	475674	NA	2645428	7495583	362285	0
14	1	cereal	fedora-clang-libcxx	4776731	71629102	476235	NA	2789548	8031019	363285	0
15	1	cereal	fedora-clang-libcxx	4773825	76402927	476664	NA	2933471	8566229	364254	0
16	1	cereal	fedora-clang-libcxx	4774591	81177518	477105	NA	3077379	9101418	365227	0
17	1	cereal	fedora-clang-libcxx	4783692	85961210	477725	NA	3222832	9637449	366461	0
18	1	cereal	fedora-clang-libcxx	4788867	90750077	478554	NA	3369626	10174539	367476	0
19	1	cereal	fedora-clang-libcxx	4784404	95534481	479403	NA	3514328	10710500	368361	0
