tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	cereal	linuxbrew	3604085	3604085	442052	NA	759894	520194	88102	0
1	1	cereal	linuxbrew	3609710	7213795	442685	NA	908424	1040919	163242	0
2	1	cereal	linuxbrew	3612437	10826232	443590	NA	1057735	1562049	164821	0
3	1	cereal	linuxbrew	3605061	14431293	444056	NA	1205416	2082344	165790	0
4	1	cereal	linuxbrew	3605595	18036888	444489	NA	1353072	2602597	166765	0
5	1	cereal	linuxbrew	3605216	21642104	444996	NA	1500701	3122797	167737	0
6	1	cereal	linuxbrew	3605842	25247946	445577	NA	1649318	3643569	168710	0
7	1	cereal	linuxbrew	3605879	28853825	446031	NA	1797068	4163859	169682	0
8	1	cereal	linuxbrew	3604431	32458256	446514	NA	1944502	4683993	170658	0
9	1	cereal	linuxbrew	3603630	36061886	447009	NA	2091908	5204224	171627	0
10	1	cereal	linuxbrew	3617661	39679547	447691	NA	2246096	5725560	172615	0
11	1	cereal	linuxbrew	3611493	43291040	448456	NA	2394817	6246289	174086	0
12	1	cereal	linuxbrew	3615309	46906349	449155	NA	2543457	6767236	175560	0
13	1	cereal	linuxbrew	3606244	50512593	449745	NA	2691598	7287661	176552	0
14	1	cereal	linuxbrew	3609598	54122191	450285	NA	2839595	7808191	177545	0
15	1	cereal	linuxbrew	3606668	57728859	450691	NA	2987420	8328530	178519	0
16	1	cereal	linuxbrew	3607454	61336313	451132	NA	3135210	8848896	179511	0
17	1	cereal	linuxbrew	3616659	64952972	451698	NA	3284612	9370024	180735	0
18	1	cereal	linuxbrew	3621774	68574746	452518	NA	3439908	9892235	181753	0
19	1	cereal	linuxbrew	3617517	72192263	453374	NA	3588551	10413333	182672	0
20	1	cereal	linuxbrew	3605474	75797737	453893	NA	3736169	10933616	183646	0
21	1	cereal	linuxbrew	3604394	79402131	454352	NA	3883717	11453863	184620	0
22	1	cereal	linuxbrew	3603456	83005587	454794	NA	4031111	11973895	185612	0
23	1	cereal	linuxbrew	3604395	86609982	455151	NA	4178663	12494128	186585	0
24	1	cereal	linuxbrew	3604414	90214396	455562	NA	4326115	13014225	187554	0
25	1	cereal	linuxbrew	3611210	93825606	456233	NA	4475198	13535261	188530	0
26	1	cereal	linuxbrew	3619067	97444673	457080	NA	4629823	14056910	189502	0
27	1	cereal	linuxbrew	3606333	101051006	457473	NA	4777558	14577177	190470	0
28	1	cereal	linuxbrew	3606666	104657672	457922	NA	4925896	15097772	191185	0
29	1	cereal	linuxbrew	3609052	108266724	458379	NA	5073814	15618134	192157	0
30	1	cereal	linuxbrew	3611579	111878303	458948	NA	5221959	16138748	193131	0
31	1	cereal	linuxbrew	3608198	115486501	459395	NA	5369747	16659138	194105	0
32	1	cereal	linuxbrew	3606861	119093362	459824	NA	5517498	17179386	195075	0
33	1	cereal	linuxbrew	3607196	122700558	460406	NA	5666206	17700330	196161	0
