tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	eigen	conan-gcc	4982038	4982038	723634	NA	1026405	706820	NA	0
1	1	eigen	conan-gcc	4982040	9964078	723778	NA	1222769	1413640	NA	0
2	1	eigen	conan-gcc	4982040	14946118	723890	NA	1419133	2120458	NA	0
3	1	eigen	conan-gcc	4982040	19928158	723945	NA	1615496	2827278	NA	0
4	1	eigen	conan-gcc	4986942	24915100	724400	NA	1814959	3535246	NA	0
5	1	eigen	conan-gcc	4986934	29902034	725012	NA	2011129	4243223	NA	0
6	1	eigen	conan-gcc	4986990	34889024	725414	NA	2207315	4951219	NA	0
7	1	eigen	conan-gcc	4987030	39876054	725480	NA	2403491	5659204	NA	0
8	1	eigen	conan-gcc	4987126	44863180	725542	NA	2599684	6367188	NA	0
9	1	eigen	conan-gcc	4987581	49850761	725659	NA	2796036	7075237	NA	0
10	1	eigen	conan-gcc	4987556	54838317	725738	NA	2992284	7783236	NA	0
11	1	eigen	conan-gcc	4987411	59825728	725809	NA	3188519	8491232	NA	0
12	1	eigen	conan-gcc	4987304	64813032	725881	NA	3384740	9199216	NA	0
13	1	eigen	conan-gcc	4987328	69800360	725951	NA	3580974	9907210	NA	0
14	1	eigen	conan-gcc	4987869	74788229	726132	NA	3777369	10615282	NA	0
15	1	eigen	conan-gcc	4986987	79775216	726224	NA	3973524	11323227	NA	0
16	1	eigen	conan-gcc	4986858	84762074	726299	NA	4169649	12031162	NA	0
17	1	eigen	conan-gcc	4987794	89749868	726368	NA	4365963	12739223	NA	0
18	1	eigen	conan-gcc	4987446	94737314	726436	NA	4562212	13447222	NA	0
19	1	eigen	conan-gcc	4991392	99728706	726770	NA	4762277	14155362	NA	0
20	1	eigen	conan-gcc	4991382	104720088	727531	NA	4958864	14863507	NA	0
21	1	eigen	conan-gcc	4991382	109711470	727967	NA	5155450	15571655	NA	0
22	1	eigen	conan-gcc	4991372	114702842	728030	NA	5352051	16279807	NA	0
23	1	eigen	conan-gcc	4991372	119694214	728088	NA	5548648	16987955	NA	0
24	1	eigen	conan-gcc	4991372	124685586	728146	NA	5745245	17696107	NA	0
25	1	eigen	conan-gcc	4991352	129676938	728209	NA	5941838	18404256	NA	0
26	1	eigen	conan-gcc	4991344	134668282	728272	NA	6138429	19112400	NA	0
27	1	eigen	conan-gcc	4991344	139659626	728330	NA	6335020	19820545	NA	0
28	1	eigen	conan-gcc	4991332	144650958	728394	NA	6531601	20528688	NA	0
29	1	eigen	conan-gcc	4991362	149642320	728458	NA	6728198	21236833	NA	0
30	1	eigen	conan-gcc	4991364	154633684	728522	NA	6924796	21944978	NA	0
31	1	eigen	conan-gcc	4991577	159625261	728587	NA	7121424	22653143	NA	0
32	1	eigen	conan-gcc	5012675	164637936	728962	NA	7322949	23362415	NA	0
33	1	eigen	conan-gcc	4980558	169618494	729325	NA	7520145	24068915	NA	0
34	1	eigen	conan-gcc	4980637	174599131	729515	NA	7716830	24775421	NA	0
35	1	eigen	conan-gcc	4980579	179579710	729684	NA	7913095	25481888	NA	0
36	1	eigen	conan-gcc	4992320	184572030	729962	NA	8112737	26189697	NA	0
37	1	eigen	conan-gcc	4991335	189563365	730907	NA	8312235	26897467	NA	0
38	1	eigen	conan-gcc	5011785	194575150	731448	NA	8515633	27607829	NA	0
39	1	eigen	conan-gcc	4983493	199558643	731601	NA	8713025	28314487	NA	0
40	1	eigen	conan-gcc	4987890	204546533	731858	NA	8911864	29021835	NA	0
41	1	eigen	conan-gcc	6350079	210896612	791992	NA	9379419	29927108	NA	0
42	1	eigen	conan-gcc	6350057	217246669	792768	NA	9623762	30832381	NA	0
43	1	eigen	conan-gcc	6350083	223596752	793286	NA	9868122	31737662	NA	0
44	1	eigen	conan-gcc	6350073	229946825	793355	NA	10112474	32642934	NA	0
45	1	eigen	conan-gcc	6350125	236296950	793419	NA	10356848	33548212	NA	0
46	1	eigen	conan-gcc	6350127	242647077	793483	NA	10601217	34453487	NA	0
47	1	eigen	conan-gcc	6350049	248997126	793554	NA	10845547	35358752	NA	0
48	1	eigen	conan-gcc	6350095	255347221	793623	NA	11089905	36264035	NA	0
49	1	eigen	conan-gcc	6350053	261697274	793689	NA	11334242	37169303	NA	0
