tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	eigen	debian-gcc	4918563	4918563	715932	NA	1016230	698823	NA	0
1	1	eigen	debian-gcc	4918565	9837128	716241	NA	1210475	1397649	NA	0
2	1	eigen	debian-gcc	4918565	14755693	716426	NA	1404718	2096473	NA	0
3	1	eigen	debian-gcc	4918565	19674258	716482	NA	1598963	2795298	NA	0
4	1	eigen	debian-gcc	4923778	24598036	716931	NA	1796207	3495305	NA	0
5	1	eigen	debian-gcc	4923770	29521806	717543	NA	1990188	4195318	NA	0
6	1	eigen	debian-gcc	4923826	34445632	717935	NA	2184189	4895338	NA	0
7	1	eigen	debian-gcc	4923866	39369498	718001	NA	2378181	5595360	NA	0
8	1	eigen	debian-gcc	4923962	44293460	718063	NA	2572185	6295386	NA	0
9	1	eigen	debian-gcc	4924401	49217861	718181	NA	2766364	6995468	NA	0
10	1	eigen	debian-gcc	4924392	54142253	718267	NA	2960446	7695508	NA	0
11	1	eigen	debian-gcc	4924247	59066500	718340	NA	3154499	8395539	NA	0
12	1	eigen	debian-gcc	4924140	63990640	718408	NA	3348533	9095564	NA	0
13	1	eigen	debian-gcc	4924164	68914804	718478	NA	3542576	9795595	NA	0
14	1	eigen	debian-gcc	4924657	73839461	718659	NA	3736782	10495694	NA	0
15	1	eigen	debian-gcc	4923823	78763284	718756	NA	3930747	11195685	NA	0
16	1	eigen	debian-gcc	4923694	83686978	718827	NA	4124812	11895665	NA	0
17	1	eigen	debian-gcc	4924630	88611608	718895	NA	4318954	12595752	NA	0
18	1	eigen	debian-gcc	4924282	93535890	718968	NA	4513023	13295785	NA	0
19	1	eigen	debian-gcc	4928188	98464078	719299	NA	4710821	13995932	NA	0
20	1	eigen	debian-gcc	4928178	103392256	720050	NA	4905301	14696086	NA	0
21	1	eigen	debian-gcc	4928178	108320434	720481	NA	5099781	15396239	NA	0
22	1	eigen	debian-gcc	4928168	113248602	720544	NA	5294264	16096396	NA	0
23	1	eigen	debian-gcc	4928168	118176770	720602	NA	5488744	16796551	NA	0
24	1	eigen	debian-gcc	4928168	123104938	720660	NA	5683224	17496707	NA	0
25	1	eigen	debian-gcc	4928148	128033086	720723	NA	5877703	18196864	NA	0
26	1	eigen	debian-gcc	4928140	132961226	720786	NA	6072179	18897015	NA	0
27	1	eigen	debian-gcc	4928140	137889366	720844	NA	6266655	19597166	NA	0
28	1	eigen	debian-gcc	4928128	142817494	720908	NA	6461122	20297315	NA	0
29	1	eigen	debian-gcc	4928158	147745652	720974	NA	6655611	20997464	NA	0
30	1	eigen	debian-gcc	4928160	152673812	721037	NA	6850100	21697615	NA	0
31	1	eigen	debian-gcc	4928373	157602185	721105	NA	7044621	22397786	NA	0
32	1	eigen	debian-gcc	4949107	162551292	721480	NA	7243916	23099108	NA	0
33	1	eigen	debian-gcc	4917418	167468710	721846	NA	7438967	23797759	NA	0
34	1	eigen	debian-gcc	4917497	172386207	722033	NA	7633533	24496387	NA	0
35	1	eigen	debian-gcc	4917435	177303642	722204	NA	7827696	25195006	NA	0
36	1	eigen	debian-gcc	4928964	182232606	722473	NA	8025111	25894888	NA	0
37	1	eigen	debian-gcc	4928167	187160773	723430	NA	8222836	26594770	NA	0
38	1	eigen	debian-gcc	4948349	192109122	723951	NA	8424001	27297059	NA	0
39	1	eigen	debian-gcc	4920349	197029471	724099	NA	8619163	27995629	NA	0
40	1	eigen	debian-gcc	4924665	201954136	724348	NA	8815694	28694982	NA	0
41	1	eigen	debian-gcc	6284252	208238388	784879	NA	9285178	29593505	NA	0
42	1	eigen	debian-gcc	6284230	214522618	785657	NA	9528275	30492028	NA	0
43	1	eigen	debian-gcc	6284256	220806874	786172	NA	9771380	31390557	NA	0
44	1	eigen	debian-gcc	6284246	227091120	786241	NA	10014469	32289080	NA	0
45	1	eigen	debian-gcc	6284298	233375418	786311	NA	10257596	33187609	NA	0
46	1	eigen	debian-gcc	6284300	239659718	786375	NA	10500728	34086135	NA	0
47	1	eigen	debian-gcc	6284222	245943940	786446	NA	10743811	34984651	NA	0
48	1	eigen	debian-gcc	6284268	252228208	786510	NA	10986921	35883183	NA	0
49	1	eigen	debian-gcc	6284226	258512434	786577	NA	11230010	36781702	NA	0
50	1	eigen	debian-gcc	6284298	264796732	786641	NA	11473134	37680236	NA	0
51	1	eigen	debian-gcc	4917346	269714078	786817	NA	11668107	38379053	NA	0
52	1	eigen	debian-gcc	4918129	274632207	786980	NA	11862814	39077456	NA	0
53	1	eigen	debian-gcc	4940692	279572899	787460	NA	12063708	39779382	NA	0
54	1	eigen	debian-gcc	4940814	284513713	788654	NA	12258531	40481326	NA	0
55	1	eigen	debian-gcc	4940999	289454712	789325	NA	12453392	41183292	NA	0
56	1	eigen	debian-gcc	4940754	294395466	789403	NA	12648222	41885231	NA	0
57	1	eigen	debian-gcc	4940692	299336158	789467	NA	12843011	42587158	NA	0
58	1	eigen	debian-gcc	4940878	304277036	789536	NA	13037844	43289114	NA	0
59	1	eigen	debian-gcc	4940754	309217790	789600	NA	13232675	43991059	NA	0
60	1	eigen	debian-gcc	4941105	314158895	789667	NA	13427540	44693020	NA	0
61	1	eigen	debian-gcc	4941183	319100078	789751	NA	13622456	45395006	NA	0
62	1	eigen	debian-gcc	4940694	324040772	789818	NA	13817246	46096944	NA	0
63	1	eigen	debian-gcc	4940821	328981593	789897	NA	14012060	46798879	NA	0
64	1	eigen	debian-gcc	4940700	333922293	789962	NA	14206854	47500801	NA	0
65	1	eigen	debian-gcc	4958875	338881168	791804	NA	14406965	48203045	NA	0
66	1	eigen	debian-gcc	4753712	343634880	801812	NA	14598362	48880745	NA	0
67	1	eigen	debian-gcc	4753712	348388592	801929	NA	14785899	49558449	NA	0
68	1	eigen	debian-gcc	4753796	353142388	801991	NA	14973485	50236178	NA	0
69	1	eigen	debian-gcc	4753802	357896190	802053	NA	15161082	50913909	NA	0
70	1	eigen	debian-gcc	4753802	362649992	802110	NA	15348670	51591641	NA	0
71	1	eigen	debian-gcc	4958878	367608870	802207	NA	15543395	52293807	NA	0
72	1	eigen	debian-gcc	4958878	372567748	802292	NA	15738120	52995975	NA	0
73	1	eigen	debian-gcc	4958962	377526710	802358	NA	15932843	53698161	NA	0
74	1	eigen	debian-gcc	4958968	382485678	802425	NA	16127567	54400348	NA	0
75	1	eigen	debian-gcc	4958968	387444646	802489	NA	16322288	55102533	NA	0
76	1	eigen	debian-gcc	4917679	392362325	804000	NA	16517934	55801412	NA	0
77	1	eigen	debian-gcc	4917904	397280229	804226	NA	16713028	56500193	NA	0
78	1	eigen	debian-gcc	5079072	402359301	806414	NA	16934431	57217369	NA	0
79	1	eigen	debian-gcc	5079074	407438375	807832	NA	17132347	57934545	NA	0
80	1	eigen	debian-gcc	5079074	412517449	808634	NA	17330262	58651725	NA	0
81	1	eigen	debian-gcc	5079076	417596525	808702	NA	17528180	59368907	NA	0
82	1	eigen	debian-gcc	5079076	422675601	808765	NA	17726098	60086092	NA	0
83	1	eigen	debian-gcc	5079078	427754679	808833	NA	17924016	60803274	NA	0
84	1	eigen	debian-gcc	5079076	432833755	808899	NA	18121932	61520456	NA	0
85	1	eigen	debian-gcc	5079078	437912833	808965	NA	18319852	62237638	NA	0
86	1	eigen	debian-gcc	5079076	442991909	809031	NA	18517767	62954820	NA	0
87	1	eigen	debian-gcc	5079078	448070987	809097	NA	18715684	63672005	NA	0
88	1	eigen	debian-gcc	5079100	453150087	809165	NA	18913610	64389187	NA	0
89	1	eigen	debian-gcc	5079102	458229189	809233	NA	19111541	65106373	NA	0
90	1	eigen	debian-gcc	5079070	463308259	809302	NA	19309452	65823555	NA	0
91	1	eigen	debian-gcc	5079349	468387608	809376	NA	19507441	66540759	NA	0
92	1	eigen	debian-gcc	5079078	473466686	809443	NA	19705357	67257941	NA	0
93	1	eigen	debian-gcc	4920796	478387482	809743	NA	19901720	67957280	NA	0
94	1	eigen	debian-gcc	4963454	483350936	812385	NA	20103433	68660381	NA	0
95	1	eigen	debian-gcc	4962142	488313078	814438	NA	20299694	69363338	NA	0
96	1	eigen	debian-gcc	4948853	493261931	814884	NA	20499825	70065432	NA	0
97	1	eigen	debian-gcc	4947913	498209844	815996	NA	20694765	70767447	NA	0
98	1	eigen	debian-gcc	4948161	503158005	816634	NA	20889765	71469494	NA	0
99	1	eigen	debian-gcc	4947905	508105910	816704	NA	21084712	72171529	NA	0
100	1	eigen	debian-gcc	4948161	513054071	816774	NA	21279711	72873581	NA	0
101	1	eigen	debian-gcc	4947812	518001883	816842	NA	21474638	73575606	NA	0
102	1	eigen	debian-gcc	4948215	522950098	816920	NA	21669655	74277668	NA	0
103	1	eigen	debian-gcc	4947764	527897862	816995	NA	21864557	74979676	NA	0
104	1	eigen	debian-gcc	4880974	532778836	828043	636967	22058857	75675374	NA	1
105	1	eigen	debian-gcc	4923565	537702401	829548	636967	22255133	76374546	NA	0
106	1	eigen	debian-gcc	4929775	542632176	829945	636967	22452748	77074661	NA	0
107	1	eigen	debian-gcc	4929753	547561929	830513	636967	22647404	77774770	NA	0
108	1	eigen	debian-gcc	4929753	552491682	830932	636967	22842057	78474879	NA	0
109	1	eigen	debian-gcc	4929882	557421564	831002	636967	23036744	79175008	NA	0
110	1	eigen	debian-gcc	4929892	562351456	831068	636967	23231435	79875141	NA	0
111	1	eigen	debian-gcc	4929876	567281332	831135	636967	23426124	80575276	NA	0
112	1	eigen	debian-gcc	4929876	572211208	863755	636967	23620814	81275414	NA	0
113	1	eigen	debian-gcc	4929892	577141100	863822	636967	23815506	81975555	NA	0
114	1	eigen	debian-gcc	4929876	582070976	863886	636967	24010195	82675692	NA	0
115	1	eigen	debian-gcc	4929878	587000854	863949	636967	24204885	83375829	NA	0
116	1	eigen	debian-gcc	4930015	591930869	864024	636967	24399589	84075977	NA	0
117	1	eigen	debian-gcc	4930564	596861433	864096	636967	24594386	84776143	NA	0
118	1	eigen	debian-gcc	4924500	601785933	864373	636967	24790631	85475694	NA	0
119	1	eigen	debian-gcc	4924480	606710413	864800	636967	24984994	86175247	NA	0
120	1	eigen	debian-gcc	4924538	611634951	865034	636967	25179375	86874808	NA	0
121	1	eigen	debian-gcc	4924538	616559489	865092	636967	25373758	87574370	NA	0
122	1	eigen	debian-gcc	4924524	621484013	865161	636967	25568135	88273929	NA	0
123	1	eigen	debian-gcc	4924335	626408348	865234	636967	25762472	88973466	NA	0
124	1	eigen	debian-gcc	4924508	631332856	865300	636967	25956841	89673023	NA	0
125	1	eigen	debian-gcc	4924363	636257219	865368	636967	26151195	90372562	NA	0
126	1	eigen	debian-gcc	4924283	641181502	865434	636967	26345502	91072086	NA	0
127	1	eigen	debian-gcc	4919153	646100655	866942	636967	26540937	91770812	NA	0
128	1	eigen	debian-gcc	4923540	651024195	867802	636967	26739646	92470328	NA	0
129	1	eigen	debian-gcc	4954705	655978900	868555	636967	26943215	93174720	NA	0
130	1	eigen	debian-gcc	4954778	660933678	869351	636967	27138606	93879111	NA	0
131	1	eigen	debian-gcc	4954778	665888456	869816	636967	27334001	94583501	NA	0
132	1	eigen	debian-gcc	4954977	670843433	869889	636967	27529390	95287901	NA	0
133	1	eigen	debian-gcc	4955009	675798442	869958	636967	27724812	95992309	NA	0
134	1	eigen	debian-gcc	4954707	680753149	870027	636967	27920192	96696697	NA	0
135	1	eigen	debian-gcc	4954707	685707856	870089	636967	28115569	97401082	NA	0
136	1	eigen	debian-gcc	4954661	690662517	870165	636967	28310934	98105461	NA	0
137	1	eigen	debian-gcc	4954677	695617194	870247	636967	28506312	98809845	NA	0
138	1	eigen	debian-gcc	4955205	700572399	870321	636967	28701756	99514278	NA	0
139	1	eigen	debian-gcc	4955196	705527595	870402	636967	28897213	100218716	NA	0
140	1	eigen	debian-gcc	4954681	710482276	870500	636967	29092593	100923097	NA	0
141	1	eigen	debian-gcc	4956410	715438686	870598	636967	29288320	101627620	NA	0
142	1	eigen	debian-gcc	4936562	720375248	871079	636967	29488307	102329073	NA	0
143	1	eigen	debian-gcc	4936540	725311788	872255	636967	29683119	103030523	NA	0
144	1	eigen	debian-gcc	4936540	730248328	872929	636967	29877930	103731974	NA	0
145	1	eigen	debian-gcc	4936550	735184878	873004	636967	30072744	104433430	NA	0
146	1	eigen	debian-gcc	4936620	740121498	873069	636967	30267589	105134900	NA	0
147	1	eigen	debian-gcc	4936550	745058048	873129	636967	30462401	105836358	NA	0
148	1	eigen	debian-gcc	4936681	749994729	873198	636967	30657247	106537831	NA	0
149	1	eigen	debian-gcc	4936544	754931273	873264	636967	30852055	107239287	NA	0
150	1	eigen	debian-gcc	4936550	759867823	873326	636967	31046868	107940742	NA	0
151	1	eigen	debian-gcc	4936544	764804367	873388	636967	31241675	108642194	NA	0
152	1	eigen	debian-gcc	4936536	769740903	873461	636967	31436480	109343640	NA	0
153	1	eigen	debian-gcc	4936804	774677707	873531	636967	31631335	110045113	NA	0
154	1	eigen	debian-gcc	4952132	779629839	874018	636967	31832158	110747559	NA	0
155	1	eigen	debian-gcc	4952190	784582029	875292	636967	32026979	111450013	NA	0
156	1	eigen	debian-gcc	4952190	789534219	875967	636967	32221799	112152473	NA	0
157	1	eigen	debian-gcc	4952110	794486329	876033	636967	32416571	112854919	NA	0
158	1	eigen	debian-gcc	4952208	799438537	876104	636967	32611372	113557383	NA	0
159	1	eigen	debian-gcc	4952206	804390743	876167	636967	32806170	114259846	NA	0
160	1	eigen	debian-gcc	4952208	809342951	876227	636967	33000970	114962310	NA	0
161	1	eigen	debian-gcc	4952427	814295378	876291	636967	33195826	115664791	NA	0
162	1	eigen	debian-gcc	4952552	819247930	876364	636967	33390701	116367278	NA	0
163	1	eigen	debian-gcc	4952152	824200082	876432	636967	33585496	117069728	NA	0
164	1	eigen	debian-gcc	4952122	829152204	876497	636967	33780270	117772173	NA	0
165	1	eigen	debian-gcc	4934237	834086441	876739	636967	33977247	118471873	NA	0
166	1	eigen	debian-gcc	4934193	839020634	877185	636967	34171607	119171566	NA	0
167	1	eigen	debian-gcc	4934237	843954871	877446	636967	34365981	119871270	NA	0
168	1	eigen	debian-gcc	4934046	848888917	877518	636967	34560300	120570946	NA	0
169	1	eigen	debian-gcc	4934048	853822965	877583	636967	34754618	121270624	NA	0
170	1	eigen	debian-gcc	4920256	858743221	877801	636967	34950120	121969569	NA	0
171	1	eigen	debian-gcc	5005610	863748831	881168	636967	35158391	122678143	NA	0
172	1	eigen	debian-gcc	4946917	868695748	881631	636967	35358210	123379717	NA	0
173	1	eigen	debian-gcc	4946917	873642665	882399	636967	35552935	124081297	NA	0
174	1	eigen	debian-gcc	4946762	878589427	882848	636967	35747612	124782853	NA	0
175	1	eigen	debian-gcc	4946762	883536189	882911	636967	35942287	125484408	NA	0
176	1	eigen	debian-gcc	4946782	888482971	882973	636967	36136974	126185966	NA	0
177	1	eigen	debian-gcc	4947106	893430077	883040	636967	36331718	126887538	NA	0
178	1	eigen	debian-gcc	4947298	898377375	883110	636967	36526498	127589141	NA	0
179	1	eigen	debian-gcc	4922170	903299545	883426	636967	36722541	128288322	NA	0
180	1	eigen	debian-gcc	4922170	908221715	883729	636967	36916853	128987502	NA	0
181	1	eigen	debian-gcc	4922178	913143893	883918	636967	37111172	129686683	NA	0
182	1	eigen	debian-gcc	4922178	918066071	883980	636967	37305492	130385864	NA	0
183	1	eigen	debian-gcc	4916664	922982735	884138	636967	37500284	131084232	NA	0
184	1	eigen	debian-gcc	4921902	927904637	885026	636967	37696219	131783197	NA	0
185	1	eigen	debian-gcc	4921904	932826541	885321	636967	37890538	132482162	NA	0
186	1	eigen	debian-gcc	4921932	937748473	885499	636967	38084879	133181130	NA	0
187	1	eigen	debian-gcc	4927731	942676204	885831	636967	38281248	133881338	NA	0
188	1	eigen	debian-gcc	4927550	947603754	886301	636967	38475929	134581514	NA	0
189	1	eigen	debian-gcc	4927556	952531310	886577	636967	38670615	135281696	NA	0
