tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	eigen	fedora-clang-libcxx	6227078	6227078	749155	NA	1052300	732763	NA	0
1	1	eigen	fedora-clang-libcxx	6227079	12454157	749461	NA	1241821	1465533	NA	0
2	1	eigen	fedora-clang-libcxx	6227079	18681236	749651	NA	1431342	2198303	NA	0
3	1	eigen	fedora-clang-libcxx	6227079	24908315	749708	NA	1620863	2931071	NA	0
4	1	eigen	fedora-clang-libcxx	6236945	31145260	750189	NA	1814517	3665288	NA	0
5	1	eigen	fedora-clang-libcxx	6236941	37382201	751039	NA	2004306	4399503	NA	0
6	1	eigen	fedora-clang-libcxx	6236969	43619170	751546	NA	2194102	5133723	NA	0
7	1	eigen	fedora-clang-libcxx	6236989	49856159	751620	NA	2383890	5867954	NA	0
8	1	eigen	fedora-clang-libcxx	6237037	56093196	751689	NA	2573667	6602183	NA	0
9	1	eigen	fedora-clang-libcxx	6237223	62330419	751761	NA	2763454	7336433	NA	0
10	1	eigen	fedora-clang-libcxx	6237330	68567749	751830	NA	2953216	8070672	NA	0
11	1	eigen	fedora-clang-libcxx	6237238	74804987	751900	NA	3142982	8804900	NA	0
12	1	eigen	fedora-clang-libcxx	6237165	81042152	751970	NA	3332745	9539126	NA	0
13	1	eigen	fedora-clang-libcxx	6237171	87279323	752040	NA	3522506	10273354	NA	0
14	1	eigen	fedora-clang-libcxx	6237132	93516455	752123	NA	3712300	11007605	NA	0
15	1	eigen	fedora-clang-libcxx	6236942	99753397	752200	NA	3902066	11741802	NA	0
16	1	eigen	fedora-clang-libcxx	6236867	105990264	752273	NA	4091816	12475996	NA	0
17	1	eigen	fedora-clang-libcxx	6237369	112227633	752338	NA	4281572	13210269	NA	0
18	1	eigen	fedora-clang-libcxx	6237203	118464836	752409	NA	4471347	13944493	NA	0
19	1	eigen	fedora-clang-libcxx	6237334	124702170	752754	NA	4664756	14678563	NA	0
20	1	eigen	fedora-clang-libcxx	6237329	130939499	753542	NA	4854536	15412637	NA	0
21	1	eigen	fedora-clang-libcxx	6237329	137176828	754010	NA	5044314	16146711	NA	0
22	1	eigen	fedora-clang-libcxx	6237324	143414152	754074	NA	5234096	16880787	NA	0
23	1	eigen	fedora-clang-libcxx	6237324	149651476	754136	NA	5423880	17614862	NA	0
24	1	eigen	fedora-clang-libcxx	6237324	155888800	754193	NA	5613661	18348940	NA	0
25	1	eigen	fedora-clang-libcxx	6237314	162126114	754255	NA	5803433	19083017	NA	0
26	1	eigen	fedora-clang-libcxx	6237310	168363424	754318	NA	5993210	19817088	NA	0
27	1	eigen	fedora-clang-libcxx	6237310	174600734	754380	NA	6182987	20551159	NA	0
28	1	eigen	fedora-clang-libcxx	6237303	180838037	754443	NA	6372751	21285227	NA	0
29	1	eigen	fedora-clang-libcxx	6237318	187075355	754508	NA	6562534	22019292	NA	0
30	1	eigen	fedora-clang-libcxx	6237319	193312674	754570	NA	6752317	22753358	NA	0
31	1	eigen	fedora-clang-libcxx	6237444	199550118	754636	NA	6942103	23487443	NA	0
32	1	eigen	fedora-clang-libcxx	6256459	205806577	754992	NA	7137240	24222681	NA	0
33	1	eigen	fedora-clang-libcxx	6225877	212032454	755358	NA	7327404	24955240	NA	0
34	1	eigen	fedora-clang-libcxx	6225956	218258410	755551	NA	7517151	25687754	NA	0
35	1	eigen	fedora-clang-libcxx	6225895	224484305	755724	NA	7706582	26420240	NA	0
