tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	eigen	linuxbrew	4966515	4966515	703462	NA	1007829	691581	NA	0
1	1	eigen	linuxbrew	4966516	9933031	703762	NA	1195084	1383168	NA	0
2	1	eigen	linuxbrew	4966516	14899547	703948	NA	1382342	2074755	NA	0
3	1	eigen	linuxbrew	4966516	19866063	704004	NA	1569600	2766340	NA	0
4	1	eigen	linuxbrew	4976587	24842650	704571	NA	1760922	3459418	NA	0
5	1	eigen	linuxbrew	4976583	29819233	705293	NA	1948726	4152495	NA	0
6	1	eigen	linuxbrew	4976611	34795844	705744	NA	2136549	4845577	NA	0
7	1	eigen	linuxbrew	4976631	39772475	705812	NA	2324364	5538671	NA	0
8	1	eigen	linuxbrew	4976679	44749154	705880	NA	2512188	6231763	NA	0
9	1	eigen	linuxbrew	4976865	49726019	705952	NA	2700075	6924878	NA	0
10	1	eigen	linuxbrew	4976972	54702991	706020	NA	2887977	7617977	NA	0
11	1	eigen	linuxbrew	4976880	59679871	706095	NA	3075857	8311068	NA	0
12	1	eigen	linuxbrew	4976807	64656678	706167	NA	3263713	9004154	NA	0
13	1	eigen	linuxbrew	4976813	69633491	706236	NA	3451576	9697246	NA	0
14	1	eigen	linuxbrew	4976774	74610265	706316	NA	3639450	10390359	NA	0
15	1	eigen	linuxbrew	4976584	79586849	706388	NA	3827236	11083419	NA	0
16	1	eigen	linuxbrew	4976509	84563358	706460	NA	4014997	11776474	NA	0
17	1	eigen	linuxbrew	4977011	89540369	706524	NA	4202975	12469606	NA	0
18	1	eigen	linuxbrew	4976845	94517214	706594	NA	4390868	13162693	NA	0
19	1	eigen	linuxbrew	4976819	99494033	706948	NA	4582038	13855650	NA	0
20	1	eigen	linuxbrew	4976814	104470847	707729	NA	4769576	14548611	NA	0
21	1	eigen	linuxbrew	4976814	109447661	708176	NA	4957113	15241573	NA	0
22	1	eigen	linuxbrew	4976809	114424470	708239	NA	5144658	15934536	NA	0
23	1	eigen	linuxbrew	4976809	119401279	708300	NA	5332199	16627499	NA	0
24	1	eigen	linuxbrew	4976809	124378088	708358	NA	5519741	17320462	NA	0
25	1	eigen	linuxbrew	4976799	129354887	708422	NA	5707263	18013425	NA	0
26	1	eigen	linuxbrew	4976795	134331682	708487	NA	5894792	18706382	NA	0
27	1	eigen	linuxbrew	4976795	139308477	708548	NA	6082321	19399341	NA	0
28	1	eigen	linuxbrew	4976788	144285265	708610	NA	6269834	20092297	NA	0
29	1	eigen	linuxbrew	4976803	149262068	708674	NA	6457373	20785251	NA	0
30	1	eigen	linuxbrew	4976804	154238872	708735	NA	6644912	21478206	NA	0
31	1	eigen	linuxbrew	4976929	159215801	708800	NA	6832523	22171177	NA	0
32	1	eigen	linuxbrew	4996300	164212101	709164	NA	7025400	22865309	NA	0
33	1	eigen	linuxbrew	4965298	169177399	709521	NA	7213566	23556628	NA	0
34	1	eigen	linuxbrew	4965377	174142776	709711	NA	7401214	24247957	NA	0
35	1	eigen	linuxbrew	4965320	179108096	709879	NA	7588384	24939232	NA	0
36	1	eigen	linuxbrew	4976930	184085026	710137	NA	7779103	25631950	NA	0
37	1	eigen	linuxbrew	4971962	189056988	710516	NA	7969453	26324203	NA	0
38	1	eigen	linuxbrew	4996285	194053273	711031	NA	8164216	27019345	NA	0
39	1	eigen	linuxbrew	4968067	199021340	711191	NA	8352660	27710799	NA	0
40	1	eigen	linuxbrew	4972517	203993857	711445	NA	8542515	28402933	NA	0
41	1	eigen	linuxbrew	6233440	210227297	755990	NA	8994023	29284447	NA	0
42	1	eigen	linuxbrew	6233429	216460726	756759	NA	9225652	30165958	NA	0
43	1	eigen	linuxbrew	6233442	222694168	757281	NA	9457295	31047475	NA	0
44	1	eigen	linuxbrew	6233437	228927605	757349	NA	9688938	31928981	NA	0
