tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	fmt	conan-gcc	1789458	1789458	551212	NA	439807	290961	51291	0
1	1	fmt	conan-gcc	1305369	3094827	558126	NA	512127	496373	86920	0
2	1	fmt	conan-gcc	206480	3301307	558575	NA	521906	533141	92086	0
3	1	fmt	conan-gcc	2172319	5473626	611186	NA	834243	877035	147449	0
4	1	fmt	conan-gcc	3060711	8534337	621750	NA	1032474	1369074	200292	0
5	1	fmt	conan-gcc	1551542	10085879	622880	NA	1107092	1615682	216420	0
6	1	fmt	conan-gcc	2730188	12816067	629382	NA	1237866	2047601	251240	0
7	1	fmt	conan-gcc	3300655	16116722	658367	NA	1413995	2538043	331802	0
8	1	fmt	conan-gcc	2263483	18380205	659270	NA	1521341	2900830	343703	0
9	1	fmt	conan-gcc	3765404	22145609	694990	NA	1738195	3445189	455872	0
10	1	fmt	conan-gcc	3163655	25309264	700320	NA	1898979	3947775	477181	0
11	1	fmt	conan-gcc	3301706	28610970	711552	NA	2057784	4452644	518145	0
12	1	fmt	conan-gcc	4773753	33384723	797925	NA	2319673	5055403	770349	0
13	1	fmt	conan-gcc	3334693	36719416	822528	NA	2482766	5580739	808602	0
14	1	fmt	conan-gcc	3078789	39798205	827737	NA	2643389	6086060	817308	0
15	1	fmt	conan-gcc	2172319	41970524	827788	NA	2745247	6429954	820453	0
16	1	fmt	conan-gcc	3139401	45109925	827961	NA	2890887	6945716	824967	0
17	1	fmt	conan-gcc	1805061	46914986	828057	NA	2975505	7240201	828571	0
18	1	fmt	conan-gcc	1844672	48759658	828163	NA	3062663	7542859	832806	0
19	1	fmt	conan-gcc	3402104	52161762	837021	NA	3240566	8083520	858455	0
20	1	fmt	conan-gcc	3703464	55865226	854145	NA	3453826	8665431	892149	0
21	1	fmt	conan-gcc	3791584	59656810	879201	NA	3649265	9229108	970641	0
22	1	fmt	conan-gcc	3111615	62768425	899978	NA	3820901	9702084	1020187	0
23	1	fmt	conan-gcc	2690519	65458944	901205	NA	3946462	10134126	1024360	0
24	1	fmt	conan-gcc	2942364	68401308	906082	NA	4083266	10612396	1030790	0
25	1	fmt	conan-gcc	2172319	70573627	906097	NA	4185124	10956290	1033203	0
26	1	fmt	conan-gcc	3139401	73713028	906149	NA	4330697	11472052	1036019	0
27	1	fmt	conan-gcc	1805061	75518089	906201	NA	4415315	11766537	1037537	0
28	1	fmt	conan-gcc	1844672	77362761	906253	NA	4502473	12069195	1039208	0
29	1	fmt	conan-gcc	3313961	80676722	913138	NA	4669077	12605651	1059383	0
30	1	fmt	conan-gcc	2172319	82849041	913153	NA	4770935	12949545	1061567	0
31	1	fmt	conan-gcc	3139401	85988442	913168	NA	4916508	13465307	1063248	0
32	1	fmt	conan-gcc	1805061	87793503	913183	NA	5001126	13759792	1064516	0
33	1	fmt	conan-gcc	1844672	89638175	913198	NA	5088284	14062450	1065987	0
34	1	fmt	conan-gcc	3650891	93289066	926425	NA	5269852	14633183	1110528	0
35	1	fmt	conan-gcc	3266776	96555842	927838	NA	5422153	15170322	1115502	0
36	1	fmt	conan-gcc	2172319	98728161	927853	NA	5524011	15514216	1117585	0
37	1	fmt	conan-gcc	3139401	101867562	927868	NA	5669584	16029978	1119658	0
38	1	fmt	conan-gcc	1805061	103672623	927883	NA	5754202	16324463	1120776	0
39	1	fmt	conan-gcc	1844672	105517295	927898	NA	5841360	16627121	1123378	0
40	1	fmt	conan-gcc	3712453	109229748	941616	NA	6025534	17206923	1168342	0
41	1	fmt	conan-gcc	2134838	111364586	942866	NA	6123928	17547573	1170721	0
42	1	fmt	conan-gcc	1476591	112841177	944064	NA	6191296	17777607	1172619	0
