tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	fmt	debian-gcc	1672314	1672314	536688	NA	412546	273693	47012	0
1	1	fmt	debian-gcc	1205213	2877527	544542	NA	481681	463973	79773	0
2	1	fmt	debian-gcc	206630	3084157	544988	NA	491460	500611	84475	0
3	1	fmt	debian-gcc	2242658	5326815	598062	NA	814442	855154	139341	0
4	1	fmt	debian-gcc	2994554	8321369	608368	NA	1009645	1336876	189512	0
5	1	fmt	debian-gcc	1438876	9760245	609618	NA	1079051	1567053	207408	0
6	1	fmt	debian-gcc	2798929	12559174	615701	NA	1213380	2009849	245487	0
7	1	fmt	debian-gcc	3220014	15779188	644739	NA	1386174	2489578	328750	0
8	1	fmt	debian-gcc	2333077	18112265	646007	NA	1498148	2863251	347888	0
9	1	fmt	debian-gcc	3672382	21784647	681438	NA	1710835	3396555	466913	0
10	1	fmt	debian-gcc	3094230	24878877	686855	NA	1868379	3888325	487728	0
11	1	fmt	debian-gcc	3227576	28106453	698098	NA	2023841	4382864	526337	0
12	1	fmt	debian-gcc	4634140	32740593	783441	NA	2280279	4974156	775583	0
13	1	fmt	debian-gcc	3260091	36000684	808364	NA	2439707	5489606	813339	0
14	1	fmt	debian-gcc	3009491	39010175	813507	NA	2596869	5984083	821052	0
15	1	fmt	debian-gcc	2242658	41252833	813558	NA	2702912	6338626	824203	0
16	1	fmt	debian-gcc	3073112	44325945	813732	NA	2845204	6843923	828744	0
17	1	fmt	debian-gcc	1691182	46017127	813828	NA	2924714	7121844	831884	0
18	1	fmt	debian-gcc	1734109	47751236	813917	NA	3006552	7407675	835483	0
19	1	fmt	debian-gcc	3326956	51078192	822581	NA	3181362	7937333	861575	0
20	1	fmt	debian-gcc	3623532	54701724	838780	NA	3389983	8508337	894090	0
21	1	fmt	debian-gcc	3702583	58404307	863769	NA	3581112	9061936	972882	0
22	1	fmt	debian-gcc	3160151	61564458	884634	NA	3756283	9543773	1022045	0
