tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	fmt	fedora-clang-libcxx	2844605	2844605	593618	NA	502152	344028	145430	0
1	1	fmt	fedora-clang-libcxx	1557565	4402170	601878	NA	570839	533597	226562	0
2	1	fmt	fedora-clang-libcxx	299810	4701980	602363	NA	582488	573535	249661	0
3	1	fmt	fedora-clang-libcxx	3938310	8640290	645092	NA	887639	1008173	382008	0
4	1	fmt	fedora-clang-libcxx	4379249	13019539	654733	NA	1083407	1533210	496014	0
5	1	fmt	fedora-clang-libcxx	2778200	15797739	656483	NA	1175758	1857512	578339	0
6	1	fmt	fedora-clang-libcxx	4182000	19979739	660022	NA	1311741	2343803	668448	0
7	1	fmt	fedora-clang-libcxx	4452172	24431911	668046	NA	1473437	2855333	745593	0
8	1	fmt	fedora-clang-libcxx	4021189	28453100	668378	NA	1597088	3308978	804191	0
9	1	fmt	fedora-clang-libcxx	4709224	33162324	671545	NA	1780032	3862333	867466	0
10	1	fmt	fedora-clang-libcxx	4436717	37599041	672580	NA	1935276	4394844	908574	0
11	1	fmt	fedora-clang-libcxx	4502384	42101425	673228	NA	2088490	4927137	939252	0
12	1	fmt	fedora-clang-libcxx	5197157	47298582	677212	NA	2297885	5511221	972299	0
13	1	fmt	fedora-clang-libcxx	4529268	51827850	692446	NA	2452918	6062777	1003149	0
14	1	fmt	fedora-clang-libcxx	4477921	56305771	700944	NA	2624468	6602793	1022710	0
15	1	fmt	fedora-clang-libcxx	3938310	60244081	700995	NA	2742157	7037431	1034439	0
16	1	fmt	fedora-clang-libcxx	4417375	64661456	701142	NA	2884175	7581698	1047365	0
17	1	fmt	fedora-clang-libcxx	2855829	67517285	701230	NA	2977663	7928911	1058101	0
18	1	fmt	fedora-clang-libcxx	2569463	70086748	701318	NA	3064647	8246616	1065554	0
19	1	fmt	fedora-clang-libcxx	4732906	74819654	703759	NA	3235385	8817835	1082993	0
20	1	fmt	fedora-clang-libcxx	4955405	79775059	708480	NA	3413688	9412315	1100457	0
21	1	fmt	fedora-clang-libcxx	4940707	84715766	710348	NA	3593934	9998861	1114202	0
22	1	fmt	fedora-clang-libcxx	4361823	89077589	711872	NA	3742725	10504815	1123685	0
23	1	fmt	fedora-clang-libcxx	4176753	93254342	713569	NA	3874164	10993174	1133984	0
24	1	fmt	fedora-clang-libcxx	4251255	97505597	718987	NA	4009158	11502135	1142019	0
25	1	fmt	fedora-clang-libcxx	3938310	101443907	719002	NA	4126847	11936773	1148331	0
26	1	fmt	fedora-clang-libcxx	4417375	105861282	719054	NA	4268865	12481040	1155757	0
27	1	fmt	fedora-clang-libcxx	2855829	108717111	719106	NA	4362353	12828253	1161009	0
28	1	fmt	fedora-clang-libcxx	2569463	111286574	719158	NA	4449337	13145958	1165907	0
29	1	fmt	fedora-clang-libcxx	4532002	115818576	720910	NA	4607468	13704238	1175144	0
30	1	fmt	fedora-clang-libcxx	3938310	119756886	720925	NA	4725157	14138876	1181067	0
31	1	fmt	fedora-clang-libcxx	4417375	124174261	720940	NA	4867175	14683143	1187269	0
32	1	fmt	fedora-clang-libcxx	2855829	127030090	720955	NA	4960663	15030356	1192106	0
33	1	fmt	fedora-clang-libcxx	2569463	129599553	720970	NA	5047647	15348061	1196714	0
34	1	fmt	fedora-clang-libcxx	4842216	134441769	722350	NA	5214004	15930400	1205922	0
35	1	fmt	fedora-clang-libcxx	4528241	138970010	723889	NA	5361812	16491799	1214209	0
36	1	fmt	fedora-clang-libcxx	3938310	142908320	723904	NA	5479501	16926437	1219453	0
37	1	fmt	fedora-clang-libcxx	4417375	147325695	723919	NA	5621519	17470704	1224873	0
38	1	fmt	fedora-clang-libcxx	2855829	150181524	723934	NA	5715007	17817917	1228593	0
39	1	fmt	fedora-clang-libcxx	2569463	152750987	723949	NA	5801991	18135622	1231967	0
40	1	fmt	fedora-clang-libcxx	4878594	157629581	724710	NA	5971028	18726315	1238889	0
41	1	fmt	fedora-clang-libcxx	3945723	161575304	726945	NA	6093272	19181921	1248743	0
42	1	fmt	fedora-clang-libcxx	3361313	164936617	728889	NA	6196418	19564224	1256542	0
43	1	fmt	fedora-clang-libcxx	4443220	169379837	731626	NA	6348068	20095095	1264243	0
44	1	fmt	fedora-clang-libcxx	2844605	172224442	731676	NA	6439520	20439123	1268612	0
45	1	fmt	fedora-clang-libcxx	3938310	176162752	731691	NA	6557209	20873761	1273095	0
46	1	fmt	fedora-clang-libcxx	4379249	180542001	731743	NA	6697264	21398798	1277755	0
47	1	fmt	fedora-clang-libcxx	2778200	183320201	731795	NA	6787325	21723100	1281274	0
48	1	fmt	fedora-clang-libcxx	4498252	187818453	733060	NA	6941843	22257624	1287232	0
49	1	fmt	fedora-clang-libcxx	76138	187894591	736382	NA	6949396	22269499	1289566	0
50	1	fmt	fedora-clang-libcxx	4731462	192626053	783165	NA	7193452	22836225	1307546	0
51	2	fmt	fedora-clang-libcxx	2844605	195470658	783180	NA	7284904	23180253	1311276	0
52	2	fmt	fedora-clang-libcxx	1557565	197028223	783231	NA	7336993	23369822	1313583	0
53	2	fmt	fedora-clang-libcxx	299810	197328033	783282	NA	7346980	23409760	1314501	0
54	2	fmt	fedora-clang-libcxx	3938310	201266343	783297	NA	7464669	23844398	1318984	0
55	2	fmt	fedora-clang-libcxx	4379249	205645592	783312	NA	7604724	24369435	1323644	0
56	2	fmt	fedora-clang-libcxx	2778200	208423792	783327	NA	7694785	24693737	1327163	0
57	2	fmt	fedora-clang-libcxx	4182000	212605792	783379	NA	7823690	25180028	1335728	0
58	2	fmt	fedora-clang-libcxx	4452172	217057964	783431	NA	7958756	25691558	1341616	0
59	2	fmt	fedora-clang-libcxx	4021189	221079153	783483	NA	8081186	26145203	1346424	0
60	2	fmt	fedora-clang-libcxx	4709224	225788377	783535	NA	8225206	26698558	1352002	0
61	2	fmt	fedora-clang-libcxx	4436717	230225094	783587	NA	8365756	27231069	1357195	0
62	2	fmt	fedora-clang-libcxx	4502384	234727478	783639	NA	8506310	27763362	1362046	0
63	2	fmt	fedora-clang-libcxx	5197157	239924635	783691	NA	8652468	28347446	1368981	0
64	2	fmt	fedora-clang-libcxx	4529268	244453903	783743	NA	8795307	28899002	1374601	0
65	2	fmt	fedora-clang-libcxx	4477921	248931824	783795	NA	8935556	29439018	1381734	0
66	2	fmt	fedora-clang-libcxx	3938310	252870134	783810	NA	9053245	29873656	1386217	0
67	2	fmt	fedora-clang-libcxx	4417375	257287509	783825	NA	9195263	30417923	1390868	0
68	2	fmt	fedora-clang-libcxx	2855829	260143338	783840	NA	9288751	30765136	1394412	0
69	2	fmt	fedora-clang-libcxx	2569463	262712801	783855	NA	9375735	31082841	1397554	0
70	2	fmt	fedora-clang-libcxx	4732906	267445707	783907	NA	9525439	31654060	1404334	0
71	2	fmt	fedora-clang-libcxx	4955405	272401112	783959	NA	9681157	32248540	1411145	0
72	2	fmt	fedora-clang-libcxx	4940707	277341819	784011	NA	9833166	32835086	1417328	0
73	2	fmt	fedora-clang-libcxx	4361823	281703642	784063	NA	9965882	33341040	1422840	0
74	2	fmt	fedora-clang-libcxx	4176753	285880395	784115	NA	10095661	33829399	1429499	0
75	2	fmt	fedora-clang-libcxx	4251255	290131650	784167	NA	10228381	34338360	1434719	0
76	2	fmt	fedora-clang-libcxx	3938310	294069960	784182	NA	10346070	34772998	1439202	0
77	2	fmt	fedora-clang-libcxx	4417375	298487335	784197	NA	10488088	35317265	1443853	0
78	2	fmt	fedora-clang-libcxx	2855829	301343164	784212	NA	10581576	35664478	1447397	0
79	2	fmt	fedora-clang-libcxx	2569463	303912627	784227	NA	10668560	35982183	1450539	0
80	2	fmt	fedora-clang-libcxx	4532002	308444629	784279	NA	10813034	36540463	1456692	0
81	2	fmt	fedora-clang-libcxx	3938310	312382939	784294	NA	10930723	36975101	1461175	0
82	2	fmt	fedora-clang-libcxx	4417375	316800314	784309	NA	11072741	37519368	1465826	0
83	2	fmt	fedora-clang-libcxx	2855829	319656143	784324	NA	11166229	37866581	1469370	0
84	2	fmt	fedora-clang-libcxx	2569463	322225606	784339	NA	11253213	38184286	1472512	0
85	2	fmt	fedora-clang-libcxx	4842216	327067822	784391	NA	11405342	38766625	1478398	0
86	2	fmt	fedora-clang-libcxx	4528241	331596063	784443	NA	11551011	39328024	1485398	0
87	2	fmt	fedora-clang-libcxx	3938310	335534373	784458	NA	11668700	39762662	1489881	0
88	2	fmt	fedora-clang-libcxx	4417375	339951748	784473	NA	11810718	40306929	1494532	0
89	2	fmt	fedora-clang-libcxx	2855829	342807577	784488	NA	11904206	40654142	1498076	0
90	2	fmt	fedora-clang-libcxx	2569463	345377040	784503	NA	11991190	40971847	1501218	0
91	2	fmt	fedora-clang-libcxx	4878594	350255634	784555	NA	12144768	41562540	1507645	0
92	2	fmt	fedora-clang-libcxx	3945723	354201357	784607	NA	12265664	42018146	1514071	0
93	2	fmt	fedora-clang-libcxx	3361313	357562670	784659	NA	12367454	42400449	1521533	0
94	2	fmt	fedora-clang-libcxx	4443220	362005890	784711	NA	12507442	42931320	1528594	0
95	2	fmt	fedora-clang-libcxx	2844605	364850495	784726	NA	12598894	43275348	1532324	0
96	2	fmt	fedora-clang-libcxx	3938310	368788805	784741	NA	12716583	43709986	1536807	0
97	2	fmt	fedora-clang-libcxx	4379249	373168054	784756	NA	12856638	44235023	1541467	0
98	2	fmt	fedora-clang-libcxx	2778200	375946254	784771	NA	12946699	44559325	1544986	0
99	2	fmt	fedora-clang-libcxx	4498252	380444506	784823	NA	13087184	45093849	1550979	0
100	2	fmt	fedora-clang-libcxx	76138	380520644	784875	NA	13089757	45105724	1553425	0
101	2	fmt	fedora-clang-libcxx	4731462	385252106	784927	NA	13240707	45672450	1569947	0
102	3	fmt	fedora-clang-libcxx	2844605	388096711	784942	NA	13332159	46016478	1573677	0
103	3	fmt	fedora-clang-libcxx	1557565	389654276	784957	NA	13384248	46206047	1575984	0
104	3	fmt	fedora-clang-libcxx	299810	389954086	784972	NA	13394235	46245985	1576612	0
105	3	fmt	fedora-clang-libcxx	3938310	393892396	784987	NA	13511924	46680623	1581095	0
106	3	fmt	fedora-clang-libcxx	4379249	398271645	785002	NA	13651979	47205660	1585755	0
107	3	fmt	fedora-clang-libcxx	2778200	401049845	785017	NA	13742040	47529962	1589274	0
108	3	fmt	fedora-clang-libcxx	4182000	405231845	785032	NA	13870945	48016253	1593863	0
109	3	fmt	fedora-clang-libcxx	4452172	409684017	785047	NA	14006011	48527783	1598549	0
110	3	fmt	fedora-clang-libcxx	4021189	413705206	785062	NA	14128441	48981428	1602993	0
111	3	fmt	fedora-clang-libcxx	4709224	418414430	785077	601460	14272461	49534783	1607797	1
112	3	fmt	fedora-clang-libcxx	4436717	422851147	785092	601460	14413011	50067294	1612315	0
113	3	fmt	fedora-clang-libcxx	4502384	427353531	785107	601460	14553565	50599587	1616983	0
114	3	fmt	fedora-clang-libcxx	5197157	432550688	785122	601460	14699723	51183671	1621285	0
115	3	fmt	fedora-clang-libcxx	4529268	437079956	785137	601460	14842562	51735227	1626018	0
116	3	fmt	fedora-clang-libcxx	4477921	441557877	785152	601460	14982811	52275243	1630243	0
117	3	fmt	fedora-clang-libcxx	3938310	445496187	785167	601460	15100500	52709881	1634726	0
118	3	fmt	fedora-clang-libcxx	4417375	449913562	785182	601460	15242518	53254148	1639377	0
119	3	fmt	fedora-clang-libcxx	2855829	452769391	785197	601460	15336006	53601361	1642921	0
120	3	fmt	fedora-clang-libcxx	2569463	455338854	785212	601460	15422990	53919066	1646063	0
