tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	fmt	linuxbrew	1714549	1714549	555477	NA	411191	273100	45777	0
1	1	fmt	linuxbrew	1214133	2928682	562507	NA	480763	461541	76225	0
2	1	fmt	linuxbrew	207682	3136364	562946	NA	490536	498060	81260	0
3	1	fmt	linuxbrew	2336657	5473021	615141	NA	813382	853696	135107	0
4	1	fmt	linuxbrew	3073802	8546823	625069	NA	1006960	1334676	181615	0
5	1	fmt	linuxbrew	1467681	10014504	626253	NA	1075429	1563737	197482	0
6	1	fmt	linuxbrew	2844375	12858879	628860	NA	1207491	2004629	224260	0
7	1	fmt	linuxbrew	3127736	15986615	639487	NA	1369793	2475398	250210	0
8	1	fmt	linuxbrew	2420583	18407198	640185	NA	1481401	2849617	262995	0
9	1	fmt	linuxbrew	3455396	21862594	645643	NA	1675122	3368269	279782	0
10	1	fmt	linuxbrew	3132182	24994776	646552	NA	1828064	3857185	287850	0
11	1	fmt	linuxbrew	3199431	28194207	647193	NA	1979424	4345642	292834	0
12	1	fmt	linuxbrew	3943931	32138138	653135	NA	2196968	4898769	302885	0
13	1	fmt	linuxbrew	3225858	35363996	668280	NA	2351186	5409181	308007	0
14	1	fmt	linuxbrew	3089135	38453131	673205	NA	2506983	5903425	314498	0
15	1	fmt	linuxbrew	2336657	40789788	673256	NA	2612448	6259061	317595	0
16	1	fmt	linuxbrew	3152132	43941920	673402	NA	2753484	6763836	321005	0
17	1	fmt	linuxbrew	1735380	45677300	673500	NA	2831754	7040478	323642	0
18	1	fmt	linuxbrew	1773548	47450848	673579	NA	2912432	7324593	325680	0
19	1	fmt	linuxbrew	3344358	50795206	676083	NA	3083853	7851190	332872	0
20	1	fmt	linuxbrew	3639521	54434727	684761	NA	3291181	8418367	343023	0
21	1	fmt	linuxbrew	3553503	57988230	686690	NA	3470873	8960800	347232	0
22	1	fmt	linuxbrew	3102449	61090679	693346	NA	3638565	9435793	353096	0
23	1	fmt	linuxbrew	2837863	63928542	694343	NA	3767008	9878916	355966	0
24	1	fmt	linuxbrew	2946037	66874579	699812	NA	3899965	10345903	358896	0
25	1	fmt	linuxbrew	2336657	69211236	699827	NA	4005430	10701539	360636	0
26	1	fmt	linuxbrew	3152132	72363368	699879	NA	4146466	11206314	363375	0
27	1	fmt	linuxbrew	1735380	74098748	699931	NA	4224736	11482956	365004	0
28	1	fmt	linuxbrew	1773548	75872296	699983	NA	4305414	11767071	366410	0
29	1	fmt	linuxbrew	3270889	79143185	701568	NA	4465091	12289530	369620	0
30	1	fmt	linuxbrew	2336657	81479842	701583	NA	4570556	12645166	371445	0
31	1	fmt	linuxbrew	3152132	84631974	701598	NA	4711592	13149941	373381	0
32	1	fmt	linuxbrew	1735380	86367354	701613	NA	4789862	13426583	374385	0
33	1	fmt	linuxbrew	1773548	88140902	701628	NA	4870540	13710698	375327	0
34	1	fmt	linuxbrew	3547548	91688450	702597	NA	5040836	14264020	380637	0
35	1	fmt	linuxbrew	3274096	94962546	703249	NA	5189157	14789694	383406	0
36	1	fmt	linuxbrew	2336657	97299203	703264	NA	5294622	15145330	384661	0
37	1	fmt	linuxbrew	3152132	100451335	703279	NA	5435658	15650105	386453	0
38	1	fmt	linuxbrew	1735380	102186715	703294	NA	5513928	15926747	387223	0
39	1	fmt	linuxbrew	1773548	103960263	703309	NA	5594606	16210862	388142	0
40	1	fmt	linuxbrew	3586120	107546383	704109	NA	5768071	16772638	392417	0
41	1	fmt	linuxbrew	2115274	109661657	705177	NA	5863146	17101922	394289	0
42	1	fmt	linuxbrew	1378731	111040388	706329	NA	5923783	17312860	396474	0
43	1	fmt	linuxbrew	3138583	114178971	708729	NA	6073774	17800012	400063	0
44	1	fmt	linuxbrew	1714549	115893520	708779	NA	6150879	18073112	401014	0
45	1	fmt	linuxbrew	2336657	118230177	708794	NA	6256344	18428748	401976	0
46	1	fmt	linuxbrew	3073802	121303979	708845	NA	6394150	18909728	403192	0
47	1	fmt	linuxbrew	1467681	122771660	708896	NA	6460510	19138789	403918	0
48	1	fmt	linuxbrew	3240489	126012149	709740	NA	6615492	19638497	406094	0
49	1	fmt	linuxbrew	75734	126087883	713013	NA	6622629	19649872	408269	0
50	1	fmt	linuxbrew	3322508	129410391	760802	NA	6866214	20172699	423445	0
51	2	fmt	linuxbrew	1714549	131124940	760817	NA	6943319	20445799	424146	0
52	2	fmt	linuxbrew	1214133	132339073	760868	NA	6996125	20634240	424744	0
53	2	fmt	linuxbrew	207682	132546755	760919	NA	7004554	20670759	425102	0
54	2	fmt	linuxbrew	2336657	134883412	760934	NA	7110019	21026395	426064	0
55	2	fmt	linuxbrew	3073802	137957214	760949	NA	7247825	21507375	427120	0
56	2	fmt	linuxbrew	1467681	139424895	760964	NA	7314185	21736436	427794	0
57	2	fmt	linuxbrew	2844375	142269270	761015	NA	7440463	22177328	430365	0
58	2	fmt	linuxbrew	3127736	145397006	761066	NA	7574181	22648097	433298	0
59	2	fmt	linuxbrew	2420583	147817589	761118	NA	7684417	23022316	434689	0
60	2	fmt	linuxbrew	3455396	151272985	761170	NA	7829017	23540968	436565	0
61	2	fmt	linuxbrew	3132182	154405167	761222	NA	7967858	24029884	437975	0
62	2	fmt	linuxbrew	3199431	157604598	761274	NA	8106207	24518341	439199	0
63	2	fmt	linuxbrew	3943931	161548529	761326	NA	8254978	25071468	443438	0
64	2	fmt	linuxbrew	3225858	164774387	761378	NA	8395898	25581880	445293	0
65	2	fmt	linuxbrew	3089135	167863522	761430	NA	8534215	26076124	446840	0
66	2	fmt	linuxbrew	2336657	170200179	761445	NA	8639680	26431760	447802	0
67	2	fmt	linuxbrew	3152132	173352311	761460	NA	8780716	26936535	448783	0
68	2	fmt	linuxbrew	1735380	175087691	761475	NA	8858986	27213177	449381	0
69	2	fmt	linuxbrew	1773548	176861239	761490	NA	8939664	27497292	449860	0
70	2	fmt	linuxbrew	3344358	180205597	761542	NA	9088208	28023889	452044	0
71	2	fmt	linuxbrew	3639521	183845118	761594	NA	9248657	28591066	456305	0
72	2	fmt	linuxbrew	3553503	187398621	761646	NA	9398893	29133499	458568	0
73	2	fmt	linuxbrew	3102449	190501070	761698	NA	9534254	29608492	463609	0
74	2	fmt	linuxbrew	2837863	193338933	761750	NA	9661523	30051615	465568	0
75	2	fmt	linuxbrew	2946037	196284970	761802	NA	9792195	30518602	466964	0
76	2	fmt	linuxbrew	2336657	198621627	761817	NA	9897660	30874238	467926	0
77	2	fmt	linuxbrew	3152132	201773759	761832	NA	10038696	31379013	468907	0
78	2	fmt	linuxbrew	1735380	203509139	761847	NA	10116966	31655655	469505	0
79	2	fmt	linuxbrew	1773548	205282687	761862	NA	10197644	31939770	469984	0
80	2	fmt	linuxbrew	3270889	208553576	761914	NA	10342537	32462229	472261	0
81	2	fmt	linuxbrew	2336657	210890233	761929	NA	10448002	32817865	473223	0
82	2	fmt	linuxbrew	3152132	214042365	761944	NA	10589038	33322640	474204	0
83	2	fmt	linuxbrew	1735380	215777745	761959	NA	10667308	33599282	474802	0
84	2	fmt	linuxbrew	1773548	217551293	761974	NA	10747986	33883397	475281	0
85	2	fmt	linuxbrew	3547548	221098841	762026	NA	10903917	34436719	477735	0
86	2	fmt	linuxbrew	3274096	224372937	762078	NA	11050541	34962393	479431	0
87	2	fmt	linuxbrew	2336657	226709594	762093	NA	11156006	35318029	480393	0
88	2	fmt	linuxbrew	3152132	229861726	762108	NA	11297042	35822804	481374	0
89	2	fmt	linuxbrew	1735380	231597106	762123	NA	11375312	36099446	481972	0
90	2	fmt	linuxbrew	1773548	233370654	762138	NA	11455990	36383561	482451	0
91	2	fmt	linuxbrew	3586120	236956774	762190	NA	11613669	36945337	485412	0
92	2	fmt	linuxbrew	2115274	239072048	762242	NA	11707797	37274621	487161	0
93	2	fmt	linuxbrew	1378731	240450779	762294	NA	11767728	37485559	488783	0
94	2	fmt	linuxbrew	3138583	243589362	762346	NA	11906420	37972711	491743	0
95	2	fmt	linuxbrew	1714549	245303911	762361	NA	11983525	38245811	492444	0
96	2	fmt	linuxbrew	2336657	247640568	762376	NA	12088990	38601447	493406	0
97	2	fmt	linuxbrew	3073802	250714370	762391	NA	12226796	39082427	494462	0
98	2	fmt	linuxbrew	1467681	252182051	762406	NA	12293156	39311488	495136	0
99	2	fmt	linuxbrew	3240489	255422540	762458	NA	12434488	39811196	497108	0
100	2	fmt	linuxbrew	75734	255498274	762510	NA	12436939	39822571	499306	0
101	2	fmt	linuxbrew	3322508	258820782	762562	NA	12586321	40345398	512615	0
102	3	fmt	linuxbrew	1714549	260535331	762577	NA	12663426	40618498	513316	0
103	3	fmt	linuxbrew	1214133	261749464	762592	NA	12716232	40806939	513914	0
104	3	fmt	linuxbrew	207682	261957146	762607	NA	12724661	40843458	514047	0
105	3	fmt	linuxbrew	2336657	264293803	762622	NA	12830126	41199094	515009	0
106	3	fmt	linuxbrew	3073802	267367605	762637	NA	12967932	41680074	516065	0
107	3	fmt	linuxbrew	1467681	268835286	762652	NA	13034292	41909135	516739	0
108	3	fmt	linuxbrew	2844375	271679661	762667	NA	13160570	42350027	517913	0
109	3	fmt	linuxbrew	3127736	274807397	762682	NA	13294288	42820796	518934	0
110	3	fmt	linuxbrew	2420583	277227980	762697	NA	13404524	43195015	520005	0
111	3	fmt	linuxbrew	3455396	280683376	762712	595575	13549124	43713667	521175	1
112	3	fmt	linuxbrew	3132182	283815558	762727	595575	13687965	44202583	522146	0
113	3	fmt	linuxbrew	3199431	287014989	762742	595575	13826314	44691040	523208	0
114	3	fmt	linuxbrew	3943931	290958920	762757	595575	13975085	45244167	524208	0
115	3	fmt	linuxbrew	3225858	294184778	762772	595575	14116005	45754579	525337	0
116	3	fmt	linuxbrew	3089135	297273913	762787	595575	14254322	46248823	526204	0
117	3	fmt	linuxbrew	2336657	299610570	762802	595575	14359787	46604459	527166	0
118	3	fmt	linuxbrew	3152132	302762702	762817	595575	14500823	47109234	528147	0
119	3	fmt	linuxbrew	1735380	304498082	762832	595575	14579093	47385876	528745	0
