tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	leveldb	conan-gcc	1393444	1393444	517796	NA	317915	214083	43509	0
1	1	leveldb	conan-gcc	1005165	2398609	521085	NA	373888	366457	70510	0
2	1	leveldb	conan-gcc	1649153	4047762	534985	NA	500575	622027	112503	0
3	1	leveldb	conan-gcc	1540904	5588666	536047	NA	576280	857087	132616	0
4	1	leveldb	conan-gcc	1401513	6990179	549213	NA	691985	1073891	155445	0
5	1	leveldb	conan-gcc	1398437	8388616	550059	NA	761223	1289458	162093	0
6	1	leveldb	conan-gcc	1283447	9672063	551112	NA	823489	1487068	165351	0
7	1	leveldb	conan-gcc	1274151	10946214	551781	NA	886597	1682511	168000	0
8	1	leveldb	conan-gcc	1269849	12216063	552276	NA	947885	1876955	170004	0
9	1	leveldb	conan-gcc	1359556	13575619	552852	NA	1013505	2083947	174112	0
10	1	leveldb	conan-gcc	1565182	15140801	553643	NA	1092405	2324761	181914	0
11	1	leveldb	conan-gcc	1285552	16426353	554009	NA	1154898	2523267	183512	0
12	1	leveldb	conan-gcc	1435433	17861786	555700	NA	1225460	2743043	187731	0
13	1	leveldb	conan-gcc	1565904	19427690	558478	NA	1310400	2982762	195098	0
14	1	leveldb	conan-gcc	1353817	20781507	559157	NA	1375199	3188471	197834	0
15	1	leveldb	conan-gcc	1261483	22042990	559917	NA	1435910	3381041	199649	0
16	1	leveldb	conan-gcc	1273076	23316066	561072	NA	1499751	3576643	201610	0
17	1	leveldb	conan-gcc	1085360	24401426	561539	NA	1551802	3744674	202891	0
18	1	leveldb	conan-gcc	1276710	25678136	562044	NA	1614007	3941131	204441	0
19	1	leveldb	conan-gcc	852453	26530589	562461	NA	1652807	4067082	205458	0
20	1	leveldb	conan-gcc	858168	27388757	563308	NA	1693284	4194223	207323	0
21	1	leveldb	conan-gcc	1281506	28670263	564685	NA	1757153	4391359	209119	0
22	1	leveldb	conan-gcc	1283286	29953549	565287	NA	1821012	4589086	210621	0
23	1	leveldb	conan-gcc	866757	30820306	565845	NA	1861447	4718142	212263	0
24	1	leveldb	conan-gcc	588656	31408962	566192	NA	1888237	4804181	213378	0
25	1	leveldb	conan-gcc	677100	32086062	566512	NA	1919404	4905916	214397	0
26	1	leveldb	conan-gcc	975792	33061854	567343	NA	1967794	5055925	215874	0
