tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	leveldb	debian-gcc	1344438	1344438	505249	NA	308639	206956	39383	0
1	1	leveldb	debian-gcc	905718	2250156	508749	NA	360146	344509	63691	0
2	1	leveldb	debian-gcc	1596605	3846761	522462	NA	483848	592258	103109	0
3	1	leveldb	debian-gcc	1489090	5335851	523429	NA	557919	819522	119285	0
4	1	leveldb	debian-gcc	1336751	6672602	535598	NA	665601	1026909	137201	0
5	1	leveldb	debian-gcc	1349326	8021928	536392	NA	733243	1235266	143599	0
6	1	leveldb	debian-gcc	1235316	9257244	537446	NA	793707	1425549	146217	0
7	1	leveldb	debian-gcc	1226217	10483461	538097	NA	854892	1613940	148366	0
8	1	leveldb	debian-gcc	1221891	11705352	538592	NA	914257	1801341	149964	0
9	1	leveldb	debian-gcc	1308667	13014019	539151	NA	978157	2000517	153097	0
10	1	leveldb	debian-gcc	1513153	14527172	539908	NA	1054892	2233317	158603	0
11	1	leveldb	debian-gcc	1237380	15764552	540267	NA	1115449	2424480	159987	0
12	1	leveldb	debian-gcc	1386262	17150814	542020	NA	1183781	2636896	164046	0
13	1	leveldb	debian-gcc	1513511	18664325	544766	NA	1266589	2868695	171109	0
14	1	leveldb	debian-gcc	1302898	19967223	545419	NA	1329518	3066708	173264	0
15	1	leveldb	debian-gcc	1213671	21180894	546119	NA	1388367	3251710	175037	0
16	1	leveldb	debian-gcc	1225074	22405968	547252	NA	1450351	3440161	176946	0
17	1	leveldb	debian-gcc	1038574	23444542	547727	NA	1500920	3601137	177974	0
18	1	leveldb	debian-gcc	1228703	24673245	548239	NA	1561305	3790299	179357	0
19	1	leveldb	debian-gcc	761167	25434412	548647	NA	1596221	3902680	180403	0
20	1	leveldb	debian-gcc	766741	26201153	549513	NA	1632846	4016163	182114	0
21	1	leveldb	debian-gcc	1233521	27434674	550885	NA	1694728	4206045	183972	0
22	1	leveldb	debian-gcc	1235208	28669882	551470	NA	1756773	4396713	184977	0
23	1	leveldb	debian-gcc	772559	29442441	551985	NA	1793127	4511683	186159	0
24	1	leveldb	debian-gcc	501629	29944070	552300	NA	1815924	4583807	187250	0
25	1	leveldb	debian-gcc	584107	30528177	552593	NA	1843145	4671649	188106	0
26	1	leveldb	debian-gcc	934342	31462519	553421	NA	1890012	4815638	189370	0
27	1	leveldb	debian-gcc	929405	32391924	553774	NA	1933654	4958095	190230	0
28	1	leveldb	debian-gcc	1103150	33495074	554320	NA	1986037	5125237	191046	0
29	1	leveldb	debian-gcc	946329	34441403	556373	NA	2041655	5275330	193498	0
30	1	leveldb	debian-gcc	875411	35316814	556867	NA	2083594	5406639	194544	0
31	1	leveldb	debian-gcc	559359	35876173	557020	NA	2108638	5490528	194800	0
32	1	leveldb	debian-gcc	927009	36803182	557291	NA	2151664	5632625	195354	0
33	1	leveldb	debian-gcc	1216657	38019839	558507	NA	2210796	5818597	197221	0
34	1	leveldb	debian-gcc	874960	38894799	558826	NA	2251667	5950172	198251	0
35	1	leveldb	debian-gcc	1101038	39995837	559087	NA	2303111	6116711	199011	0
36	1	leveldb	debian-gcc	1786551	41782388	571281	NA	2415511	6392394	221276	0
37	1	leveldb	debian-gcc	1338111	43120499	572197	NA	2482627	6596537	224396	0
38	1	leveldb	debian-gcc	874629	43995128	572637	NA	2524210	6727757	225569	0
39	1	leveldb	debian-gcc	2358769	46353897	604427	NA	2783397	7099258	254664	0
40	1	leveldb	debian-gcc	2328584	48682481	606226	NA	2894134	7468091	282471	0
41	1	leveldb	debian-gcc	2890275	51572756	627374	NA	3131937	7919602	312101	0
42	1	leveldb	debian-gcc	3007230	54579986	633516	NA	3273788	8392721	333083	0
43	1	leveldb	debian-gcc	3089225	57669211	639629	NA	3425910	8873304	362658	0
44	1	leveldb	debian-gcc	3612197	61281408	681276	NA	3616105	9389187	485677	0
45	1	leveldb	debian-gcc	2413689	63695097	684063	NA	3731427	9767885	507972	0
46	1	leveldb	debian-gcc	2413568	66108665	687152	NA	3846533	10146296	530931	0
47	1	leveldb	debian-gcc	2592054	68700719	700129	NA	3971400	10533782	576322	0
48	1	leveldb	debian-gcc	3092898	71793617	705935	NA	4122237	11013931	595506	0
49	1	leveldb	debian-gcc	2957233	74750850	710745	NA	4261281	11473926	624119	0
50	1	leveldb	debian-gcc	2378395	77129245	711570	NA	4373896	11850391	630248	0
51	1	leveldb	debian-gcc	3080726	80209971	720195	NA	4520779	12317376	673312	0
52	1	leveldb	debian-gcc	2423136	82633107	722859	NA	4636665	12698673	680666	0
53	1	leveldb	debian-gcc	3108438	85741545	730019	NA	4786610	13177027	713827	0
54	1	leveldb	debian-gcc	2939809	88681354	733010	NA	4922809	13634247	735705	0
55	1	leveldb	debian-gcc	3028277	91709631	739945	NA	5075501	14104096	765446	0
56	1	leveldb	debian-gcc	2326960	94036591	741051	NA	5186066	14472686	772274	0
57	1	leveldb	debian-gcc	2920646	96957237	743069	NA	5322297	14928698	779696	0
58	1	leveldb	debian-gcc	2402992	99360229	748078	NA	5438005	15303838	795693	0
59	1	leveldb	debian-gcc	2401161	101761390	752872	NA	5552834	15678432	812802	0
60	1	leveldb	debian-gcc	2339305	104100695	754687	NA	5664342	16047391	817999	0
61	1	leveldb	debian-gcc	2324876	106425571	755672	NA	5774837	16415440	820730	0
62	1	leveldb	debian-gcc	2367704	108793275	758599	NA	5888422	16788018	832299	0
63	1	leveldb	debian-gcc	2890275	111683550	758651	NA	6020244	17239529	860802	0
