tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	leveldb	fedora-clang-libcxx	3287202	3287202	598749	NA	505859	352517	161401	0
1	1	leveldb	fedora-clang-libcxx	2826937	6114139	604597	NA	600631	658563	288451	0
2	1	leveldb	fedora-clang-libcxx	3531783	9645922	616744	NA	749348	1043369	419271	0
3	1	leveldb	fedora-clang-libcxx	3390198	13036120	617697	NA	850776	1409523	533034	0
4	1	leveldb	fedora-clang-libcxx	3385203	16421323	623728	NA	975329	1773639	623201	0
5	1	leveldb	fedora-clang-libcxx	3291359	19712682	624664	NA	1073722	2127644	667655	0
6	1	leveldb	fedora-clang-libcxx	2828860	22541542	625700	NA	1162583	2433582	727085	0
7	1	leveldb	fedora-clang-libcxx	2820682	25362224	626382	NA	1252379	2737522	764666	0
8	1	leveldb	fedora-clang-libcxx	2815968	28178192	626804	NA	1340255	3040349	788133	0
9	1	leveldb	fedora-clang-libcxx	2838099	31016291	627337	NA	1428838	3348754	808474	0
10	1	leveldb	fedora-clang-libcxx	3412726	34429017	628110	NA	1533028	3719063	833926	0
11	1	leveldb	fedora-clang-libcxx	2831597	37260614	628469	NA	1622112	4025835	846588	0
12	1	leveldb	fedora-clang-libcxx	3369145	40629759	631226	NA	1722111	4384531	867469	0
13	1	leveldb	fedora-clang-libcxx	3427041	44056800	633367	NA	1835682	4756191	886285	0
14	1	leveldb	fedora-clang-libcxx	2832953	46889753	634012	NA	1923827	5063578	895120	0
15	1	leveldb	fedora-clang-libcxx	2809034	49698787	635492	NA	2011995	5365016	905163	0
16	1	leveldb	fedora-clang-libcxx	2818872	52517659	636474	NA	2101587	5669052	912490	0
17	1	leveldb	fedora-clang-libcxx	2807561	55325220	636936	NA	2188515	5970093	918920	0
18	1	leveldb	fedora-clang-libcxx	2823088	58148308	637379	NA	2277513	6274701	924781	0
19	1	leveldb	fedora-clang-libcxx	2238588	60386896	637656	NA	2345488	6509709	932233	0
20	1	leveldb	fedora-clang-libcxx	2243288	62630184	638265	NA	2413306	6745646	937346	0
21	1	leveldb	fedora-clang-libcxx	2827858	65458042	639424	NA	2500356	7050242	945832	0
22	1	leveldb	fedora-clang-libcxx	2829898	68287940	640033	NA	2587835	7356527	953463	0
23	1	leveldb	fedora-clang-libcxx	2249060	70537000	640463	NA	2657172	7593924	959919	0
24	1	leveldb	fedora-clang-libcxx	2784127	73321127	640907	NA	2742367	7890535	971061	0
