tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	leveldb	linuxbrew	1405527	1405527	510675	NA	309005	207824	39447	0
1	1	leveldb	linuxbrew	954282	2359809	514373	NA	360473	346309	64335	0
2	1	leveldb	linuxbrew	1660987	4020796	527383	NA	483261	594177	102288	0
3	1	leveldb	linuxbrew	1553337	5574133	528129	NA	556910	821978	124881	0
4	1	leveldb	linuxbrew	1403183	6977316	540054	NA	667077	1029672	142237	0
5	1	leveldb	linuxbrew	1410567	8387883	540834	NA	734368	1239015	149110	0
6	1	leveldb	linuxbrew	1292185	9680068	541901	NA	794381	1430014	151590	0
7	1	leveldb	linuxbrew	1283707	10963775	542553	NA	854586	1619037	153699	0
8	1	leveldb	linuxbrew	1278787	12242562	542969	NA	912882	1806974	155420	0
9	1	leveldb	linuxbrew	1365322	13607884	543505	NA	976266	2006535	157836	0
10	1	leveldb	linuxbrew	1577602	15185486	544250	NA	1052830	2240198	163653	0
11	1	leveldb	linuxbrew	1294657	16480143	544577	NA	1113086	2431978	165107	0
12	1	leveldb	linuxbrew	1448524	17928667	546531	NA	1181003	2644845	169290	0
13	1	leveldb	linuxbrew	1572922	19501589	548697	NA	1262978	2876585	173941	0
14	1	leveldb	linuxbrew	1358459	20860048	549321	NA	1325738	3074770	175745	0
15	1	leveldb	linuxbrew	1269221	22129269	549897	NA	1384150	3260523	177137	0
16	1	leveldb	linuxbrew	1280199	23409468	550848	NA	1444951	3449411	178757	0
17	1	leveldb	linuxbrew	1079044	24488512	551304	NA	1495260	3611069	179693	0
18	1	leveldb	linuxbrew	1285784	25774296	551745	NA	1555195	3800657	180857	0
19	1	leveldb	linuxbrew	800710	26575006	552024	NA	1590166	3913236	181818	0
20	1	leveldb	linuxbrew	805256	27380262	552624	NA	1626312	4026957	182770	0
21	1	leveldb	linuxbrew	1290170	28670432	553716	NA	1687732	4217722	184178	0
22	1	leveldb	linuxbrew	1292865	29963297	554304	NA	1748872	4408963	185480	0
23	1	leveldb	linuxbrew	811290	30774587	554735	NA	1785204	4524027	186546	0
24	1	leveldb	linuxbrew	521140	31295727	555019	NA	1807750	4596665	187468	0
25	1	leveldb	linuxbrew	608771	31904498	555361	NA	1834784	4684750	188332	0
26	1	leveldb	linuxbrew	969399	32873897	555938	NA	1880722	4828939	189561	0
27	1	leveldb	linuxbrew	965374	33839271	556290	NA	1924481	4971699	190152	0
28	1	leveldb	linuxbrew	1154519	34993790	556718	NA	1976501	5138953	190767	0
29	1	leveldb	linuxbrew	982207	35975997	559088	NA	2031997	5289617	193153	0
30	1	leveldb	linuxbrew	921620	36897617	559471	NA	2073622	5421782	194159	0
31	1	leveldb	linuxbrew	582250	37479867	559629	NA	2098527	5505938	194424	0
32	1	leveldb	linuxbrew	962931	38442798	559910	NA	2140861	5648377	195154	0
33	1	leveldb	linuxbrew	1274613	39717411	560995	NA	2199307	5835023	196865	0
34	1	leveldb	linuxbrew	921301	40638712	561313	NA	2239872	5967528	197464	0
35	1	leveldb	linuxbrew	1152652	41791364	561562	NA	2290975	6134609	198149	0
36	1	leveldb	linuxbrew	1857826	43649190	571727	NA	2400517	6410489	216391	0
37	1	leveldb	linuxbrew	1399422	45048612	572595	NA	2467459	6615624	219289	0
38	1	leveldb	linuxbrew	920744	45969356	572937	NA	2508284	6747538	220390	0
39	1	leveldb	linuxbrew	2452618	48421974	603872	NA	2766452	7120306	247056	0
40	1	leveldb	linuxbrew	2419039	50841013	605099	NA	2876761	7489831	271859	0
41	1	leveldb	linuxbrew	2979804	53820817	625676	NA	3112258	7941142	303656	0
42	1	leveldb	linuxbrew	3092716	56913533	630507	NA	3252952	8413937	321286	0
43	1	leveldb	linuxbrew	3136855	60050388	631913	NA	3401963	8892339	336706	0
44	1	leveldb	linuxbrew	3387559	63437947	634940	NA	3576329	9390099	344736	0
45	1	leveldb	linuxbrew	2488709	65926656	635445	NA	3690489	9768555	362160	0
46	1	leveldb	linuxbrew	2488184	68414840	635929	NA	3804088	10146840	379384	0
47	1	leveldb	linuxbrew	2564694	70979534	636905	NA	3928402	10529477	381439	0
48	1	leveldb	linuxbrew	3136482	74116016	637538	NA	4076041	11007166	382580	0
49	1	leveldb	linuxbrew	3017732	77133748	639256	NA	4213413	11464908	402264	0
50	1	leveldb	linuxbrew	2473317	79607065	639636	NA	4325904	11842282	412749	0
51	1	leveldb	linuxbrew	3076188	82683253	640177	NA	4468046	12304899	427327	0
52	1	leveldb	linuxbrew	2504796	85188049	640800	NA	4583306	12686849	428734	0
53	1	leveldb	linuxbrew	3135027	88323076	641380	NA	4729049	13162062	440652	0
54	1	leveldb	linuxbrew	3005575	91328651	642018	NA	4863879	13617869	454234	0
55	1	leveldb	linuxbrew	3067290	94395941	643498	NA	5011804	14084841	473007	0
56	1	leveldb	linuxbrew	2419024	96814965	643853	NA	5122310	14454481	477626	0
57	1	leveldb	linuxbrew	2997838	99812803	644279	NA	5257489	14909818	480579	0
58	1	leveldb	linuxbrew	2455194	102267997	644660	NA	5370536	15283501	481406	0
59	1	leveldb	linuxbrew	2455275	104723272	645093	NA	5483743	15657063	488515	0
60	1	leveldb	linuxbrew	2422912	107146184	645445	NA	5594603	16026675	489416	0
61	1	leveldb	linuxbrew	2417394	109563578	645759	NA	5704762	16395690	490322	0
62	1	leveldb	linuxbrew	2440722	112004300	646219	NA	5816759	16767626	497032	0
63	1	leveldb	linuxbrew	2979804	114984104	646271	NA	5947470	17218937	527981	0
64	1	leveldb	linuxbrew	59598	115043702	649151	NA	5955372	17228845	529716	0
65	1	leveldb	linuxbrew	2979804	118023506	649166	NA	6086083	17680156	530476	0
66	1	leveldb	linuxbrew	3058432	121081938	653146	NA	6231172	18140048	544744	0
67	1	leveldb	linuxbrew	1220775	122302713	653547	NA	6286274	18315611	550967	0
68	1	leveldb	linuxbrew	2979804	125282517	653562	NA	6416985	18766922	551727	0
69	1	leveldb	linuxbrew	3021732	128304249	655102	NA	6561864	19229476	569223	0
70	1	leveldb	linuxbrew	3009780	131314029	705000	NA	6715912	19687277	598244	0
71	1	leveldb	linuxbrew	2965192	134279221	706862	NA	6847240	20136853	625811	0
72	1	leveldb	linuxbrew	3170874	137450095	742591	NA	7096177	20626114	666390	0
73	1	leveldb	linuxbrew	2413160	139863255	743075	NA	7205438	20994750	679199	0
74	1	leveldb	linuxbrew	2630986	142494241	765603	NA	7377479	21376398	700960	0
75	1	leveldb	linuxbrew	2086044	144580285	766847	NA	7469840	21680416	720491	0
76	1	leveldb	linuxbrew	1771311	146351596	767617	NA	7552212	21940996	726675	0
