tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	nlohmann-json	conan-gcc	2441138	2441138	711459	NA	555782	372768	72516	0
1	1	nlohmann-json	conan-gcc	2810626	5251764	798682	NA	845806	773139	142769	0
2	1	nlohmann-json	conan-gcc	2805025	8056789	801075	NA	964649	1171804	207565	0
3	1	nlohmann-json	conan-gcc	2798117	10854906	801631	NA	1084320	1571073	246223	0
4	1	nlohmann-json	conan-gcc	2754583	13609489	820460	NA	1201536	1966694	275764	0
5	1	nlohmann-json	conan-gcc	2859271	16468760	821162	NA	1323153	2373915	300619	0
6	1	nlohmann-json	conan-gcc	3348696	19817456	827980	NA	1487322	2810428	330262	0
7	1	nlohmann-json	conan-gcc	2966205	22783661	830660	NA	1621515	3227796	356825	0
8	1	nlohmann-json	conan-gcc	2788695	25572356	830886	NA	1737921	3625135	369289	0
9	1	nlohmann-json	conan-gcc	2837040	28409396	831306	NA	1856339	4024433	372190	0
10	1	nlohmann-json	conan-gcc	3225209	31634605	836893	NA	2009063	4457076	386492	0
11	1	nlohmann-json	conan-gcc	2826236	34460841	837543	NA	2127241	4855986	392865	0
12	1	nlohmann-json	conan-gcc	2833559	37294400	838302	NA	2245658	5255278	394770	0
13	1	nlohmann-json	conan-gcc	2815027	40109427	838638	NA	2364525	5654344	396707	0
14	1	nlohmann-json	conan-gcc	3206702	43316129	848461	NA	2521500	6080936	419467	0
15	1	nlohmann-json	conan-gcc	3189403	46505532	862103	NA	2662918	6496828	446416	0
16	1	nlohmann-json	conan-gcc	2819353	49324885	863266	NA	2783145	6896859	450670	0
17	1	nlohmann-json	conan-gcc	4228938	53553823	979894	NA	3177518	7524642	489732	0
18	1	nlohmann-json	conan-gcc	2793077	56346900	980221	NA	3294657	7922393	491371	0
19	1	nlohmann-json	conan-gcc	3177765	59524665	986923	NA	3452337	8362993	501718	0
20	1	nlohmann-json	conan-gcc	2791161	62315826	987226	NA	3569211	8760509	502831	0
21	1	nlohmann-json	conan-gcc	2815849	65131675	987736	NA	3688861	9163233	504735	0
22	1	nlohmann-json	conan-gcc	3172061	68303736	992796	NA	3834883	9597751	521558	0
23	1	nlohmann-json	conan-gcc	3253384	71557120	997953	NA	3966083	10043347	539563	0
24	1	nlohmann-json	conan-gcc	3801118	75358238	1022008	NA	4128749	10568034	569151	0
25	1	nlohmann-json	conan-gcc	2844777	78203015	1024388	NA	4249540	10973315	574443	0
26	1	nlohmann-json	conan-gcc	2979938	81182953	1027461	NA	4383221	11383990	582183	0
27	1	nlohmann-json	conan-gcc	4349677	85532630	1028873	NA	4572638	12016810	614893	0
28	1	nlohmann-json	conan-gcc	2788589	88321219	1029350	NA	4689194	12414814	617874	0
29	1	nlohmann-json	conan-gcc	2797350	91118569	1032960	NA	4807999	12814261	620896	0
30	1	nlohmann-json	conan-gcc	2813103	93931672	1034818	NA	4927874	13214656	625414	0
31	1	nlohmann-json	conan-gcc	2767634	96699306	1053717	NA	5044550	13609929	630845	0
32	1	nlohmann-json	conan-gcc	2960852	99660158	1057667	NA	5172906	14014076	641689	0
33	1	nlohmann-json	conan-gcc	3091575	102751733	1063028	NA	5310260	14425327	655070	0
34	1	nlohmann-json	conan-gcc	3169884	105921617	1063156	NA	5432754	14847782	671171	0
35	1	nlohmann-json	conan-gcc	3822882	109744499	1068985	NA	5591942	15350521	701839	0
36	1	nlohmann-json	conan-gcc	2788234	112532733	1069245	NA	5708645	15748046	702254	0
