tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	nlohmann-json	debian-gcc	2364531	2364531	671086	NA	536798	359753	68045	0
1	1	nlohmann-json	debian-gcc	2757967	5122498	752688	NA	823320	752257	134774	0
2	1	nlohmann-json	debian-gcc	2752346	7874844	755109	NA	939380	1143354	196541	0
3	1	nlohmann-json	debian-gcc	2745634	10620478	755665	NA	1056229	1535132	231282	0
4	1	nlohmann-json	debian-gcc	2703584	13324062	774503	NA	1170607	1923423	255816	0
5	1	nlohmann-json	debian-gcc	2806311	16130373	775190	NA	1289406	2322870	275582	0
6	1	nlohmann-json	debian-gcc	3289883	19420256	782034	NA	1450699	2752080	303878	0
7	1	nlohmann-json	debian-gcc	2912236	22332492	784750	NA	1582022	3162222	328004	0
8	1	nlohmann-json	debian-gcc	2736280	25068772	784985	NA	1695692	3551876	339697	0
9	1	nlohmann-json	debian-gcc	2783913	27852685	785411	NA	1811414	3943690	342465	0
10	1	nlohmann-json	debian-gcc	3167997	31020682	791045	NA	1961083	4369099	359515	0
11	1	nlohmann-json	debian-gcc	2773385	33794067	791707	NA	2076512	4760308	364120	0
12	1	nlohmann-json	debian-gcc	2780600	36574667	792467	NA	2192197	5151949	365784	0
13	1	nlohmann-json	debian-gcc	2762336	39337003	792806	NA	2308262	5543425	367225	0
14	1	nlohmann-json	debian-gcc	3135764	42472767	801513	NA	2461693	5962208	384718	0
15	1	nlohmann-json	debian-gcc	3113834	45586601	813973	NA	2599405	6369743	405537	0
16	1	nlohmann-json	debian-gcc	2766662	48353263	815015	NA	2716876	6761998	411908	0
17	1	nlohmann-json	debian-gcc	3923225	52276488	920955	NA	3033874	7329604	443574	0
18	1	nlohmann-json	debian-gcc	2740598	55017086	921265	NA	3148213	7719858	445304	0
19	1	nlohmann-json	debian-gcc	3121973	58139059	927874	NA	3303044	8152663	454851	0
20	1	nlohmann-json	debian-gcc	2738686	60877745	928168	NA	3417117	8542587	455499	0
21	1	nlohmann-json	debian-gcc	2763409	63641154	928696	NA	3533978	8937692	457424	0
22	1	nlohmann-json	debian-gcc	3100631	66741785	932485	NA	3676435	9363541	468325	0
23	1	nlohmann-json	debian-gcc	3179768	69921553	936834	NA	3804054	9800655	480553	0
24	1	nlohmann-json	debian-gcc	3702475	73624028	960468	NA	3962571	10313175	500675	0
25	1	nlohmann-json	debian-gcc	2792066	76416094	963111	NA	4081294	10710950	505354	0
26	1	nlohmann-json	debian-gcc	2925416	79341510	966211	NA	4212273	11113855	512545	0
27	1	nlohmann-json	debian-gcc	4042380	83383890	967981	NA	4385161	11686677	541104	0
28	1	nlohmann-json	debian-gcc	2735834	86119724	968415	NA	4498997	12077024	543790	0
29	1	nlohmann-json	debian-gcc	2744380	88864104	971997	NA	4615093	12468694	546276	0
30	1	nlohmann-json	debian-gcc	2760352	91624456	973856	NA	4732179	12861391	550717	0
31	1	nlohmann-json	debian-gcc	2715492	94339948	993961	NA	4846235	13249157	556213	0
32	1	nlohmann-json	debian-gcc	2904668	97244616	997772	NA	4971667	13645549	566660	0
33	1	nlohmann-json	debian-gcc	3030117	100274733	1002628	NA	5106199	14048986	578356	0
34	1	nlohmann-json	debian-gcc	3106240	103380973	1002756	NA	5225713	14463493	592047	0
35	1	nlohmann-json	debian-gcc	3734526	107115499	1008566	NA	5381224	14954462	617492	0
36	1	nlohmann-json	debian-gcc	2735839	109851338	1008816	NA	5495171	15344309	617938	0
37	1	nlohmann-json	debian-gcc	2752644	112603982	1009138	NA	5609591	15736642	618567	0
38	1	nlohmann-json	debian-gcc	2853409	115457391	1009657	NA	5730729	16141996	619120	0
39	1	nlohmann-json	debian-gcc	2815212	118272603	1010567	NA	5851215	16534398	619739	0
40	1	nlohmann-json	debian-gcc	3372408	121645011	1012165	NA	5989641	17008884	624499	0
41	1	nlohmann-json	debian-gcc	2967308	124612319	1014767	NA	6118167	17406978	629996	0
42	1	nlohmann-json	debian-gcc	2940302	127552621	1019629	NA	6244530	17803633	646260	0
43	1	nlohmann-json	debian-gcc	4084591	131637212	1019865	NA	6418389	18374652	673801	0
44	1	nlohmann-json	debian-gcc	2726400	134363612	1021132	NA	6531191	18763737	677182	0
45	1	nlohmann-json	debian-gcc	2805119	137168731	1021768	NA	6647820	19164610	680049	0
46	1	nlohmann-json	debian-gcc	2895097	140063828	1024963	NA	6777668	19570639	687130	0
47	1	nlohmann-json	debian-gcc	2879667	142943495	1027478	NA	6905975	19971710	691591	0
48	1	nlohmann-json	debian-gcc	3995802	146939297	1027937	NA	7077294	20542731	700357	0
49	1	nlohmann-json	debian-gcc	2728097	149667394	1028182	NA	7190514	20932077	700946	0
50	1	nlohmann-json	debian-gcc	2735301	152402695	1028586	NA	7305325	21322529	701535	0
51	1	nlohmann-json	debian-gcc	2740109	155142804	1028869	NA	7419763	21712651	701981	0
