tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	nlohmann-json	fedora-clang-libcxx	4086874	4086874	738216	NA	639602	444996	173668	0
1	1	nlohmann-json	fedora-clang-libcxx	4096559	8183433	840758	NA	901800	893744	322652	0
2	1	nlohmann-json	fedora-clang-libcxx	4065643	12249076	843771	NA	1025810	1340020	462890	0
3	1	nlohmann-json	fedora-clang-libcxx	4080439	16329515	845408	NA	1151753	1787879	475555	0
4	1	nlohmann-json	fedora-clang-libcxx	4054259	20383774	863303	NA	1275650	2233678	485269	0
5	1	nlohmann-json	fedora-clang-libcxx	4171545	24555319	867803	NA	1403544	2687632	494468	0
6	1	nlohmann-json	fedora-clang-libcxx	4867212	29422531	889958	NA	1579704	3177727	567856	0
7	1	nlohmann-json	fedora-clang-libcxx	4277966	33700497	895264	NA	1720186	3640902	579863	0
8	1	nlohmann-json	fedora-clang-libcxx	4070369	37770866	896203	NA	1842619	4086386	582382	0
9	1	nlohmann-json	fedora-clang-libcxx	4154866	41925732	899695	NA	1972575	4535326	592292	0
10	1	nlohmann-json	fedora-clang-libcxx	4665540	46591272	915102	NA	2133991	5017532	635115	0
11	1	nlohmann-json	fedora-clang-libcxx	4127978	50719250	917434	NA	2258968	5465216	641354	0
12	1	nlohmann-json	fedora-clang-libcxx	4139132	54858382	920028	NA	2384528	5913546	648588	0
13	1	nlohmann-json	fedora-clang-libcxx	4123493	58981875	922788	NA	2510508	6361865	656284	0
14	1	nlohmann-json	fedora-clang-libcxx	4557002	63538877	935479	NA	2671773	6836198	689191	0
15	1	nlohmann-json	fedora-clang-libcxx	4526358	68065235	953758	NA	2822194	7301731	729277	0
16	1	nlohmann-json	fedora-clang-libcxx	4117032	72182267	956304	NA	2948960	7750822	735593	0
17	1	nlohmann-json	fedora-clang-libcxx	5249873	77432140	1101407	NA	3291941	8357716	813349	0
18	1	nlohmann-json	fedora-clang-libcxx	4075217	81507357	1102789	NA	3415394	8803984	816446	0
19	1	nlohmann-json	fedora-clang-libcxx	4532656	86040013	1112681	NA	3563705	9280169	843175	0
20	1	nlohmann-json	fedora-clang-libcxx	4067922	90107935	1113653	NA	3686504	9726061	845225	0
21	1	nlohmann-json	fedora-clang-libcxx	4092568	94200503	1114562	NA	3811640	10175649	846930	0
22	1	nlohmann-json	fedora-clang-libcxx	4445087	98645590	1120497	NA	3957023	10645066	863018	0
23	1	nlohmann-json	fedora-clang-libcxx	4528974	103174564	1134537	NA	4087341	11123269	906048	0
24	1	nlohmann-json	fedora-clang-libcxx	5060193	108234757	1142523	NA	4239638	11654754	962201	0
25	1	nlohmann-json	fedora-clang-libcxx	4151325	112386082	1150938	NA	4369730	12107704	1010400	0
26	1	nlohmann-json	fedora-clang-libcxx	4332048	116718130	1158446	NA	4512246	12567955	1032937	0
27	1	nlohmann-json	fedora-clang-libcxx	5449602	122167732	1161414	NA	4679457	13185049	1108151	0
28	1	nlohmann-json	fedora-clang-libcxx	4055383	126223115	1161828	NA	4801462	13630635	1115202	0
29	1	nlohmann-json	fedora-clang-libcxx	4064309	130287424	1166113	NA	4925769	14077693	1118438	0
30	1	nlohmann-json	fedora-clang-libcxx	4075225	134362649	1167393	NA	5051064	14525353	1121327	0
31	1	nlohmann-json	fedora-clang-libcxx	4030431	138393080	1231649	NA	5239573	14967831	1151527	0
32	1	nlohmann-json	fedora-clang-libcxx	4239056	142632136	1236096	NA	5374384	15420006	1162885	0
33	1	nlohmann-json	fedora-clang-libcxx	4472950	147105086	1248145	NA	5523372	15883242	1199223	0
34	1	nlohmann-json	fedora-clang-libcxx	4546453	151651539	1248301	NA	5652265	16354585	1239965	0
35	1	nlohmann-json	fedora-clang-libcxx	5249366	156900905	1256744	NA	5811347	16883846	1308746	0
36	1	nlohmann-json	fedora-clang-libcxx	4067533	160968438	1257913	NA	5934166	17329809	1311254	0
37	1	nlohmann-json	fedora-clang-libcxx	4090510	165058948	1258386	NA	6056621	17777065	1311880	0
38	1	nlohmann-json	fedora-clang-libcxx	4247097	169306045	1263414	NA	6191627	18237083	1327859	0
39	1	nlohmann-json	fedora-clang-libcxx	4222402	173528447	1269663	NA	6323845	18688283	1347565	0
40	1	nlohmann-json	fedora-clang-libcxx	4778338	178306785	1270178	NA	6462465	19198387	1370528	0
41	1	nlohmann-json	fedora-clang-libcxx	4520021	182826806	1286874	NA	6609343	19660540	1424144	0
42	1	nlohmann-json	fedora-clang-libcxx	4283644	187110450	1292595	NA	6744847	20113331	1442641	0
43	1	nlohmann-json	fedora-clang-libcxx	5392620	192503070	1293175	NA	6908071	20722586	1474433	0
44	1	nlohmann-json	fedora-clang-libcxx	4046861	196549931	1293336	NA	7028822	21166931	1474561	0
45	1	nlohmann-json	fedora-clang-libcxx	4125677	200675608	1293749	NA	7152383	21620378	1478479	0
46	1	nlohmann-json	fedora-clang-libcxx	4218340	204893948	1296998	NA	7289463	22079466	1484367	0
47	1	nlohmann-json	fedora-clang-libcxx	4265409	209159357	1303745	NA	7429054	22537271	1502036	0
48	1	nlohmann-json	fedora-clang-libcxx	5382015	214541372	1304125	NA	7592589	23152142	1523357	0
49	1	nlohmann-json	fedora-clang-libcxx	4048460	218589832	1304360	NA	7714123	23596911	1523615	0
50	1	nlohmann-json	fedora-clang-libcxx	4059485	222649317	1305095	NA	7837380	24042962	1524759	0
51	1	nlohmann-json	fedora-clang-libcxx	4068110	226717427	1306054	NA	7960548	24488860	1526598	0
52	1	nlohmann-json	fedora-clang-libcxx	4053377	230770804	1306586	NA	8082342	24933887	1527582	0
53	1	nlohmann-json	fedora-clang-libcxx	4230230	235001034	1312232	NA	8219916	25387894	1543854	0
54	1	nlohmann-json	fedora-clang-libcxx	4444684	239445718	1321702	NA	8365908	25858749	1567084	0
55	1	nlohmann-json	fedora-clang-libcxx	5023267	244468985	1322135	NA	8510596	26389772	1594247	0
56	1	nlohmann-json	fedora-clang-libcxx	4051938	248520923	1322610	NA	8632180	26834676	1594762	0
57	1	nlohmann-json	fedora-clang-libcxx	4055074	252575997	1323129	NA	8754277	27279803	1595621	0
58	1	nlohmann-json	fedora-clang-libcxx	4062237	256638234	1324071	NA	8876936	27725525	1597562	0
59	1	nlohmann-json	fedora-clang-libcxx	4122649	260760883	1327166	NA	9003271	28174106	1605693	0
60	1	nlohmann-json	fedora-clang-libcxx	4679039	265439922	1327415	NA	9139487	28681331	1618189	0
61	1	nlohmann-json	fedora-clang-libcxx	4220283	269660205	1333242	NA	9271014	29131792	1638950	0
62	1	nlohmann-json	fedora-clang-libcxx	4241239	273901444	1334376	NA	9399626	29593590	1640839	0
63	1	nlohmann-json	fedora-clang-libcxx	4109361	278010805	1335689	NA	9522963	30040270	1643664	0
64	1	nlohmann-json	fedora-clang-libcxx	4410943	282421748	1343167	NA	9678697	30519747	1659571	0
65	1	nlohmann-json	fedora-clang-libcxx	4969172	287390920	1343290	NA	9822065	31057972	1681049	0
