tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	nlohmann-json	linuxbrew	2429943	2429943	668139	NA	534729	359070	64961	0
1	1	nlohmann-json	linuxbrew	2815091	5245034	747630	NA	817318	749877	126948	0
2	1	nlohmann-json	linuxbrew	2783304	8028338	750628	NA	930624	1138010	180588	0
3	1	nlohmann-json	linuxbrew	2798652	10826990	752195	NA	1045947	1527850	212945	0
4	1	nlohmann-json	linuxbrew	2771735	13598725	769918	NA	1159370	1915831	234564	0
5	1	nlohmann-json	linuxbrew	2892500	16491225	772935	NA	1277699	2314666	256107	0
6	1	nlohmann-json	linuxbrew	3589014	20080239	794176	NA	1443495	2749942	327182	0
7	1	nlohmann-json	linuxbrew	2999193	23079432	799343	NA	1574504	3158978	350657	0
8	1	nlohmann-json	linuxbrew	2788434	25867866	800275	NA	1686425	3546603	360734	0
9	1	nlohmann-json	linuxbrew	2875115	28742981	803725	NA	1801958	3937469	373938	0
10	1	nlohmann-json	linuxbrew	3380663	32123644	819122	NA	1953756	4365923	416880	0
11	1	nlohmann-json	linuxbrew	2847167	34970811	821427	NA	2068141	4755682	426104	0
12	1	nlohmann-json	linuxbrew	2858621	37829432	823968	NA	2182993	5146083	434254	0
13	1	nlohmann-json	linuxbrew	2842810	40672242	826697	NA	2298360	5536410	443604	0
14	1	nlohmann-json	linuxbrew	3262432	43934674	840419	NA	2450380	5955343	479061	0
15	1	nlohmann-json	linuxbrew	3251903	47186577	858114	NA	2588918	6363271	513805	0
16	1	nlohmann-json	linuxbrew	2835997	50022574	860918	NA	2705353	6754437	522680	0
17	1	nlohmann-json	linuxbrew	4022973	54045547	966300	NA	3022902	7321267	562475	0
18	1	nlohmann-json	linuxbrew	2793422	56838969	967630	NA	3135654	7709497	566910	0
19	1	nlohmann-json	linuxbrew	3278830	60117799	980486	NA	3291995	8143752	595714	0
20	1	nlohmann-json	linuxbrew	2785935	62903734	981448	NA	3404245	8531478	598276	0
21	1	nlohmann-json	linuxbrew	2809565	65713299	982379	NA	3519131	8924220	600908	0
22	1	nlohmann-json	linuxbrew	3188097	68901396	988333	NA	3658787	9349208	620456	0
23	1	nlohmann-json	linuxbrew	3269369	72170765	992526	NA	3785414	9785658	641151	0
24	1	nlohmann-json	linuxbrew	3806350	75977115	1017161	NA	3942095	10297868	670808	0
