tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	opencv	conan-gcc	374417	374417	274513	NA	87273	58602	NA	0
1	1	opencv	conan-gcc	148871	523288	276382	NA	99014	82838	NA	0
2	1	opencv	conan-gcc	1127169	1650457	321808	NA	319243	264371	NA	0
3	1	opencv	conan-gcc	1126463	2776920	326545	NA	376595	445559	NA	0
4	1	opencv	conan-gcc	1586081	4363001	343284	NA	511063	693974	NA	0
5	1	opencv	conan-gcc	1510424	5873425	345463	NA	588479	930872	NA	0
6	1	opencv	conan-gcc	1472581	7346006	354861	NA	676356	1162339	NA	0
7	1	opencv	conan-gcc	1469294	8815300	356089	NA	750504	1393368	NA	0
8	1	opencv	conan-gcc	1462858	10278158	357684	NA	826025	1623920	NA	0
9	1	opencv	conan-gcc	1493122	11771280	359419	NA	903284	1858210	NA	0
10	1	opencv	conan-gcc	1365628	13136908	360544	NA	969698	2070142	NA	0
11	1	opencv	conan-gcc	1410801	14547709	361919	NA	1040433	2290925	NA	0
12	1	opencv	conan-gcc	1487435	16035144	362774	NA	1114673	2524544	NA	0
13	1	opencv	conan-gcc	1757849	17792993	367488	NA	1210009	2795587	NA	0
14	1	opencv	conan-gcc	1509153	19302146	368973	NA	1286006	3030882	NA	0
15	1	opencv	conan-gcc	1533543	20835689	370851	NA	1363525	3269705	NA	0
16	1	opencv	conan-gcc	1574610	22410299	371937	NA	1441981	3515265	NA	0
17	1	opencv	conan-gcc	88613	22498912	378009	NA	1458962	3530355	NA	0
18	1	opencv	conan-gcc	55364	22554276	378311	NA	1462744	3541016	NA	0
19	1	opencv	conan-gcc	172071	22726347	378947	NA	1505915	3587367	NA	0
20	1	opencv	conan-gcc	138646	22864993	380723	NA	1525591	3611936	NA	0
21	1	opencv	conan-gcc	106982	22971975	382502	NA	1532586	3630125	NA	0
22	1	opencv	conan-gcc	125965	23097940	384275	NA	1542176	3651022	NA	0
23	1	opencv	conan-gcc	124726	23222666	385601	NA	1552079	3672522	NA	0
24	1	opencv	conan-gcc	124921	23347587	387048	NA	1561363	3693796	NA	0
25	1	opencv	conan-gcc	127523	23475110	388458	NA	1576560	3715758	NA	0
26	1	opencv	conan-gcc	105640	23580750	389731	NA	1582379	3733785	NA	0
27	1	opencv	conan-gcc	98918	23679668	390406	NA	1591013	3752067	NA	0
28	1	opencv	conan-gcc	94468	23774136	390832	NA	1596836	3768473	NA	0
29	1	opencv	conan-gcc	121324	23895460	392038	NA	1609329	3789609	NA	0
30	1	opencv	conan-gcc	55387	23950847	392440	NA	1612765	3800247	NA	0
31	1	opencv	conan-gcc	109456	24060303	392897	NA	1618077	3818901	NA	0
