tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	opencv	debian-gcc	372535	372535	267501	NA	86619	58109	NA	0
1	1	opencv	debian-gcc	148212	520747	269760	NA	98236	82243	NA	0
2	1	opencv	debian-gcc	1095395	1616142	313096	NA	311062	258144	NA	0
3	1	opencv	debian-gcc	1094726	2710868	318188	NA	366439	433776	NA	0
4	1	opencv	debian-gcc	1542203	4253071	334519	NA	497568	675218	NA	0
5	1	opencv	debian-gcc	1466894	5719965	336662	NA	575795	905237	NA	0
6	1	opencv	debian-gcc	1426184	7146149	346237	NA	661082	1129681	NA	0
7	1	opencv	debian-gcc	1422963	8569112	347591	NA	733166	1353833	NA	0
8	1	opencv	debian-gcc	1416457	9985569	349271	NA	806846	1577167	NA	0
9	1	opencv	debian-gcc	1446722	11432291	350886	NA	881965	1804118	NA	0
10	1	opencv	debian-gcc	1327557	12759848	352125	NA	946811	2010066	NA	0
11	1	opencv	debian-gcc	1364499	14124347	353510	NA	1015535	2223581	NA	0
12	1	opencv	debian-gcc	1444006	15568353	354355	NA	1087942	2450305	NA	0
13	1	opencv	debian-gcc	1711598	17279951	358930	NA	1181349	2714112	NA	0
14	1	opencv	debian-gcc	1464267	18744218	360387	NA	1255495	2942541	NA	0
15	1	opencv	debian-gcc	1488597	20232815	362254	NA	1334000	3174519	NA	0
16	1	opencv	debian-gcc	1528615	21761430	363309	NA	1410447	3412812	NA	0
17	1	opencv	debian-gcc	86720	21848150	369412	NA	1427262	3427735	NA	0
18	1	opencv	debian-gcc	55005	21903155	369694	NA	1431035	3438375	NA	0
19	1	opencv	debian-gcc	170122	22073277	370308	NA	1474128	3484590	NA	0
20	1	opencv	debian-gcc	136653	22209930	372082	NA	1493783	3509022	NA	0
21	1	opencv	debian-gcc	101723	22311653	373947	NA	1500521	3526663	NA	0
22	1	opencv	debian-gcc	120158	22431811	375714	NA	1509933	3546990	NA	0
23	1	opencv	debian-gcc	119211	22551022	377063	NA	1519679	3567924	NA	0
24	1	opencv	debian-gcc	119366	22670388	378499	NA	1528866	3588613	NA	0
25	1	opencv	debian-gcc	125566	22795954	379896	NA	1544005	3610403	NA	0
26	1	opencv	debian-gcc	103695	22899649	381170	NA	1549780	3628245	NA	0
27	1	opencv	debian-gcc	96945	22996594	381831	NA	1558376	3646345	NA	0
28	1	opencv	debian-gcc	92523	23089117	382259	NA	1564147	3662572	NA	0
29	1	opencv	debian-gcc	119331	23208448	383464	NA	1576577	3683522	NA	0
30	1	opencv	debian-gcc	55020	23263468	383859	NA	1580008	3694133	NA	0
31	1	opencv	debian-gcc	104155	23367623	384234	NA	1585203	3712235	NA	0
32	1	opencv	debian-gcc	108078	23475701	386714	NA	1601694	3730483	NA	0
33	1	opencv	debian-gcc	142411	23618112	388199	NA	1610149	3750556	NA	0
34	1	opencv	debian-gcc	115329	23733441	388948	NA	1618205	3770225	NA	0
35	1	opencv	debian-gcc	112862	23846303	389346	NA	1624302	3789028	NA	0
36	1	opencv	debian-gcc	107204	23953507	389705	NA	1629890	3807468	NA	0
37	1	opencv	debian-gcc	112501	24066008	390205	NA	1636962	3826813	NA	0
38	1	opencv	debian-gcc	116353	24182361	390913	NA	1645003	3846770	NA	0
39	1	opencv	debian-gcc	126360	24308721	392279	NA	1655542	3868186	NA	0
40	1	opencv	debian-gcc	168498	24477219	394641	NA	1665884	3890376	NA	0
41	1	opencv	debian-gcc	114079	24591298	395446	NA	1672219	3909951	NA	0
42	1	opencv	debian-gcc	111355	24702653	395823	NA	1677986	3928657	NA	0
43	1	opencv	debian-gcc	115337	24817990	396511	NA	1684796	3948216	NA	0
44	1	opencv	debian-gcc	112727	24930717	397175	NA	1691303	3967185	NA	0
45	1	opencv	debian-gcc	116797	25047514	397990	NA	1698922	3987132	NA	0
46	1	opencv	debian-gcc	104142	25151656	398208	NA	1703529	4004880	NA	0
47	1	opencv	debian-gcc	114968	25266624	398981	NA	1710724	4024655	NA	0
48	1	opencv	debian-gcc	123447	25390071	399981	NA	1719769	4045188	NA	0
49	1	opencv	debian-gcc	131581	25521652	401271	NA	1730732	4067659	NA	0
50	1	opencv	debian-gcc	117842	25639494	401927	NA	1736900	4087351	NA	0
51	1	opencv	debian-gcc	167068	25806562	404109	NA	1745763	4108531	NA	0
52	1	opencv	debian-gcc	110997	25917559	404360	NA	1751026	4126979	NA	0
53	1	opencv	debian-gcc	112704	26030263	404744	NA	1756267	4145640	NA	0
54	1	opencv	debian-gcc	112800	26143063	405101	NA	1762252	4164512	NA	0
55	1	opencv	debian-gcc	113532	26256595	405601	NA	1767936	4183473	NA	0
56	1	opencv	debian-gcc	201442	26458037	407547	NA	1783042	4208821	NA	0
57	1	opencv	debian-gcc	116619	26574656	407988	NA	1788958	4227977	NA	0
58	1	opencv	debian-gcc	121822	26696478	408925	NA	1799928	4249868	NA	0
