tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	opencv	fedora-clang-libcxx	1733186	1733186	373169	NA	259601	180921	NA	0
1	1	opencv	fedora-clang-libcxx	557810	2290996	375797	NA	276916	233174	NA	0
2	1	opencv	fedora-clang-libcxx	2771811	5062807	407614	NA	501107	530349	NA	0
3	1	opencv	fedora-clang-libcxx	2771931	7834738	412026	NA	588512	826788	NA	0
4	1	opencv	fedora-clang-libcxx	3187729	11022467	423800	NA	737056	1166774	NA	0
5	1	opencv	fedora-clang-libcxx	3060105	14082572	424606	NA	831339	1494151	NA	0
6	1	opencv	fedora-clang-libcxx	3170615	17253187	430377	NA	939732	1836081	NA	0
7	1	opencv	fedora-clang-libcxx	3167884	20421071	432419	NA	1035535	2176643	NA	0
8	1	opencv	fedora-clang-libcxx	3163508	23584579	435970	NA	1133431	2517108	NA	0
9	1	opencv	fedora-clang-libcxx	3183319	26767898	436752	NA	1230847	2860021	NA	0
10	1	opencv	fedora-clang-libcxx	3039421	29807319	438603	NA	1321815	3184638	NA	0
11	1	opencv	fedora-clang-libcxx	3090637	32897956	440659	NA	1415712	3515607	NA	0
12	1	opencv	fedora-clang-libcxx	3050083	35948039	441390	NA	1507222	3842584	NA	0
13	1	opencv	fedora-clang-libcxx	3277269	39225308	443267	NA	1613920	4196440	NA	0
14	1	opencv	fedora-clang-libcxx	3095959	42321267	445232	NA	1707492	4524847	NA	0
15	1	opencv	fedora-clang-libcxx	3113935	45435202	446366	NA	1803809	4857261	NA	0
16	1	opencv	fedora-clang-libcxx	3129615	48564817	447612	NA	1897979	5192174	NA	0
17	1	opencv	fedora-clang-libcxx	86282	48651099	453147	NA	1914545	5207397	NA	0
18	1	opencv	fedora-clang-libcxx	53146	48704245	453385	NA	1918208	5218153	NA	0
19	1	opencv	fedora-clang-libcxx	169698	48873943	454033	NA	1961446	5264753	NA	0
20	1	opencv	fedora-clang-libcxx	136733	49010676	455820	NA	1981323	5289536	NA	0
21	1	opencv	fedora-clang-libcxx	102760	49113436	457449	NA	1988249	5307789	NA	0
22	1	opencv	fedora-clang-libcxx	112158	49225594	458140	NA	1996085	5328020	NA	0
23	1	opencv	fedora-clang-libcxx	115551	49341145	458912	NA	2005272	5349181	NA	0
24	1	opencv	fedora-clang-libcxx	114814	49455959	459709	NA	2013591	5370051	NA	0
25	1	opencv	fedora-clang-libcxx	125718	49581677	461141	NA	2028985	5392147	NA	0
26	1	opencv	fedora-clang-libcxx	103538	49685215	462422	NA	2034884	5410288	NA	0
27	1	opencv	fedora-clang-libcxx	96147	49781362	463056	NA	2043574	5428638	NA	0
28	1	opencv	fedora-clang-libcxx	92266	49873628	463484	NA	2049479	5445170	NA	0
29	1	opencv	fedora-clang-libcxx	119631	49993259	464699	NA	2062057	5466422	NA	0
30	1	opencv	fedora-clang-libcxx	52970	50046229	465011	NA	2065378	5477148	NA	0
31	1	opencv	fedora-clang-libcxx	105752	50151981	465456	NA	2070778	5495791	NA	0
32	1	opencv	fedora-clang-libcxx	110281	50262262	467815	NA	2087393	5514632	NA	0
33	1	opencv	fedora-clang-libcxx	145863	50408125	469400	NA	2096108	5535380	NA	0
34	1	opencv	fedora-clang-libcxx	117544	50525669	470038	NA	2104361	5555661	NA	0
35	1	opencv	fedora-clang-libcxx	115823	50641492	470465	NA	2110637	5575131	NA	0
36	1	opencv	fedora-clang-libcxx	110216	50751708	470841	NA	2116432	5594227	NA	0
37	1	opencv	fedora-clang-libcxx	115516	50867224	471361	NA	2123713	5614226	NA	0
38	1	opencv	fedora-clang-libcxx	119375	50986599	472093	NA	2132004	5634821	NA	0
39	1	opencv	fedora-clang-libcxx	127669	51114268	473328	NA	2142602	5656755	NA	0
40	1	opencv	fedora-clang-libcxx	170079	51284347	475715	NA	2153158	5679534	NA	0
41	1	opencv	fedora-clang-libcxx	116737	51401084	476497	NA	2159706	5699742	NA	0
42	1	opencv	fedora-clang-libcxx	114317	51515401	476892	NA	2165648	5719100	NA	0
43	1	opencv	fedora-clang-libcxx	117855	51633256	477534	NA	2172644	5739281	NA	0
44	1	opencv	fedora-clang-libcxx	114541	51747797	478031	NA	2179195	5758822	NA	0
45	1	opencv	fedora-clang-libcxx	119641	51867438	478855	NA	2187052	5779395	NA	0
46	1	opencv	fedora-clang-libcxx	107154	51974592	479083	NA	2191872	5797813	NA	0
47	1	opencv	fedora-clang-libcxx	117175	52091767	479805	NA	2199232	5818196	NA	0
48	1	opencv	fedora-clang-libcxx	125161	52216928	480669	NA	2208410	5839278	NA	0
49	1	opencv	fedora-clang-libcxx	133335	52350263	481835	NA	2219516	5862342	NA	0
50	1	opencv	fedora-clang-libcxx	120417	52470680	482458	NA	2225877	5882643	NA	0
51	1	opencv	fedora-clang-libcxx	169903	52640583	484654	NA	2235050	5904488	NA	0
52	1	opencv	fedora-clang-libcxx	114014	52754597	484907	NA	2240515	5923605	NA	0
53	1	opencv	fedora-clang-libcxx	115239	52869836	485296	NA	2245942	5942921	NA	0
54	1	opencv	fedora-clang-libcxx	115753	52985589	485665	NA	2252135	5962439	NA	0
55	1	opencv	fedora-clang-libcxx	116550	53102139	486177	NA	2258040	5982044	NA	0
56	1	opencv	fedora-clang-libcxx	194772	53296911	488141	NA	2273439	6007976	NA	0
57	1	opencv	fedora-clang-libcxx	118931	53415842	488573	NA	2279573	6027743	NA	0
58	1	opencv	fedora-clang-libcxx	123662	53539504	489366	NA	2290681	6050195	NA	0
59	1	opencv	fedora-clang-libcxx	132450	53671954	490488	NA	2303254	6073612	NA	0
60	1	opencv	fedora-clang-libcxx	108470	53780424	490686	NA	2307900	6092279	NA	0
61	1	opencv	fedora-clang-libcxx	133614	53914038	491919	NA	2313754	6112503	NA	0
62	1	opencv	fedora-clang-libcxx	117544	54031582	492706	NA	2319357	6132773	NA	0
63	1	opencv	fedora-clang-libcxx	115823	54147405	493180	NA	2324205	6152249	NA	0
64	1	opencv	fedora-clang-libcxx	110216	54257621	493547	NA	2329062	6171346	NA	0
65	1	opencv	fedora-clang-libcxx	115516	54373137	494321	NA	2334465	6191344	NA	0
66	1	opencv	fedora-clang-libcxx	119375	54492512	495305	NA	2340003	6211922	NA	0
67	1	opencv	fedora-clang-libcxx	112191	54604703	495628	NA	2344941	6231243	NA	0
