tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	opencv	linuxbrew	399005	399005	230023	NA	87732	58761	NA	0
1	1	opencv	linuxbrew	152122	551127	232247	NA	99216	83036	NA	0
2	1	opencv	linuxbrew	1139077	1690204	274972	NA	312295	259467	NA	0
3	1	opencv	linuxbrew	1138745	2828949	280142	NA	367426	435901	NA	0
4	1	opencv	linuxbrew	1607499	4436448	295370	NA	497351	678020	NA	0
5	1	opencv	linuxbrew	1530548	5966996	296854	NA	574475	908770	NA	0
6	1	opencv	linuxbrew	1476851	7443847	304602	NA	657063	1132458	NA	0
7	1	opencv	linuxbrew	1475104	8918951	306261	NA	727822	1356119	NA	0
8	1	opencv	linuxbrew	1471272	10390223	307894	NA	800494	1579030	NA	0
9	1	opencv	linuxbrew	1490431	11880654	308650	NA	873527	1805030	NA	0
10	1	opencv	linuxbrew	1394072	13274726	310018	NA	937951	2011870	NA	0
11	1	opencv	linuxbrew	1417759	14692485	311290	NA	1005616	2225073	NA	0
12	1	opencv	linuxbrew	1509920	16202405	312085	NA	1077000	2452350	NA	0
13	1	opencv	linuxbrew	1757664	17960069	315666	NA	1168524	2714704	NA	0
14	1	opencv	linuxbrew	1534172	19494241	316871	NA	1241914	2943714	NA	0
15	1	opencv	linuxbrew	1553835	21048076	317992	NA	1318843	3175970	NA	0
16	1	opencv	linuxbrew	1592129	22640205	319423	NA	1394214	3414583	NA	0
17	1	opencv	linuxbrew	110095	22750300	324419	NA	1413535	3432952	NA	0
18	1	opencv	linuxbrew	145865	22896165	325967	NA	1422182	3453243	NA	0
19	1	opencv	linuxbrew	117390	23013555	326620	NA	1430313	3473043	NA	0
20	1	opencv	linuxbrew	115661	23129216	327007	NA	1436497	3492031	NA	0
21	1	opencv	linuxbrew	110026	23239242	327377	NA	1442186	3510641	NA	0
22	1	opencv	linuxbrew	115338	23354580	327876	NA	1449331	3530179	NA	0
23	1	opencv	linuxbrew	119225	23473805	328591	NA	1457502	3550316	NA	0
24	1	opencv	linuxbrew	127611	23601416	329803	NA	1467988	3571794	NA	0
25	1	opencv	linuxbrew	170093	23771509	332150	NA	1478486	3594160	NA	0
26	1	opencv	linuxbrew	116575	23888084	332927	NA	1484898	3613901	NA	0
27	1	opencv	linuxbrew	114151	24002235	333301	NA	1490746	3632787	NA	0
28	1	opencv	linuxbrew	117697	24119932	333949	NA	1497603	3652479	NA	0
29	1	opencv	linuxbrew	114359	24234291	334435	NA	1504011	3671555	NA	0
30	1	opencv	linuxbrew	119511	24353802	335239	NA	1511728	3691649	NA	0
31	1	opencv	linuxbrew	106964	24460766	335464	NA	1516416	3709589	NA	0
32	1	opencv	linuxbrew	117005	24577771	336169	NA	1523676	3729502	NA	0
33	1	opencv	linuxbrew	125035	24702806	337009	NA	1532755	3750113	NA	0
34	1	opencv	linuxbrew	133193	24835999	338150	NA	1543735	3772720	NA	0
35	1	opencv	linuxbrew	120275	24956274	338736	NA	1549980	3792553	NA	0
36	1	opencv	linuxbrew	169897	25126171	340900	NA	1558988	3813924	NA	0
37	1	opencv	linuxbrew	113848	25240019	341155	NA	1564338	3832573	NA	0
38	1	opencv	linuxbrew	115073	25355092	341535	NA	1569639	3851405	NA	0
39	1	opencv	linuxbrew	115595	25470687	341900	NA	1575694	3870468	NA	0
40	1	opencv	linuxbrew	116392	25587079	342403	NA	1581465	3889606	NA	0
41	1	opencv	linuxbrew	194662	25781741	344346	NA	1596671	3915064	NA	0
42	1	opencv	linuxbrew	118765	25900506	344764	NA	1602652	3934366	NA	0
43	1	opencv	linuxbrew	123488	26023994	345539	NA	1613627	3956346	NA	0
44	1	opencv	linuxbrew	132304	26156298	346642	NA	1626086	3979296	NA	0
45	1	opencv	linuxbrew	108280	26264578	346838	NA	1630601	3997494	NA	0
46	1	opencv	linuxbrew	133680	26398258	348068	NA	1636321	4017258	NA	0
47	1	opencv	linuxbrew	117390	26515648	348847	NA	1641796	4037048	NA	0
48	1	opencv	linuxbrew	115661	26631309	349292	NA	1646517	4056045	NA	0
49	1	opencv	linuxbrew	110026	26741335	349660	NA	1651251	4074656	NA	0
50	1	opencv	linuxbrew	115338	26856673	350424	NA	1656514	4094194	NA	0
51	1	opencv	linuxbrew	119225	26975898	351395	NA	1661927	4114313	NA	0
52	1	opencv	linuxbrew	112073	27087971	351708	NA	1666746	4133159	NA	0
53	1	opencv	linuxbrew	151905	27239876	353415	NA	1673223	4154503	NA	0
54	1	opencv	linuxbrew	116575	27356451	354046	NA	1678152	4174245	NA	0
55	1	opencv	linuxbrew	114151	27470602	354362	NA	1682797	4193128	NA	0
56	1	opencv	linuxbrew	117697	27588299	355227	NA	1688044	4212819	NA	0
57	1	opencv	linuxbrew	108504	27696803	355493	NA	1692619	4231097	NA	0
58	1	opencv	linuxbrew	119511	27816314	356456	NA	1698082	4251193	NA	0
59	1	opencv	linuxbrew	106964	27923278	356601	NA	1702470	4269133	NA	0
60	1	opencv	linuxbrew	110728	28034006	356850	NA	1707496	4287641	NA	0
61	1	opencv	linuxbrew	151208	28185214	358157	NA	1715318	4308686	NA	0
62	1	opencv	linuxbrew	117324	28302538	358619	NA	1720774	4328465	NA	0
63	1	opencv	linuxbrew	115594	28418132	358943	NA	1725488	4347457	NA	0
64	1	opencv	linuxbrew	109993	28528125	359176	NA	1730210	4366059	NA	0
65	1	opencv	linuxbrew	115276	28643401	359669	NA	1735453	4385583	NA	0
66	1	opencv	linuxbrew	125347	28768748	360373	NA	1741111	4406499	NA	0
67	1	opencv	linuxbrew	132549	28901297	361821	NA	1748559	4428735	NA	0
68	1	opencv	linuxbrew	175842	29077139	363312	NA	1755687	4451877	NA	0
69	1	opencv	linuxbrew	116524	29193663	363713	NA	1760603	4471620	NA	0
