tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	range-v3	conan-gcc	304	304	185751	NA	193	153	NA	0
1	1	range-v3	conan-gcc	244699	245003	195905	NA	56817	38465	NA	0
2	1	range-v3	conan-gcc	219521	464524	196339	NA	65782	73019	NA	0
3	1	range-v3	conan-gcc	221177	685701	196797	NA	74793	107666	NA	0
4	1	range-v3	conan-gcc	155911	841612	197035	NA	81355	132997	NA	0
5	1	range-v3	conan-gcc	89983	931595	197212	NA	85086	147551	NA	0
6	1	range-v3	conan-gcc	2543479	3475074	286419	NA	534925	487306	NA	0
7	1	range-v3	conan-gcc	1356540	4831614	286569	NA	594190	689773	NA	0
8	1	range-v3	conan-gcc	1518950	6350564	286868	NA	658289	911029	NA	0
9	1	range-v3	conan-gcc	1338396	7688960	287082	NA	717105	1110931	NA	0
10	1	range-v3	conan-gcc	1511747	9200707	287349	NA	781464	1332148	NA	0
11	1	range-v3	conan-gcc	1497962	10698669	287611	NA	845187	1551647	NA	0
12	1	range-v3	conan-gcc	1468759	12167428	287875	NA	908010	1767454	NA	0
13	1	range-v3	conan-gcc	1465365	13632793	288081	NA	970649	1982932	NA	0
14	1	range-v3	conan-gcc	1583555	15216348	289836	NA	1040041	2217798	NA	0
15	1	range-v3	conan-gcc	1495005	16711353	290050	NA	1103708	2436972	NA	0
16	1	range-v3	conan-gcc	1495049	18206402	290284	NA	1167392	2656163	NA	0
17	1	range-v3	conan-gcc	1521594	19727996	290592	NA	1232029	2878240	NA	0
18	1	range-v3	conan-gcc	1521355	21249351	290879	NA	1296659	3100296	NA	0
19	1	range-v3	conan-gcc	1385288	22634639	291101	NA	1357114	3306042	NA	0
20	1	range-v3	conan-gcc	1896796	24531435	291466	NA	1437746	3574237	NA	0
21	1	range-v3	conan-gcc	1538818	26070253	291683	NA	1502735	3798149	NA	0
22	1	range-v3	conan-gcc	1443850	27514103	291977	NA	1564656	4010034	NA	0
23	1	range-v3	conan-gcc	1759826	29273929	292368	NA	1639267	4265505	NA	0
24	1	range-v3	conan-gcc	1784376	31058305	292721	NA	1714733	4524106	NA	0
25	1	range-v3	conan-gcc	1681268	32739573	293247	NA	1784120	4763214	NA	0
26	1	range-v3	conan-gcc	1512341	34251914	293466	NA	1848476	4984600	NA	0
27	1	range-v3	conan-gcc	1511659	35763573	293673	NA	1912793	5205815	NA	0
28	1	range-v3	conan-gcc	1497960	37261533	293896	NA	1976467	5425311	NA	0
29	1	range-v3	conan-gcc	1405085	38666618	294165	NA	2036838	5632578	NA	0
30	1	range-v3	conan-gcc	1521232	40187850	294422	NA	2101429	5854732	NA	0
31	1	range-v3	conan-gcc	1524911	41712761	294776	NA	2165984	6076893	NA	0
32	1	range-v3	conan-gcc	2493100	44205861	304141	NA	2286838	6403264	NA	0
33	1	range-v3	conan-gcc	1338421	45544282	304304	NA	2345564	6602988	NA	0
34	1	range-v3	conan-gcc	1358696	46902978	304724	NA	2404777	6804488	NA	0
35	1	range-v3	conan-gcc	1334788	48237766	305083	NA	2463565	7003951	NA	0
36	1	range-v3	conan-gcc	1334785	49572551	305337	NA	2522292	7203418	NA	0
37	1	range-v3	conan-gcc	1520581	51093132	305752	NA	2586818	7424663	NA	0
38	1	range-v3	conan-gcc	1358581	52451713	305960	NA	2646373	7626861	NA	0
39	1	range-v3	conan-gcc	1372548	53824261	306317	NA	2706208	7830400	NA	0
40	1	range-v3	conan-gcc	1375309	55199570	306559	NA	2766035	8034161	NA	0
41	1	range-v3	conan-gcc	1355268	56554838	306752	NA	2825548	8236078	NA	0
42	1	range-v3	conan-gcc	1378005	57932843	306993	NA	2885432	8439951	NA	0
43	1	range-v3	conan-gcc	1358587	59291430	307204	NA	2945000	8642163	NA	0
44	1	range-v3	conan-gcc	1371725	60663155	307449	NA	3004820	8845462	NA	0
45	1	range-v3	conan-gcc	1340778	62003933	307743	NA	3063615	9045327	NA	0
46	1	range-v3	conan-gcc	1519320	63523253	308062	NA	3128013	9266875	NA	0
47	1	range-v3	conan-gcc	1354396	64877649	308328	NA	3186946	9467950	NA	0
48	1	range-v3	conan-gcc	1372540	66250189	308616	NA	3246729	9671552	NA	0
49	1	range-v3	conan-gcc	1352327	67602516	308892	NA	3305628	9872634	NA	0
50	1	range-v3	conan-gcc	1368291	68970807	309103	NA	3365199	10075651	NA	0
51	1	range-v3	conan-gcc	1334874	70305681	309346	NA	3423929	10275151	NA	0
52	1	range-v3	conan-gcc	1334903	71640584	309586	NA	3482663	10474618	NA	0
53	1	range-v3	conan-gcc	1363652	73004236	309871	NA	3542298	10677397	NA	0
54	1	range-v3	conan-gcc	1359681	74363917	310044	NA	3601885	10879953	NA	0
55	1	range-v3	conan-gcc	1532473	75896390	310304	NA	3666589	11102240	NA	0
56	1	range-v3	conan-gcc	1337883	77234273	310529	NA	3725342	11301971	NA	0
57	1	range-v3	conan-gcc	1354568	78588841	310739	NA	3784811	11503812	NA	0
58	1	range-v3	conan-gcc	1338170	79927011	310913	NA	3843583	11703636	NA	0
59	1	range-v3	conan-gcc	1515651	81442662	311177	NA	3908040	11925141	NA	0
60	1	range-v3	conan-gcc	1339166	82781828	311441	NA	3966876	12125128	NA	0
61	1	range-v3	conan-gcc	1338205	84120033	311684	NA	4025703	12324936	NA	0
62	1	range-v3	conan-gcc	1338294	85458327	311930	NA	4084540	12524756	NA	0
63	1	range-v3	conan-gcc	1401932	86860259	312407	NA	4145712	12732399	NA	0
64	1	range-v3	conan-gcc	1376567	88236826	312566	NA	4205797	12937154	NA	0
65	1	range-v3	conan-gcc	1401755	89638581	312785	NA	4266927	13144725	NA	0
66	1	range-v3	conan-gcc	1351977	90990558	314190	NA	4326423	13345668	NA	0
67	1	range-v3	conan-gcc	1372108	92362666	314447	NA	4386151	13549095	NA	0
68	1	range-v3	conan-gcc	1352085	93714751	314798	NA	4444920	13750009	NA	0
69	1	range-v3	conan-gcc	1368469	95083220	315051	NA	4504458	13953095	NA	0
70	1	range-v3	conan-gcc	1371566	96454786	315324	NA	4564412	14156569	NA	0
71	1	range-v3	conan-gcc	1616034	98070820	317052	NA	4631716	14387769	NA	0
72	1	range-v3	conan-gcc	1335128	99405948	317310	NA	4690487	14587202	NA	0
73	1	range-v3	conan-gcc	1341449	100747397	317590	NA	4749408	14787211	NA	0
