tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	range-v3	debian-gcc	300	300	177530	NA	190	150	207	0
1	1	range-v3	debian-gcc	243778	244078	187152	NA	56780	38249	5646	0
2	1	range-v3	debian-gcc	222476	466554	187597	NA	65874	72998	9927	0
3	1	range-v3	debian-gcc	224081	690635	188058	NA	75015	107854	13974	0
4	1	range-v3	debian-gcc	159255	849890	188314	NA	81643	133486	14602	0
5	1	range-v3	debian-gcc	94421	944311	188491	NA	85519	148523	14926	0
6	1	range-v3	debian-gcc	2418242	3362553	276460	NA	520260	476826	77446	0
7	1	range-v3	debian-gcc	1284958	4647511	276610	NA	577769	671376	109577	0
8	1	range-v3	debian-gcc	1435117	6082628	276909	NA	640380	884315	116653	0
9	1	range-v3	debian-gcc	1267207	7349835	277122	NA	697645	1076423	140350	0
10	1	range-v3	debian-gcc	1428880	8778715	277391	NA	760455	1289306	150076	0
11	1	range-v3	debian-gcc	1415999	10194714	277653	NA	822620	1500398	153421	0
12	1	range-v3	debian-gcc	1387351	11582065	277916	NA	883968	1707918	155916	0
13	1	range-v3	debian-gcc	1384371	12966436	278120	NA	944835	1915136	158606	0
14	1	range-v3	debian-gcc	1496506	14462942	280729	NA	1012282	2140526	163963	0
15	1	range-v3	debian-gcc	1413050	15875992	280944	NA	1074425	2351458	165522	0
16	1	range-v3	debian-gcc	1413091	17289083	281191	NA	1136586	2562386	167800	0
17	1	range-v3	debian-gcc	1438403	18727486	281497	NA	1199537	2776022	170208	0
18	1	range-v3	debian-gcc	1438176	20165662	281783	NA	1262668	2989724	172304	0
19	1	range-v3	debian-gcc	1312596	21478258	282005	NA	1321513	3187531	173789	0
20	1	range-v3	debian-gcc	1818587	23296845	282492	NA	1399898	3446413	182951	0
21	1	range-v3	debian-gcc	1451000	24747845	282723	NA	1463217	3661790	183951	0
22	1	range-v3	debian-gcc	1368028	26115873	283027	NA	1523503	3865684	185489	0
23	1	range-v3	debian-gcc	1657843	27773716	283426	NA	1596180	4111327	191883	0
24	1	range-v3	debian-gcc	1680627	29454343	283782	NA	1669739	4359808	195517	0
25	1	range-v3	debian-gcc	1584679	31039022	284345	NA	1737617	4590040	199004	0
26	1	range-v3	debian-gcc	1429436	32468458	284558	NA	1800423	4803046	199627	0
27	1	range-v3	debian-gcc	1428792	33897250	284762	NA	1863189	5015902	200081	0
28	1	range-v3	debian-gcc	1415997	35313247	284977	NA	1925303	5226988	200552	0
29	1	range-v3	debian-gcc	1331071	36644318	285243	NA	1984055	5426262	201316	0
30	1	range-v3	debian-gcc	1438157	38082475	285499	NA	2047082	5639991	201958	0
31	1	range-v3	debian-gcc	1441550	39524025	285856	NA	2110315	5853851	202994	0
32	1	range-v3	debian-gcc	2376777	41900802	295816	NA	2228962	6169984	219749	0
33	1	range-v3	debian-gcc	1268321	43169123	295979	NA	2286081	6362011	222024	0
34	1	range-v3	debian-gcc	1286706	44455829	296414	NA	2343727	6555985	224088	0
35	1	range-v3	debian-gcc	1264636	45720465	296934	NA	2400976	6747765	225973	0
36	1	range-v3	debian-gcc	1264633	46985098	297199	NA	2458131	6939498	227818	0
37	1	range-v3	debian-gcc	1434677	48419775	297610	NA	2521170	7152621	229860	0
38	1	range-v3	debian-gcc	1287521	49707296	297818	NA	2579134	7347154	231068	0
39	1	range-v3	debian-gcc	1299993	51007289	298184	NA	2637337	7542876	232334	0
40	1	range-v3	debian-gcc	1302740	52310029	298426	NA	2695535	7738884	233737	0
41	1	range-v3	debian-gcc	1284184	53594213	298619	NA	2753399	7933133	234391	0
42	1	range-v3	debian-gcc	1305422	54899635	298860	NA	2811640	8129285	235359	0
43	1	range-v3	debian-gcc	1287527	56187162	299067	NA	2869617	8323829	235919	0
44	1	range-v3	debian-gcc	1300303	57487465	299312	NA	2927893	8519499	236919	0
45	1	range-v3	debian-gcc	1270528	58757993	299611	NA	2985186	8711705	237976	0
46	1	range-v3	debian-gcc	1432931	60190924	299934	NA	3048277	8925097	239296	0
47	1	range-v3	debian-gcc	1282672	61473596	300201	NA	3105645	9118435	240256	0
48	1	range-v3	debian-gcc	1299765	62773361	300490	NA	3163943	9314199	241010	0
49	1	range-v3	debian-gcc	1280465	64053826	300770	NA	3221302	9507545	241722	0
50	1	range-v3	debian-gcc	1295613	65349439	300983	NA	3279317	9702771	242325	0
51	1	range-v3	debian-gcc	1264722	66614161	301232	NA	3336478	9894580	242888	0
52	1	range-v3	debian-gcc	1264751	67878912	301474	NA	3393640	10086359	243458	0
53	1	range-v3	debian-gcc	1292103	69171015	301764	NA	3451896	10281462	244681	0
54	1	range-v3	debian-gcc	1288280	70459295	301937	NA	3510015	10476209	245311	0
55	1	range-v3	debian-gcc	1446293	71905588	302261	NA	3573237	10690437	246436	0
56	1	range-v3	debian-gcc	1267814	73173402	302487	NA	3630426	10882443	246990	0
57	1	range-v3	debian-gcc	1283541	74456943	302699	NA	3688372	11076559	247575	0
58	1	range-v3	debian-gcc	1268022	75724965	302873	NA	3745582	11268721	248134	0
59	1	range-v3	debian-gcc	1429206	77154171	303139	NA	3808591	11481855	249156	0
60	1	range-v3	debian-gcc	1268897	78423068	303404	NA	3865924	11674024	249907	0
61	1	range-v3	debian-gcc	1268057	79691125	303647	NA	3923185	11866112	250474	0
62	1	range-v3	debian-gcc	1268146	80959271	303893	NA	3980456	12058232	251071	0
63	1	range-v3	debian-gcc	1327592	82286863	304377	NA	4039896	12258023	252600	0
64	1	range-v3	debian-gcc	1303743	83590606	304536	NA	4098253	12454895	253659	0
65	1	range-v3	debian-gcc	1327427	84918033	304755	NA	4157652	12654735	254456	0
66	1	range-v3	debian-gcc	1280305	86198338	306095	NA	4215415	12847640	256820	0
67	1	range-v3	debian-gcc	1299384	87497722	306354	NA	4273608	13043440	257521	0
68	1	range-v3	debian-gcc	1280434	88778156	306666	NA	4331014	13236154	259392	0
69	1	range-v3	debian-gcc	1295885	90074041	306912	NA	4389049	13431291	260139	0
70	1	range-v3	debian-gcc	1298919	91372960	307190	NA	4447464	13627067	261006	0
71	1	range-v3	debian-gcc	1522701	92895661	308985	NA	4513431	13849531	264610	0
72	1	range-v3	debian-gcc	1264964	94160625	309246	NA	4570405	14041131	265204	0
73	1	range-v3	debian-gcc	1271188	95431813	309530	NA	4627817	14233299	266044	0
74	1	range-v3	debian-gcc	1268434	96700247	309715	NA	4685000	14425349	266641	0
