tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	range-v3	fedora-clang-libcxx	305	305	235863	NA	176	140	NA	0
1	1	range-v3	fedora-clang-libcxx	758940	759245	268799	NA	117263	79834	NA	0
2	1	range-v3	fedora-clang-libcxx	730630	1489875	270419	NA	139808	155364	NA	0
3	1	range-v3	fedora-clang-libcxx	732176	2222051	271024	NA	161461	231042	NA	0
4	1	range-v3	fedora-clang-libcxx	610923	2832974	271886	NA	179885	291592	NA	0
5	1	range-v3	fedora-clang-libcxx	546127	3379101	272276	NA	194963	341201	NA	0
6	1	range-v3	fedora-clang-libcxx	4465739	7844840	413772	NA	765258	812592	NA	0
7	1	range-v3	fedora-clang-libcxx	3261862	11106702	413928	NA	862829	1167916	NA	0
8	1	range-v3	fedora-clang-libcxx	3501651	14608353	414393	NA	965934	1546056	NA	0
9	1	range-v3	fedora-clang-libcxx	3243025	17851378	414624	NA	1063087	1898954	NA	0
10	1	range-v3	fedora-clang-libcxx	3491766	21343144	414927	NA	1166338	2276437	NA	0
11	1	range-v3	fedora-clang-libcxx	3468469	24811613	415217	NA	1268903	2651829	NA	0
12	1	range-v3	fedora-clang-libcxx	3437164	28248777	415500	NA	1370479	3023542	NA	0
13	1	range-v3	fedora-clang-libcxx	3433110	31681887	415719	NA	1471928	3394616	NA	0
14	1	range-v3	fedora-clang-libcxx	3469635	35151522	420649	NA	1576555	3771555	NA	0
15	1	range-v3	fedora-clang-libcxx	3465746	38617268	420878	NA	1678915	4146997	NA	0
16	1	range-v3	fedora-clang-libcxx	3465815	42083083	421130	NA	1781287	4522441	NA	0
17	1	range-v3	fedora-clang-libcxx	3502742	45585825	421470	NA	1884848	4901099	NA	0
18	1	range-v3	fedora-clang-libcxx	3503260	49089085	421785	NA	1988257	5279993	NA	0
19	1	range-v3	fedora-clang-libcxx	3301834	52390919	422024	NA	2087088	5639306	NA	0
20	1	range-v3	fedora-clang-libcxx	3619558	56010477	422380	NA	2193192	6026964	NA	0
21	1	range-v3	fedora-clang-libcxx	3541520	59551997	422616	NA	2297398	6408359	NA	0
22	1	range-v3	fedora-clang-libcxx	3379431	62931428	422930	NA	2397844	6774663	NA	0
23	1	range-v3	fedora-clang-libcxx	3712281	66643709	423339	NA	2506473	7175903	NA	0
24	1	range-v3	fedora-clang-libcxx	3728053	70371762	423716	NA	2615618	7580134	NA	0
25	1	range-v3	fedora-clang-libcxx	3714604	74086366	424300	NA	2724485	7978662	NA	0
26	1	range-v3	fedora-clang-libcxx	3492380	77578746	424526	NA	2827734	8356349	NA	0
27	1	range-v3	fedora-clang-libcxx	3491678	81070424	424746	NA	2930951	8733830	NA	0
28	1	range-v3	fedora-clang-libcxx	3468467	84538891	424976	NA	3033466	9109214	NA	0
29	1	range-v3	fedora-clang-libcxx	3322775	87861666	425261	NA	3132326	9470072	NA	0
30	1	range-v3	fedora-clang-libcxx	3502634	91364300	425535	NA	3235836	9848686	NA	0
31	1	range-v3	fedora-clang-libcxx	3507670	94871970	425924	NA	3339324	10227553	NA	0
32	1	range-v3	fedora-clang-libcxx	4388944	99260914	440084	NA	3498288	10684687	NA	0
33	1	range-v3	fedora-clang-libcxx	3240856	102501770	440251	NA	3595440	11037334	NA	0
34	1	range-v3	fedora-clang-libcxx	3273323	105775093	440877	NA	3692928	11391417	NA	0
35	1	range-v3	fedora-clang-libcxx	3237382	109012475	441233	NA	3789928	11743938	NA	0
36	1	range-v3	fedora-clang-libcxx	3237379	112249854	441512	NA	3886880	12096454	NA	0
37	1	range-v3	fedora-clang-libcxx	3513973	115763827	441940	NA	3990335	12473733	NA	0
38	1	range-v3	fedora-clang-libcxx	3270551	119034378	442155	NA	4088284	12829346	NA	0
39	1	range-v3	fedora-clang-libcxx	3295233	122329611	442534	NA	4186556	13186374	NA	0
40	1	range-v3	fedora-clang-libcxx	3298073	125627684	442796	NA	4284830	13543657	NA	0
41	1	range-v3	fedora-clang-libcxx	3267189	128894873	442997	NA	4382739	13898866	NA	0
