tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	range-v3	linuxbrew	309	309	176464	NA	177	142	NA	0
1	1	range-v3	linuxbrew	256268	256577	186481	NA	57611	39149	NA	0
2	1	range-v3	linuxbrew	227740	484317	186955	NA	66704	74207	NA	0
3	1	range-v3	linuxbrew	229281	713598	187561	NA	75797	109347	NA	0
4	1	range-v3	linuxbrew	164276	877874	187807	NA	82458	135301	NA	0
5	1	range-v3	linuxbrew	96205	974079	187986	NA	86221	150185	NA	0
6	1	range-v3	linuxbrew	2827586	3801665	299456	NA	537401	499611	NA	0
7	1	range-v3	linuxbrew	1426693	5228358	299607	NA	597004	700787	NA	0
8	1	range-v3	linuxbrew	1669073	6897431	299906	NA	663523	924297	NA	0
9	1	range-v3	linuxbrew	1407030	8304461	300123	NA	722582	1122723	NA	0
10	1	range-v3	linuxbrew	1659339	9963800	300397	NA	789270	1345943	NA	0
11	1	range-v3	linuxbrew	1635770	11599570	300667	NA	855106	1567028	NA	0
12	1	range-v3	linuxbrew	1603402	13202972	300937	NA	919865	1784205	NA	0
13	1	range-v3	linuxbrew	1599548	14802520	301142	NA	984280	2001020	NA	0
14	1	range-v3	linuxbrew	1719117	16521637	303481	NA	1055326	2236495	NA	0
15	1	range-v3	linuxbrew	1632360	18153997	303699	NA	1120970	2457369	NA	0
16	1	range-v3	linuxbrew	1632429	19786426	303936	NA	1186644	2678256	NA	0
17	1	range-v3	linuxbrew	1670728	21457154	304255	NA	1253659	2902586	NA	0
18	1	range-v3	linuxbrew	1670574	23127728	304551	NA	1320690	3126955	NA	0
19	1	range-v3	linuxbrew	1467330	24595058	304778	NA	1381855	3332008	NA	0
20	1	range-v3	linuxbrew	1968293	26563351	305149	NA	1462207	3597491	NA	0
21	1	range-v3	linuxbrew	1710186	28273537	305374	NA	1530119	3824496	NA	0
22	1	range-v3	linuxbrew	1546051	29819588	305672	NA	1593208	4036569	NA	0
23	1	range-v3	linuxbrew	1965291	31784879	306075	NA	1671618	4296344	NA	0
24	1	range-v3	linuxbrew	1981442	33766321	306434	NA	1750763	4559348	NA	0
25	1	range-v3	linuxbrew	1885981	35652302	306990	NA	1824252	4803803	NA	0
26	1	range-v3	linuxbrew	1659953	37312255	307207	NA	1890938	5027199	NA	0
27	1	range-v3	linuxbrew	1659251	38971506	307415	NA	1957585	5250443	NA	0
28	1	range-v3	linuxbrew	1635768	40607274	307635	NA	2023374	5471542	NA	0
29	1	range-v3	linuxbrew	1488551	42095825	307904	NA	2084474	5678152	NA	0
30	1	range-v3	linuxbrew	1670475	43766300	308164	NA	2151484	5902494	NA	0
31	1	range-v3	linuxbrew	1675076	45441376	308530	NA	2218774	6127001	NA	0
32	1	range-v3	linuxbrew	2749792	48191168	322433	NA	2346365	6461710	NA	0
33	1	range-v3	linuxbrew	1405200	49596368	322597	NA	2405308	6659987	NA	0
34	1	range-v3	linuxbrew	1437955	51034323	323023	NA	2465124	6860552	NA	0
35	1	range-v3	linuxbrew	1401056	52435379	323378	NA	2524164	7058333	NA	0
36	1	range-v3	linuxbrew	1401053	53836432	323645	NA	2583167	7256117	NA	0
37	1	range-v3	linuxbrew	1681546	55517978	324063	NA	2650530	7479927	NA	0
38	1	range-v3	linuxbrew	1435376	56953354	324272	NA	2710603	7681045	NA	0
39	1	range-v3	linuxbrew	1460312	58413666	324628	NA	2771368	7883949	NA	0
40	1	range-v3	linuxbrew	1463220	59876886	324871	NA	2832126	8087226	NA	0
41	1	range-v3	linuxbrew	1431946	61308832	325066	NA	2892102	8288019	NA	0
42	1	range-v3	linuxbrew	1466058	62774890	325308	NA	2952883	8491475	NA	0
43	1	range-v3	linuxbrew	1435382	64210272	325515	NA	3012980	8692594	NA	0
44	1	range-v3	linuxbrew	1451136	65661408	325759	NA	3073488	8895078	NA	0
45	1	range-v3	linuxbrew	1408114	67069522	326056	NA	3132779	9093402	NA	0
46	1	range-v3	linuxbrew	1680974	68750496	326383	NA	3200128	9317520	NA	0
47	1	range-v3	linuxbrew	1432226	70182722	326651	NA	3259714	9517487	NA	0
48	1	range-v3	linuxbrew	1461102	71643824	326925	NA	3320252	9720612	NA	0
49	1	range-v3	linuxbrew	1430151	73073975	327203	NA	3379819	9920496	NA	0
50	1	range-v3	linuxbrew	1456059	74530034	327414	NA	3440198	10122873	NA	0
51	1	range-v3	linuxbrew	1401132	75931166	327659	NA	3499206	10320704	NA	0
52	1	range-v3	linuxbrew	1401191	77332357	327901	NA	3558215	10518494	NA	0
53	1	range-v3	linuxbrew	1442059	78774416	328188	NA	3618574	10720149	NA	0
54	1	range-v3	linuxbrew	1437406	80211822	328363	NA	3678640	10921518	NA	0
55	1	range-v3	linuxbrew	1695139	81906961	328627	NA	3746141	11146672	NA	0
56	1	range-v3	linuxbrew	1404596	83311557	328855	NA	3805246	11345026	NA	0
57	1	range-v3	linuxbrew	1431231	84742788	329068	NA	3865243	11545946	NA	0
58	1	range-v3	linuxbrew	1404771	86147559	329244	NA	3924329	11744164	NA	0
59	1	range-v3	linuxbrew	1678167	87825726	329507	NA	3991351	11968128	NA	0
60	1	range-v3	linuxbrew	1405852	89231578	329774	NA	4050450	12166484	NA	0
