tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	re2	conan-gcc	1544133	1544133	367411	NA	366643	245405	56987	0
1	1	re2	conan-gcc	1799117	3343250	381328	NA	507483	531606	110119	0
2	1	re2	conan-gcc	1858607	5201857	392138	NA	624876	825504	162666	0
3	1	re2	conan-gcc	1486778	6688635	395720	NA	703185	1060218	198982	0
4	1	re2	conan-gcc	1224592	7913227	397115	NA	766191	1254930	221782	0
5	1	re2	conan-gcc	1628990	9542217	399322	NA	851139	1514755	237309	0
6	1	re2	conan-gcc	1515597	11057814	400790	NA	932807	1756353	244158	0
7	1	re2	conan-gcc	1503899	12561713	405510	NA	1024259	1998251	254794	0
8	1	re2	conan-gcc	10659	12572372	405880	NA	1025567	2000354	255067	0
9	1	re2	conan-gcc	1454936	14027308	407936	NA	1104122	2232864	261677	0
10	1	re2	conan-gcc	1494985	15522293	409210	NA	1182652	2469254	265490	0
11	1	re2	conan-gcc	1530917	17053210	412416	NA	1266242	2714052	271379	0
12	1	re2	conan-gcc	1612204	18665414	415715	NA	1354696	2969195	278530	0
13	1	re2	conan-gcc	1599973	20265387	417433	NA	1440432	3224680	283595	0
14	1	re2	conan-gcc	1543239	21808626	418314	NA	1520405	3470921	288018	0
15	1	re2	conan-gcc	1367854	23176480	419682	NA	1593754	3688140	291812	0
16	1	re2	conan-gcc	880622	24057102	420234	NA	1638389	3829607	293638	0
17	1	re2	conan-gcc	1228850	25285952	421124	NA	1702708	4025265	295695	0
18	1	re2	conan-gcc	21335	25307287	421412	NA	1708367	4030230	295902	0
19	1	re2	conan-gcc	132774	25440061	422146	NA	1753562	4058804	296041	0
20	1	re2	conan-gcc	26991	25467052	422567	NA	1756016	4063300	296400	0
21	1	re2	conan-gcc	780889	26247941	423454	NA	1795823	4188638	298571	0
22	1	re2	conan-gcc	1542340	27790281	424212	NA	1875039	4433202	301391	0
23	1	re2	conan-gcc	1118460	28908741	424708	NA	1931815	4610691	303170	0
24	1	re2	conan-gcc	1939953	30848694	437985	NA	2076156	4899738	313294	0
25	1	re2	conan-gcc	1222382	32071076	438238	NA	2138019	5094049	314939	0
26	1	re2	conan-gcc	1752752	33823828	439023	NA	2219492	5351272	322794	0
27	1	re2	conan-gcc	1488850	35312678	439619	NA	2289839	5567425	329644	0
28	1	re2	conan-gcc	1578419	36891097	440972	NA	2372536	5818056	333194	0
29	1	re2	conan-gcc	1057564	37948661	443364	NA	2430697	5982160	337520	0
30	1	re2	conan-gcc	1120832	39069493	443861	NA	2488781	6159860	339260	0
31	1	re2	conan-gcc	786368	39855861	444093	NA	2527864	6286469	340288	0
32	1	re2	conan-gcc	1557268	41413129	445073	NA	2606846	6534165	343068	0
33	1	re2	conan-gcc	786368	42199497	445125	NA	2645449	6660774	344178	0
34	1	re2	conan-gcc	1465744	43665241	445977	NA	2721871	6892154	346452	0
35	1	re2	conan-gcc	786368	44451609	445992	NA	2760474	7018763	346953	0
36	1	re2	conan-gcc	1538305	45989914	446348	NA	2839035	7262655	348646	0
37	1	re2	conan-gcc	786368	46776282	446363	NA	2877638	7389264	349611	0
38	1	re2	conan-gcc	1137738	47914020	447167	NA	2940067	7570111	351390	0
39	1	re2	conan-gcc	786368	48700388	447182	NA	2978670	7696720	351792	0
40	1	re2	conan-gcc	1926933	50627321	447833	NA	3068730	7983996	358790	0
41	1	re2	conan-gcc	786368	51413689	447848	NA	3107333	8110605	358930	0
42	1	re2	conan-gcc	1527933	52941622	450416	NA	3200586	8347691	363691	0
43	1	re2	conan-gcc	786368	53727990	450431	NA	3239189	8474300	363831	0
44	1	re2	conan-gcc	1325858	55053848	450849	NA	3307002	8683534	365206	0
45	1	re2	conan-gcc	786368	55840216	450864	NA	3345605	8810143	365346	0
46	1	re2	conan-gcc	1228973	57069189	451345	NA	3408467	9005919	366442	0
47	1	re2	conan-gcc	786368	57855557	451360	NA	3447070	9132528	366582	0
48	1	re2	conan-gcc	1548854	59404411	452144	NA	3526719	9378143	368428	0
49	1	re2	conan-gcc	786368	60190779	452159	NA	3565322	9504752	368568	0
50	1	re2	conan-gcc	1941666	62132445	452514	NA	3656471	9793606	375393	0
51	1	re2	conan-gcc	786368	62918813	452529	NA	3695074	9920215	375533	0
52	1	re2	conan-gcc	1477597	64396410	454029	NA	3768316	10151376	378893	0
53	1	re2	conan-gcc	786368	65182778	454044	NA	3806919	10277985	379033	0
54	1	re2	conan-gcc	1121791	66304569	454458	NA	3865535	10456325	379914	0
