tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	re2	debian-gcc	1496695	1496695	358142	NA	357518	238650	52805	0
1	1	re2	debian-gcc	1750960	3247655	372407	NA	495853	517959	102466	0
2	1	re2	debian-gcc	1810990	5058645	383754	NA	611223	804996	152401	0
3	1	re2	debian-gcc	1439885	6498530	387001	NA	687149	1032374	182483	0
4	1	re2	debian-gcc	1197209	7695739	388670	NA	748925	1222394	200737	0
5	1	re2	debian-gcc	1580971	9276710	390937	NA	832099	1474935	215355	0
6	1	re2	debian-gcc	1468475	10745185	392381	NA	911748	1710046	221507	0
7	1	re2	debian-gcc	1467018	12212203	397139	NA	1001644	1946617	232654	0
8	1	re2	debian-gcc	10456	12222659	397489	NA	1002938	1948710	232898	0
9	1	re2	debian-gcc	1410969	13633628	399447	NA	1079442	2174762	238893	0
10	1	re2	debian-gcc	1447898	15081526	400713	NA	1155722	2404255	242708	0
11	1	re2	debian-gcc	1483622	16565148	403807	NA	1237321	2642320	247399	0
12	1	re2	debian-gcc	1564628	18129776	407001	NA	1323622	2890727	254312	0
13	1	re2	debian-gcc	1552547	19682323	408685	NA	1407263	3139337	259274	0
14	1	re2	debian-gcc	1495660	21177983	409567	NA	1485010	3378134	263689	0
15	1	re2	debian-gcc	1336603	22514586	410891	NA	1557040	3590437	266746	0
16	1	re2	debian-gcc	857848	23372434	411500	NA	1600740	3728826	268518	0
17	1	re2	debian-gcc	1201306	24573740	412166	NA	1663683	3920241	270336	0
18	1	re2	debian-gcc	21132	24594872	412449	NA	1669335	3925185	270543	0
19	1	re2	debian-gcc	132571	24727443	413177	NA	1714523	3953756	270682	0
20	1	re2	debian-gcc	26370	24753813	413622	NA	1716986	3958201	271097	0
21	1	re2	debian-gcc	759620	25513433	414521	NA	1755735	4080320	273260	0
22	1	re2	debian-gcc	1494907	27008340	415294	NA	1833040	4318107	275594	0
23	1	re2	debian-gcc	1091510	28099850	415775	NA	1888615	4491529	277202	0
