tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	re2	fedora-clang-libcxx	3269158	3269158	429285	NA	504679	349211	159598	0
1	1	re2	fedora-clang-libcxx	3292521	6561679	435548	NA	615694	705153	295555	0
2	1	re2	fedora-clang-libcxx	3326476	9888155	444758	NA	740297	1065231	423930	0
3	1	re2	fedora-clang-libcxx	3248074	13136229	448918	NA	839924	1409921	532232	0
4	1	re2	fedora-clang-libcxx	3235951	16372180	451192	NA	937522	1752088	626810	0
5	1	re2	fedora-clang-libcxx	3276906	19649086	452247	NA	1040331	2102744	711246	0
6	1	re2	fedora-clang-libcxx	3226293	22875379	453481	NA	1141400	2448562	785598	0
7	1	re2	fedora-clang-libcxx	3287445	26162824	455994	NA	1255665	2801992	836620	0
8	1	re2	fedora-clang-libcxx	9935	26172759	456319	NA	1256981	2804080	837097	0
9	1	re2	fedora-clang-libcxx	3265332	29438091	459446	NA	1358806	3153278	876044	0
10	1	re2	fedora-clang-libcxx	3254268	32692359	460439	NA	1457948	3499728	904317	0
11	1	re2	fedora-clang-libcxx	3238098	35930457	463736	NA	1563781	3847819	928657	0
12	1	re2	fedora-clang-libcxx	3294337	39224794	465191	NA	1671472	4202166	947639	0
13	1	re2	fedora-clang-libcxx	3281537	42506331	466376	NA	1776583	4555269	964627	0
14	1	re2	fedora-clang-libcxx	3268750	45775081	466961	NA	1875348	4905002	980206	0
15	1	re2	fedora-clang-libcxx	3248764	49023845	468437	NA	1974495	5249725	991887	0
16	1	re2	fedora-clang-libcxx	2960288	51984133	469301	NA	2063820	5563783	1001020	0
17	1	re2	fedora-clang-libcxx	3240497	55224630	469948	NA	2161856	5907076	1009888	0
18	1	re2	fedora-clang-libcxx	20611	55245241	470239	NA	2167509	5912014	1010096	0
19	1	re2	fedora-clang-libcxx	132050	55377291	470991	NA	2212737	5940598	1010234	0
20	1	re2	fedora-clang-libcxx	27991	55405282	471521	NA	2215346	5945389	1010751	0
21	1	re2	fedora-clang-libcxx	1962298	57367580	472016	NA	2277308	6150269	1018195	0
22	1	re2	fedora-clang-libcxx	3268176	60635756	472734	NA	2376855	6499297	1029344	0
23	1	re2	fedora-clang-libcxx	3232518	63868274	473213	NA	2472614	6841030	1036636	0
24	1	re2	fedora-clang-libcxx	3564422	67432696	483020	NA	2613390	7217441	1054909	0
25	1	re2	fedora-clang-libcxx	3233744	70666440	483280	NA	2709513	7559330	1062948	0
26	1	re2	fedora-clang-libcxx	3305990	73972430	484377	NA	2809011	7906229	1080496	0
27	1	re2	fedora-clang-libcxx	3302054	77274484	484935	NA	2906501	8251915	1087480	0
28	1	re2	fedora-clang-libcxx	3300921	80575405	485665	NA	3011638	8606332	1094365	0
29	1	re2	fedora-clang-libcxx	3071057	83646462	487396	NA	3109874	8934471	1101966	0
30	1	re2	fedora-clang-libcxx	3234203	86880665	487765	NA	3207693	9276571	1108638	0
31	1	re2	fedora-clang-libcxx	3017881	89898546	487982	NA	3298404	9597036	1114302	0
32	1	re2	fedora-clang-libcxx	3279524	93178070	488490	NA	3398473	9947798	1119728	0
33	1	re2	fedora-clang-libcxx	3017881	96195951	488542	NA	3488779	10268263	1125081	0
34	1	re2	fedora-clang-libcxx	3212840	99408791	489062	NA	3586449	10609352	1131811	0
35	1	re2	fedora-clang-libcxx	3017881	102426672	489077	NA	3676755	10929817	1137032	0
36	1	re2	fedora-clang-libcxx	3263639	105690311	489329	NA	3775004	11278266	1142921	0
37	1	re2	fedora-clang-libcxx	3017881	108708192	489344	NA	3865310	11598731	1148122	0
38	1	re2	fedora-clang-libcxx	3249425	111957617	489770	NA	3965537	11943461	1152944	0
39	1	re2	fedora-clang-libcxx	3017881	114975498	489785	NA	4055843	12263926	1156966	0
40	1	re2	fedora-clang-libcxx	3551761	118527259	490300	NA	4162234	12637766	1162459	0
41	1	re2	fedora-clang-libcxx	3017881	121545140	490315	NA	4252540	12958231	1166481	0
42	1	re2	fedora-clang-libcxx	3410684	124955824	492040	NA	4378207	13325186	1174245	0
43	1	re2	fedora-clang-libcxx	3017881	127973705	492055	NA	4468513	13645651	1178267	0
44	1	re2	fedora-clang-libcxx	3201894	131175599	492405	NA	4565468	13985650	1183007	0
45	1	re2	fedora-clang-libcxx	3017881	134193480	492420	NA	4655774	14306115	1187029	0
46	1	re2	fedora-clang-libcxx	3234436	137427916	492731	NA	4751001	14648155	1191523	0
47	1	re2	fedora-clang-libcxx	3017881	140445797	492746	NA	4841307	14968620	1195545	0
48	1	re2	fedora-clang-libcxx	3271801	143717598	493140	NA	4939287	15317996	1199932	0
49	1	re2	fedora-clang-libcxx	3017881	146735479	493155	NA	5029593	15638461	1203954	0
50	1	re2	fedora-clang-libcxx	3566528	150302007	493504	NA	5137224	16015038	1209077	0
51	1	re2	fedora-clang-libcxx	3017881	153319888	493519	NA	5227530	16335503	1213099	0
52	1	re2	fedora-clang-libcxx	3219014	156538902	494091	NA	5323534	16676329	1217429	0
53	1	re2	fedora-clang-libcxx	3017881	159556783	494106	NA	5413840	16996794	1221451	0
54	1	re2	fedora-clang-libcxx	3235652	162792435	494428	NA	5511932	17339152	1225769	0
55	1	re2	fedora-clang-libcxx	3017881	165810316	494443	NA	5602238	17659617	1229791	0
56	1	re2	fedora-clang-libcxx	3303358	169113674	494804	NA	5699579	18005944	1234764	0
57	1	re2	fedora-clang-libcxx	3017881	172131555	494819	NA	5789885	18326409	1238786	0
58	1	re2	fedora-clang-libcxx	3627731	175759286	497861	NA	5910114	18709374	1245895	0
59	1	re2	fedora-clang-libcxx	3017881	178777167	497876	NA	6000420	19029839	1249917	0
60	1	re2	fedora-clang-libcxx	3302547	182079714	498127	NA	6096535	19375727	1254378	0
61	1	re2	fedora-clang-libcxx	3017881	185097595	498142	NA	6186841	19696192	1258400	0
62	1	re2	fedora-clang-libcxx	3303988	188401583	498444	NA	6283401	20042306	1263425	0
63	1	re2	fedora-clang-libcxx	3017881	191419464	498459	NA	6373707	20362771	1267447	0
64	1	re2	fedora-clang-libcxx	3306096	194725560	498737	NA	6470935	20709421	1271490	0
65	1	re2	fedora-clang-libcxx	3017881	197743441	498752	NA	6561241	21029886	1275512	0
66	1	re2	fedora-clang-libcxx	3301706	201045147	498932	NA	6658591	21376135	1280089	0
67	1	re2	fedora-clang-libcxx	3017881	204063028	498947	NA	6748897	21696600	1284111	0
68	1	re2	fedora-clang-libcxx	3304829	207367857	499226	NA	6847018	22042994	1288421	0
69	1	re2	fedora-clang-libcxx	3017881	210385738	499241	NA	6937324	22363459	1292443	0
70	1	re2	fedora-clang-libcxx	3464133	213849871	500949	NA	7052077	22736086	1299574	0
71	1	re2	fedora-clang-libcxx	3264733	217114604	501665	NA	7150969	23083191	1305264	0
72	2	re2	fedora-clang-libcxx	3269158	220383762	501715	NA	7248815	23432402	1311131	0
73	2	re2	fedora-clang-libcxx	3292521	223676283	501766	NA	7347868	23788344	1317551	0
74	2	re2	fedora-clang-libcxx	3326476	227002759	501817	NA	7448530	24148422	1323433	0
75	2	re2	fedora-clang-libcxx	3248074	230250833	501869	NA	7543661	24493112	1327811	0
76	2	re2	fedora-clang-libcxx	3235951	233486784	501921	NA	7639569	24835279	1332555	0
77	2	re2	fedora-clang-libcxx	3276906	236763690	501973	NA	7737665	25185935	1336884	0
78	2	re2	fedora-clang-libcxx	3226293	239989983	502025	NA	7834292	25531753	1341127	0
79	2	re2	fedora-clang-libcxx	3287445	243277428	502077	NA	7933329	25885183	1345898	0
80	2	re2	fedora-clang-libcxx	9935	243287363	502128	NA	7933840	25887271	1345988	0
81	2	re2	fedora-clang-libcxx	3265332	246552695	502180	NA	8030105	26236469	1351159	0
82	2	re2	fedora-clang-libcxx	3254268	249806963	502232	NA	8125530	26582919	1355894	0
83	2	re2	fedora-clang-libcxx	3238098	253045061	502284	NA	8221969	26931010	1363973	0
84	2	re2	fedora-clang-libcxx	3294337	256339398	502336	NA	8319988	27285357	1368497	0
85	2	re2	fedora-clang-libcxx	3281537	259620935	502388	NA	8417828	27638460	1373542	0
86	2	re2	fedora-clang-libcxx	3268750	262889685	502440	NA	8514187	27988193	1377628	0
87	2	re2	fedora-clang-libcxx	3248764	266138449	502492	NA	8609304	28332916	1382137	0
