tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	re2	linuxbrew	1571870	1571870	355264	NA	356564	238671	49854	0
1	1	re2	linuxbrew	1828848	3400718	368958	NA	493502	517989	96688	0
2	1	re2	linuxbrew	1886052	5286770	378529	NA	605899	804245	140626	0
3	1	re2	linuxbrew	1518076	6804846	382287	NA	681324	1032382	171501	0
4	1	re2	linuxbrew	1265288	8070134	384073	NA	742560	1223308	187175	0
5	1	re2	linuxbrew	1652520	9722654	385372	NA	826936	1475746	198850	0
6	1	re2	linuxbrew	1539858	11262512	386865	NA	905784	1711095	205029	0
7	1	re2	linuxbrew	1532629	12795141	389535	NA	993681	1947069	211516	0
8	1	re2	linuxbrew	10612	12805753	389860	NA	994990	1949207	211723	0
9	1	re2	linuxbrew	1484070	14289823	391422	NA	1070168	2175718	216243	0
10	1	re2	linuxbrew	1523920	15813743	392273	NA	1145375	2405505	219080	0
11	1	re2	linuxbrew	1552671	17366414	394854	NA	1226042	2643592	222502	0
12	1	re2	linuxbrew	1631059	18997473	396408	NA	1310549	2891654	226027	0
13	1	re2	linuxbrew	1630474	20627947	397594	NA	1393496	3140796	229792	0
14	1	re2	linuxbrew	1570395	22198342	398177	NA	1470242	3379848	233405	0
15	1	re2	linuxbrew	1408215	23606557	399123	NA	1541371	3592705	235946	0
16	1	re2	linuxbrew	912890	24519447	399700	NA	1584826	3732046	237859	0
17	1	re2	linuxbrew	1269452	25788899	400340	NA	1647124	3924420	239846	0
18	1	re2	linuxbrew	21288	25810187	400625	NA	1652783	3929426	240053	0
19	1	re2	linuxbrew	132727	25942914	401358	NA	1697975	3958042	240191	0
20	1	re2	linuxbrew	27445	25970359	402085	NA	1700660	3962525	240946	0
21	1	re2	linuxbrew	807783	26778142	402616	NA	1739007	4085373	242942	0
22	1	re2	linuxbrew	1570228	28348370	403307	NA	1815892	4323495	245207	0
23	1	re2	linuxbrew	1156634	29505004	403782	NA	1870909	4497716	246645	0
24	1	re2	linuxbrew	1954186	31459190	416545	NA	2010057	4778093	254747	0
25	1	re2	linuxbrew	1263077	32722267	416797	NA	2069632	4968687	256233	0
26	1	re2	linuxbrew	1768198	34490465	417520	NA	2148229	5218719	263014	0
27	1	re2	linuxbrew	1500438	35990903	418131	NA	2215644	5428195	268989	0
28	1	re2	linuxbrew	1602561	37593464	418885	NA	2296014	5672213	270787	0
29	1	re2	linuxbrew	1077486	38670950	420465	NA	2351448	5831887	272910	0
30	1	re2	linuxbrew	1158522	39829472	420832	NA	2407338	6005953	274235	0
31	1	re2	linuxbrew	806995	40636467	421046	NA	2445151	6130069	275224	0
32	1	re2	linuxbrew	1580662	42217129	421547	NA	2523911	6371162	277073	0
33	1	re2	linuxbrew	806995	43024124	421599	NA	2561246	6495278	277649	0
34	1	re2	linuxbrew	1495810	44519934	422281	NA	2635097	6720669	279364	0
35	1	re2	linuxbrew	806995	45326929	422296	NA	2672432	6844785	280003	0
36	1	re2	linuxbrew	1564984	46891913	422556	NA	2747318	7082109	281065	0
37	1	re2	linuxbrew	806995	47698908	422571	NA	2784653	7206225	281867	0
38	1	re2	linuxbrew	1173605	48872513	422979	NA	2845160	7383638	282636	0
39	1	re2	linuxbrew	806995	49679508	422994	NA	2882495	7507754	282762	0
40	1	re2	linuxbrew	1941335	51620843	423523	NA	2969153	7786760	286731	0
41	1	re2	linuxbrew	806995	52427838	423538	NA	3006488	7910876	286857	0
42	1	re2	linuxbrew	1553059	53980897	425294	NA	3096073	8141789	289966	0
43	1	re2	linuxbrew	806995	54787892	425309	NA	3133408	8265905	290092	0
44	1	re2	linuxbrew	1353210	56141102	425707	NA	3199065	8469758	291447	0
45	1	re2	linuxbrew	806995	56948097	425722	NA	3236400	8593874	291573	0
46	1	re2	linuxbrew	1266473	58214570	426039	NA	3297198	8785454	292606	0
47	1	re2	linuxbrew	806995	59021565	426054	NA	3334533	8909570	292732	0
48	1	re2	linuxbrew	1572892	60594457	426434	NA	3411183	9148306	293926	0
49	1	re2	linuxbrew	806995	61401452	426449	NA	3448518	9272422	294052	0
50	1	re2	linuxbrew	1956418	63357870	426801	NA	3535991	9552961	300279	0
51	1	re2	linuxbrew	806995	64164865	426816	NA	3573326	9677077	300405	0
52	1	re2	linuxbrew	1502599	65667464	427406	NA	3645913	9901825	301391	0
53	1	re2	linuxbrew	806995	66474459	427421	NA	3683248	10025941	301517	0
54	1	re2	linuxbrew	1159728	67634187	427768	NA	3740011	10200940	302083	0
55	1	re2	linuxbrew	806995	68441182	427783	NA	3777346	10325056	302209	0
56	1	re2	linuxbrew	1501467	69942649	428161	NA	3844787	10535247	307811	0
57	1	re2	linuxbrew	806995	70749644	428176	NA	3882122	10659363	307937	0
58	1	re2	linuxbrew	1950059	72699703	429555	NA	3972365	10940142	312139	0
59	1	re2	linuxbrew	806995	73506698	429570	NA	4009700	11064258	312265	0
60	1	re2	linuxbrew	1500573	75007271	429837	NA	4075947	11274023	315334	0
61	1	re2	linuxbrew	806995	75814266	429852	NA	4113282	11398139	315460	0
62	1	re2	linuxbrew	1685644	77499910	430159	NA	4187629	11635074	319515	0
63	1	re2	linuxbrew	806995	78306905	430174	NA	4224964	11759190	319641	0
64	1	re2	linuxbrew	1687760	79994665	430458	NA	4300087	11996615	320516	0
65	1	re2	linuxbrew	806995	80801660	430473	NA	4337422	12120731	320642	0
66	1	re2	linuxbrew	1500083	82301743	430685	NA	4403288	12329722	323668	0
67	1	re2	linuxbrew	806995	83108738	430700	NA	4440623	12453838	323794	0
68	1	re2	linuxbrew	1502616	84611354	430987	NA	4507754	12663858	324275	0
69	1	re2	linuxbrew	806995	85418349	431002	NA	4545089	12787974	324401	0
70	1	re2	linuxbrew	1853832	87272181	433264	NA	4639363	13065782	328503	0
71	1	re2	linuxbrew	1382106	88654287	434255	NA	4707080	13275977	330131	0
72	2	re2	linuxbrew	1571870	90226157	434305	NA	4782165	13514648	331052	0
73	2	re2	linuxbrew	1828848	92055005	434356	NA	4866551	13793966	334203	0
74	2	re2	linuxbrew	1886052	93941057	434407	NA	4953053	14080222	339145	0
75	2	re2	linuxbrew	1518076	95459133	434458	NA	5024052	14308359	340447	0
76	2	re2	linuxbrew	1265288	96724421	434509	NA	5083917	14499285	341197	0
77	2	re2	linuxbrew	1652520	98376941	434560	NA	5163027	14751723	342153	0
78	2	re2	linuxbrew	1539858	99916799	434611	NA	5236797	14987072	343142	0
79	2	re2	linuxbrew	1532629	101449428	434663	NA	5311403	15223046	344413	0
80	2	re2	linuxbrew	10612	101460040	434714	NA	5311910	15225184	344502	0
81	2	re2	linuxbrew	1484070	102944110	434766	NA	5381759	15451695	345612	0
82	2	re2	linuxbrew	1523920	104468030	434818	NA	5452794	15681482	346680	0
83	2	re2	linuxbrew	1552671	106020701	434870	NA	5526825	15919569	348216	0
84	2	re2	linuxbrew	1631059	107651760	434922	NA	5604299	16167631	349684	0
85	2	re2	linuxbrew	1630474	109282234	434974	NA	5682692	16416773	351836	0
86	2	re2	linuxbrew	1570395	110852629	435026	NA	5756718	16655825	352810	0
87	2	re2	linuxbrew	1408215	112260844	435078	NA	5823552	16868682	353362	0
88	2	re2	linuxbrew	912890	113173734	435130	NA	5865985	17008023	354291	0
89	2	re2	linuxbrew	1269452	114443186	435182	NA	5925876	17200397	354779	0
90	2	re2	linuxbrew	21288	114464474	435233	NA	5927100	17205403	354868	0
91	2	re2	linuxbrew	132727	114597201	435284	NA	5936974	17234019	354957	0
92	2	re2	linuxbrew	27445	114624646	435336	NA	5938033	17238502	355491	0
93	2	re2	linuxbrew	807783	115432429	435388	NA	5974879	17361350	356407	0
94	2	re2	linuxbrew	1570228	117002657	435440	NA	6049744	17599472	357134	0
95	2	re2	linuxbrew	1156634	118159291	435492	NA	6103179	17773693	357408	0
96	2	re2	linuxbrew	1954186	120113477	435544	NA	6187920	18054070	361148	0
97	2	re2	linuxbrew	1263077	121376554	435596	NA	6247106	18244664	361774	0
98	2	re2	linuxbrew	1768198	123144752	435648	NA	6325773	18494696	367669	0
99	2	re2	linuxbrew	1500438	124645190	435700	NA	6391512	18704172	370628	0
100	2	re2	linuxbrew	1602561	126247751	435752	NA	6467578	18948190	371560	0
101	2	re2	linuxbrew	1077486	127325237	435804	NA	6516455	19107864	372860	0
102	2	re2	linuxbrew	1158522	128483759	435856	NA	6570003	19281930	373380	0
103	2	re2	linuxbrew	806995	129290754	435871	NA	6607338	19406046	373506	0
104	2	re2	linuxbrew	1580662	130871416	435923	NA	6681905	19647139	373995	0
