tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	rocksdb	conan-gcc	3687699	3687699	1071845	NA	892568	599993	NA	0
1	1	rocksdb	conan-gcc	2167543	5855242	1075317	NA	994510	939630	NA	0
2	1	rocksdb	conan-gcc	5347817	11203059	1125764	NA	1370454	1636725	NA	0
3	1	rocksdb	conan-gcc	3274822	14477881	1129108	NA	1535458	2170424	NA	0
4	1	rocksdb	conan-gcc	3482059	17959940	1132637	NA	1718356	2733175	NA	0
5	1	rocksdb	conan-gcc	3469217	21429157	1134371	NA	1891448	3293777	NA	0
6	1	rocksdb	conan-gcc	6119954	27549111	1164145	NA	2263050	4108079	NA	0
7	1	rocksdb	conan-gcc	6099942	33649053	1172514	NA	2554067	4919604	NA	0
8	1	rocksdb	conan-gcc	6003532	39652585	1174366	NA	2811524	5714006	NA	0
9	1	rocksdb	conan-gcc	3287315	42939900	1174854	NA	2975624	6251567	NA	0
10	1	rocksdb	conan-gcc	5975468	48915368	1176478	NA	3232229	7039272	NA	0
11	1	rocksdb	conan-gcc	5365785	54281153	1177254	NA	3456210	7742250	NA	0
12	1	rocksdb	conan-gcc	5892704	60173857	1177809	NA	3701712	8514564	NA	0
13	1	rocksdb	conan-gcc	7243057	67416914	1224360	NA	4259832	9539105	NA	0
14	1	rocksdb	conan-gcc	3445515	70862429	1227111	NA	4433561	10093108	NA	0
15	1	rocksdb	conan-gcc	3421974	74284403	1227969	NA	4601750	10643396	NA	0
16	1	rocksdb	conan-gcc	6930117	81214520	1231978	NA	4907153	11610694	NA	0
17	1	rocksdb	conan-gcc	3390077	84604597	1235004	NA	5075143	12152489	NA	0
18	1	rocksdb	conan-gcc	6994184	91598781	1240248	NA	5389177	13131537	NA	0
19	1	rocksdb	conan-gcc	6232913	97831694	1252633	NA	5654400	13964096	NA	0
20	1	rocksdb	conan-gcc	6997429	104829123	1256354	NA	5965725	14943026	NA	0
21	1	rocksdb	conan-gcc	3388214	108217337	1257029	NA	6132218	15484354	NA	0
22	1	rocksdb	conan-gcc	3266799	111484136	1257880	NA	6295716	16016243	NA	0
23	1	rocksdb	conan-gcc	6480266	117964402	1261943	NA	6578694	16894769	NA	0
24	1	rocksdb	conan-gcc	6092657	124057059	1263205	NA	6834896	17702830	NA	0
25	1	rocksdb	conan-gcc	6555187	130612246	1265419	NA	7116614	18599579	NA	0
26	1	rocksdb	conan-gcc	3428936	134041182	1265989	NA	7286424	19152793	NA	0
27	1	rocksdb	conan-gcc	6066692	140107874	1266596	NA	7540618	19956012	NA	0
28	1	rocksdb	conan-gcc	6557115	146664989	1267561	NA	7822659	20853766	NA	0
29	1	rocksdb	conan-gcc	6432461	153097450	1270278	NA	8103302	21721957	NA	0
30	1	rocksdb	conan-gcc	6360805	159458255	1271539	NA	8376101	22577168	NA	0
31	1	rocksdb	conan-gcc	6202081	165660336	1272110	NA	8637747	23402604	NA	0
32	1	rocksdb	conan-gcc	7019161	172679497	1275435	NA	8956054	24386604	NA	0
33	1	rocksdb	conan-gcc	4541486	177220983	1297362	NA	9309737	25100012	NA	0
34	1	rocksdb	conan-gcc	3446161	180667144	1298132	NA	9480771	25654596	NA	0
35	1	rocksdb	conan-gcc	7323682	187990826	1302161	NA	9820066	26694381	NA	0
36	1	rocksdb	conan-gcc	6944297	194935123	1304400	NA	10129503	27663326	NA	0
37	1	rocksdb	conan-gcc	7003955	201939078	1308062	NA	10447645	28639558	NA	0
38	1	rocksdb	conan-gcc	6963915	208902993	1310287	NA	10760081	29611382	NA	0
39	1	rocksdb	conan-gcc	7411704	216314697	1318041	NA	11118224	30662177	NA	0
40	1	rocksdb	conan-gcc	6942421	223257118	1319715	NA	11424328	31629450	NA	0
41	1	rocksdb	conan-gcc	6934850	230191968	1321127	NA	11731272	32596124	NA	0
42	1	rocksdb	conan-gcc	6988195	237180163	1324159	NA	12046764	33571242	NA	0
43	1	rocksdb	conan-gcc	7193668	244373831	1330145	NA	12367664	34573137	NA	0
44	1	rocksdb	conan-gcc	6980287	251354118	1330455	NA	12667506	35548369	NA	0
45	1	rocksdb	conan-gcc	6996272	258350390	1331775	NA	12977754	36526275	NA	0
46	1	rocksdb	conan-gcc	3595582	261945972	1332957	NA	13155088	37105789	NA	0
47	1	rocksdb	conan-gcc	6982214	268928186	1335027	NA	13456451	38082026	NA	0
48	1	rocksdb	conan-gcc	7206011	276134197	1336061	NA	13769243	39101752	NA	0
49	1	rocksdb	conan-gcc	320	276134517	1336189	NA	13769343	39101907	NA	0
50	1	rocksdb	conan-gcc	7215458	283349975	1337569	NA	14088431	40119757	NA	0
51	1	rocksdb	conan-gcc	7215228	290565203	1339123	NA	14405968	41138998	NA	0
52	1	rocksdb	conan-gcc	7645251	298210454	1355723	NA	14824036	42236962	NA	0
53	1	rocksdb	conan-gcc	7344623	305555077	1362620	NA	15168579	43276677	NA	0
54	1	rocksdb	conan-gcc	7419892	312974969	1372015	NA	15532887	44328292	NA	0
55	1	rocksdb	conan-gcc	7252835	320227804	1374560	NA	15859435	45354893	NA	0
56	1	rocksdb	conan-gcc	7281452	327509256	1377166	NA	16186216	46386868	NA	0
57	1	rocksdb	conan-gcc	7356353	334865609	1383240	NA	16536931	47433526	NA	0
58	1	rocksdb	conan-gcc	216	334865825	1383365	NA	16537018	47433652	NA	0
59	1	rocksdb	conan-gcc	7201117	342066942	1384397	NA	16851362	48451795	NA	0
60	1	rocksdb	conan-gcc	7260390	349327332	1386253	NA	17169692	49479458	NA	0
61	1	rocksdb	conan-gcc	7326536	356653868	1389511	NA	17502488	50519208	NA	0
62	1	rocksdb	conan-gcc	3531698	360185566	1390215	NA	17678576	51089140	NA	0
63	1	rocksdb	conan-gcc	7318553	367504119	1394717	NA	18013977	52127146	NA	0
64	1	rocksdb	conan-gcc	5632822	373136941	1396294	NA	18245467	52851588	NA	0
65	1	rocksdb	conan-gcc	7223812	380360753	1397858	NA	18564322	53869572	NA	0
66	1	rocksdb	conan-gcc	6820771	387181524	1398424	NA	18859951	54814691	NA	0
67	1	rocksdb	conan-gcc	7263148	394444672	1401381	NA	19193089	55845224	NA	0
68	1	rocksdb	conan-gcc	7274249	401718921	1404706	NA	19525777	56875700	NA	0
69	1	rocksdb	conan-gcc	6534859	408253780	1405979	NA	19806922	57766238	NA	0
70	1	rocksdb	conan-gcc	7277933	415531713	1409066	NA	20136921	58796369	NA	0
71	1	rocksdb	conan-gcc	6779672	422311385	1413672	NA	20427865	59734037	NA	0
