tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	rocksdb	debian-gcc	3161308	3161308	954696	NA	752849	503789	NA	0
1	1	rocksdb	debian-gcc	2218362	5379670	956666	NA	857707	850195	NA	0
2	1	rocksdb	debian-gcc	4731926	10111596	1036475	NA	1199716	1448249	NA	0
3	1	rocksdb	debian-gcc	2728457	12840053	1039868	NA	1332105	1883895	NA	0
4	1	rocksdb	debian-gcc	2956654	15796707	1044944	NA	1487711	2351514	NA	0
5	1	rocksdb	debian-gcc	2944113	18740820	1046277	NA	1628830	2816355	NA	0
6	1	rocksdb	debian-gcc	5508564	24249384	1075947	NA	1971375	3529477	NA	0
7	1	rocksdb	debian-gcc	5491161	29740545	1084206	NA	2232568	4241230	NA	0
8	1	rocksdb	debian-gcc	5395593	35136138	1086049	NA	2458539	4933921	NA	0
9	1	rocksdb	debian-gcc	2740913	37877051	1086543	NA	2590005	5372736	NA	0
10	1	rocksdb	debian-gcc	5367819	43244870	1088167	NA	2814922	6060299	NA	0
11	1	rocksdb	debian-gcc	4749353	47994223	1088730	NA	3010549	6662391	NA	0
12	1	rocksdb	debian-gcc	5285899	53280122	1089287	NA	3227593	7334775	NA	0
13	1	rocksdb	debian-gcc	6642887	59923009	1136246	NA	3760339	8260955	NA	0
14	1	rocksdb	debian-gcc	2920616	62843625	1139122	NA	3902163	8720192	NA	0
15	1	rocksdb	debian-gcc	2897869	65741494	1139946	NA	4039653	9175355	NA	0
16	1	rocksdb	debian-gcc	6332098	72073592	1144108	NA	4315504	10043033	NA	0
17	1	rocksdb	debian-gcc	2833184	74906776	1145417	NA	4450079	10485676	NA	0
18	1	rocksdb	debian-gcc	6395455	81302231	1150593	NA	4734239	11365782	NA	0
19	1	rocksdb	debian-gcc	5639248	86941479	1156594	NA	4969468	12101267	NA	0
20	1	rocksdb	debian-gcc	6398843	93340322	1159470	NA	5250948	12980585	NA	0
21	1	rocksdb	debian-gcc	2831329	96171651	1160131	NA	5384531	13423254	NA	0
22	1	rocksdb	debian-gcc	2720375	98892026	1160838	NA	5515235	13856634	NA	0
23	1	rocksdb	debian-gcc	5885148	104777174	1164629	NA	5768693	14636940	NA	0
24	1	rocksdb	debian-gcc	5483416	110260590	1167374	NA	5994042	15345531	NA	0
25	1	rocksdb	debian-gcc	5960090	116220680	1169567	NA	6247478	16143312	NA	0
26	1	rocksdb	debian-gcc	2904311	119124991	1170134	NA	6386406	16600783	NA	0
27	1	rocksdb	debian-gcc	5475226	124600217	1170720	NA	6611849	17305649	NA	0
28	1	rocksdb	debian-gcc	5962114	130562331	1171652	NA	6865017	18104552	NA	0
29	1	rocksdb	debian-gcc	5837010	136399341	1174359	NA	7116210	18874279	NA	0
30	1	rocksdb	debian-gcc	5750301	142149642	1175615	NA	7357890	19629222	NA	0
31	1	rocksdb	debian-gcc	5609891	147759533	1176193	NA	7589195	20356967	NA	0
32	1	rocksdb	debian-gcc	6420788	154180321	1179510	NA	7878631	21241452	NA	0
33	1	rocksdb	debian-gcc	4013096	158193417	1201390	NA	8205123	21859385	NA	0
34	1	rocksdb	debian-gcc	2921079	161114496	1202725	NA	8344618	22318704	NA	0
35	1	rocksdb	debian-gcc	6722897	167837393	1207051	NA	8654658	23259420	NA	0
36	1	rocksdb	debian-gcc	6346173	174183566	1209302	NA	8933946	24128404	NA	0
37	1	rocksdb	debian-gcc	6405487	180589053	1212957	NA	9222159	25007232	NA	0
38	1	rocksdb	debian-gcc	6365446	186954499	1215248	NA	9504669	25879424	NA	0
39	1	rocksdb	debian-gcc	6810377	193764876	1222936	NA	9834106	26832111	NA	0
40	1	rocksdb	debian-gcc	6344237	200109113	1224611	NA	10110236	27699992	NA	0
41	1	rocksdb	debian-gcc	6336886	206445999	1226014	NA	10387283	28567140	NA	0
42	1	rocksdb	debian-gcc	6389641	212835640	1229040	NA	10672785	29442648	NA	0
43	1	rocksdb	debian-gcc	6592301	219427941	1235007	NA	10964127	30346882	NA	0
44	1	rocksdb	debian-gcc	6382047	225809988	1235316	NA	11234019	31222466	NA	0
45	1	rocksdb	debian-gcc	6397890	232207878	1236640	NA	11514333	32101840	NA	0
46	1	rocksdb	debian-gcc	3070619	235278497	1237781	NA	11660160	32586067	NA	0
47	1	rocksdb	debian-gcc	6383925	241662422	1238823	NA	11933005	33462688	NA	0
48	1	rocksdb	debian-gcc	6606214	248268636	1239839	NA	12218326	34382471	NA	0
49	1	rocksdb	debian-gcc	304	248268940	1239964	NA	12218422	34382623	NA	0
50	1	rocksdb	debian-gcc	6615572	254884512	1241361	NA	12507376	35301916	NA	0
51	1	rocksdb	debian-gcc	6615335	261499847	1242937	NA	12795715	36222722	NA	0
52	1	rocksdb	debian-gcc	7042133	268541980	1259462	NA	13183786	37221118	NA	0
53	1	rocksdb	debian-gcc	6743667	275285647	1266316	NA	13500429	38162230	NA	0
54	1	rocksdb	debian-gcc	6818497	282104144	1275701	NA	13835167	39116065	NA	0
55	1	rocksdb	debian-gcc	6652719	288756863	1278101	NA	14132452	40043422	NA	0
56	1	rocksdb	debian-gcc	6681143	295438006	1280703	NA	14429512	40976364	NA	0
