tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	rocksdb	fedora-clang-libcxx	4869606	4869606	1030436	NA	878573	591296	NA	0
1	1	rocksdb	fedora-clang-libcxx	3456830	8326436	1038510	NA	982402	986693	NA	0
2	1	rocksdb	fedora-clang-libcxx	6476026	14802462	1082847	NA	1317416	1656529	NA	0
3	1	rocksdb	fedora-clang-libcxx	4595294	19397756	1086380	NA	1461645	2198976	NA	0
4	1	rocksdb	fedora-clang-libcxx	4671440	24069196	1090128	NA	1621393	2753687	NA	0
5	1	rocksdb	fedora-clang-libcxx	4658732	28727928	1091586	NA	1766304	3306753	NA	0
6	1	rocksdb	fedora-clang-libcxx	6960085	35688013	1105540	NA	2028926	4045556	NA	0
7	1	rocksdb	fedora-clang-libcxx	7005013	42693026	1112434	NA	2267422	4789729	NA	0
8	1	rocksdb	fedora-clang-libcxx	6896556	49589582	1113658	NA	2471817	5514804	NA	0
9	1	rocksdb	fedora-clang-libcxx	4609733	54199315	1114046	NA	2613640	6059997	NA	0
10	1	rocksdb	fedora-clang-libcxx	6871322	61070637	1115088	NA	2817139	6779831	NA	0
11	1	rocksdb	fedora-clang-libcxx	6508727	67579364	1115807	NA	3003417	7453522	NA	0
12	1	rocksdb	fedora-clang-libcxx	6795812	74375176	1116209	NA	3197852	8159752	NA	0
13	1	rocksdb	fedora-clang-libcxx	8144503	82519679	1152543	NA	3696580	9110256	NA	0
14	1	rocksdb	fedora-clang-libcxx	4630836	87150515	1156845	NA	3842576	9658161	NA	0
15	1	rocksdb	fedora-clang-libcxx	4601885	91752400	1157738	NA	3984059	10199835	NA	0
16	1	rocksdb	fedora-clang-libcxx	7871542	99623942	1162068	NA	4233450	11096621	NA	0
17	1	rocksdb	fedora-clang-libcxx	4546477	104170419	1163342	NA	4373062	11627285	NA	0
18	1	rocksdb	fedora-clang-libcxx	7911559	112081978	1167242	NA	4627939	12533401	NA	0
19	1	rocksdb	fedora-clang-libcxx	7273845	119355823	1170301	NA	4843048	13312430	NA	0
20	1	rocksdb	fedora-clang-libcxx	7918504	127274327	1173361	NA	5096599	14217415	NA	0
21	1	rocksdb	fedora-clang-libcxx	4544814	131819141	1174017	NA	5234859	14747893	NA	0
22	1	rocksdb	fedora-clang-libcxx	4588757	136407898	1174650	NA	5375962	15287379	NA	0
23	1	rocksdb	fedora-clang-libcxx	7440025	143847923	1177878	NA	5603488	16097548	NA	0
24	1	rocksdb	fedora-clang-libcxx	6994969	150842892	1179929	NA	5807618	16841813	NA	0
25	1	rocksdb	fedora-clang-libcxx	7511680	158354572	1181521	NA	6035913	17668224	NA	0
26	1	rocksdb	fedora-clang-libcxx	4624550	162979122	1181943	NA	6179258	18214554	NA	0
27	1	rocksdb	fedora-clang-libcxx	7120742	170099864	1182401	NA	6385624	18962859	NA	0
28	1	rocksdb	fedora-clang-libcxx	7514422	177614286	1183074	NA	6613182	19792136	NA	0
29	1	rocksdb	fedora-clang-libcxx	7455311	185069597	1184466	NA	6841006	20602799	NA	0
30	1	rocksdb	fedora-clang-libcxx	7182246	192251843	1185799	NA	7056760	21377711	NA	0
31	1	rocksdb	fedora-clang-libcxx	7179558	199431401	1186332	NA	7265044	22138320	NA	0
32	1	rocksdb	fedora-clang-libcxx	7955499	207386900	1189181	NA	7525244	23050647	NA	0
33	1	rocksdb	fedora-clang-libcxx	5656043	213042943	1209472	NA	7850446	23741681	NA	0
34	1	rocksdb	fedora-clang-libcxx	4630656	217673599	1209997	NA	7993330	24289539	NA	0
35	1	rocksdb	fedora-clang-libcxx	8214456	225888055	1212623	NA	8274159	25254091	NA	0
36	1	rocksdb	fedora-clang-libcxx	7881742	233769797	1214263	NA	8527123	26151951	NA	0
37	1	rocksdb	fedora-clang-libcxx	7935699	241705496	1216733	NA	8788413	27059159	NA	0
38	1	rocksdb	fedora-clang-libcxx	7886029	249591525	1218353	NA	9042629	27958293	NA	0
39	1	rocksdb	fedora-clang-libcxx	8295719	257887244	1223525	NA	9340942	28933885	NA	0
40	1	rocksdb	fedora-clang-libcxx	7879812	265767056	1224689	NA	9589156	29831181	NA	0
41	1	rocksdb	fedora-clang-libcxx	7875645	273642701	1225825	NA	9838653	30727844	NA	0
42	1	rocksdb	fedora-clang-libcxx	7906098	281548799	1227766	NA	10095744	31630216	NA	0
43	1	rocksdb	fedora-clang-libcxx	8056188	289604987	1229184	NA	10357609	32557068	NA	0
44	1	rocksdb	fedora-clang-libcxx	7916798	297521785	1229492	NA	10602945	33461283	NA	0
45	1	rocksdb	fedora-clang-libcxx	7931403	305453188	1230458	NA	10854791	34370616	NA	0
46	1	rocksdb	fedora-clang-libcxx	4773161	310226349	1231502	NA	11004578	34941393	NA	0
47	1	rocksdb	fedora-clang-libcxx	7917704	318144053	1233223	NA	11251903	35846566	NA	0
48	1	rocksdb	fedora-clang-libcxx	8111875	326255928	1234334	NA	11508539	36792496	NA	0
49	1	rocksdb	fedora-clang-libcxx	299	326256227	1234462	NA	11508635	36792634	NA	0
50	1	rocksdb	fedora-clang-libcxx	8121588	334377815	1235440	NA	11769254	37738481	NA	0
51	1	rocksdb	fedora-clang-libcxx	8120655	342498470	1236243	NA	12028838	38684461	NA	0
52	1	rocksdb	fedora-clang-libcxx	8511306	351009776	1249235	NA	12383532	39704230	NA	0
