tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	rocksdb	linuxbrew	3248398	3248398	987534	NA	751209	504136	NA	0
1	1	rocksdb	linuxbrew	2298169	5546567	991117	NA	855809	851671	NA	0
2	1	rocksdb	linuxbrew	4881244	10427811	1034667	NA	1192117	1436223	NA	0
3	1	rocksdb	linuxbrew	2821865	13249676	1037726	NA	1323730	1872938	NA	0
4	1	rocksdb	linuxbrew	3049167	16298843	1042454	NA	1478905	2341195	NA	0
5	1	rocksdb	linuxbrew	3035838	19334681	1043863	NA	1619103	2806600	NA	0
6	1	rocksdb	linuxbrew	5622662	24957343	1069852	NA	1943160	3502510	NA	0
7	1	rocksdb	linuxbrew	5629742	30587085	1077294	NA	2192381	4198150	NA	0
8	1	rocksdb	linuxbrew	5530446	36117531	1078463	NA	2407235	4875496	NA	0
9	1	rocksdb	linuxbrew	2835974	38953505	1078795	NA	2538310	5315110	NA	0
10	1	rocksdb	linuxbrew	5504262	44457767	1079846	NA	2752223	5987792	NA	0
11	1	rocksdb	linuxbrew	4899300	49357067	1080367	NA	2936393	6576614	NA	0
12	1	rocksdb	linuxbrew	5428666	54785733	1080804	NA	3141415	7234972	NA	0
13	1	rocksdb	linuxbrew	6739454	61525187	1119930	NA	3652350	8140373	NA	0
14	1	rocksdb	linuxbrew	3007836	64533023	1124597	NA	3792763	8599672	NA	0
15	1	rocksdb	linuxbrew	2993921	67526944	1125388	NA	3929621	9055527	NA	0
16	1	rocksdb	linuxbrew	6450407	73977351	1129317	NA	4190014	9904962	NA	0
17	1	rocksdb	linuxbrew	2923468	76900819	1130654	NA	4324066	10347769	NA	0
18	1	rocksdb	linuxbrew	6505972	83406791	1134635	NA	4592479	11209397	NA	0
19	1	rocksdb	linuxbrew	5773728	89180519	1140010	NA	4815595	11928849	NA	0
20	1	rocksdb	linuxbrew	6512704	95693223	1142133	NA	5081299	12789920	NA	0
21	1	rocksdb	linuxbrew	2921744	98614967	1142781	NA	5214222	13232600	NA	0
22	1	rocksdb	linuxbrew	2815016	101429983	1143412	NA	5344486	13666499	NA	0
23	1	rocksdb	linuxbrew	6017501	107447484	1146393	NA	5584186	14430434	NA	0
24	1	rocksdb	linuxbrew	5619509	113066993	1147594	NA	5797908	15123384	NA	0
25	1	rocksdb	linuxbrew	6089499	119156492	1149249	NA	6037503	15904156	NA	0
26	1	rocksdb	linuxbrew	3002358	122158850	1149679	NA	6175906	16362700	NA	0
27	1	rocksdb	linuxbrew	5621725	127780575	1150141	NA	6389701	17052646	NA	0
28	1	rocksdb	linuxbrew	6091736	133872311	1150795	NA	6628661	17835240	NA	0
29	1	rocksdb	linuxbrew	5956689	139829000	1152193	NA	6864827	18587263	NA	0
30	1	rocksdb	linuxbrew	5884479	145713479	1153565	NA	7094009	19326376	NA	0
31	1	rocksdb	linuxbrew	5756941	151470420	1154079	NA	7313650	20038961	NA	0
32	1	rocksdb	linuxbrew	6534629	158005049	1156967	NA	7587713	20905143	NA	0
33	1	rocksdb	linuxbrew	4102674	162107723	1177312	NA	7912597	21522124	NA	0
34	1	rocksdb	linuxbrew	3007485	165115208	1178487	NA	8050983	21981754	NA	0
35	1	rocksdb	linuxbrew	6810026	171925234	1181441	NA	8344397	22901329	NA	0
36	1	rocksdb	linuxbrew	6460586	178385820	1183108	NA	8609731	23752933	NA	0
37	1	rocksdb	linuxbrew	6514227	184900047	1185798	NA	8882429	24612181	NA	0
38	1	rocksdb	linuxbrew	6479992	191380039	1187303	NA	9149954	25465796	NA	0
39	1	rocksdb	linuxbrew	6890984	198271023	1192742	NA	9460991	26396436	NA	0
40	1	rocksdb	linuxbrew	6458834	204729857	1193909	NA	9721300	27246179	NA	0
41	1	rocksdb	linuxbrew	6454571	211184428	1195044	NA	9982906	28095241	NA	0
42	1	rocksdb	linuxbrew	6500172	217684600	1196980	NA	10253741	28952115	NA	0
43	1	rocksdb	linuxbrew	6650679	224335279	1198384	NA	10529457	29834773	NA	0
44	1	rocksdb	linuxbrew	6495775	230831054	1198694	NA	10784758	30692230	NA	0
45	1	rocksdb	linuxbrew	6509953	237341007	1199671	NA	11049285	31553319	NA	0
46	1	rocksdb	linuxbrew	3165267	240506274	1200708	NA	11194404	32037831	NA	0
47	1	rocksdb	linuxbrew	6496862	247003136	1201758	NA	11452014	32895611	NA	0
48	1	rocksdb	linuxbrew	6706642	253709778	1202916	NA	11721180	33795887	NA	0
49	1	rocksdb	linuxbrew	315	253710093	1203048	NA	11721280	33796026	NA	0
50	1	rocksdb	linuxbrew	6716277	260426370	1204074	NA	11993618	34694965	NA	0
51	1	rocksdb	linuxbrew	6715292	267141662	1205522	NA	12266348	35594788	NA	0
52	1	rocksdb	linuxbrew	7108706	274250368	1218612	NA	12633103	36570189	NA	0
53	1	rocksdb	linuxbrew	6824949	281075317	1222746	NA	12931705	37489301	NA	0
54	1	rocksdb	linuxbrew	6895375	287970692	1229081	NA	13246495	38420715	NA	0
55	1	rocksdb	linuxbrew	6747963	294718655	1230766	NA	13526769	39327461	NA	0
56	1	rocksdb	linuxbrew	6777668	301496323	1233262	NA	13807966	40239305	NA	0
57	1	rocksdb	linuxbrew	6838237	308334560	1237016	NA	14113081	41164869	NA	0
58	1	rocksdb	linuxbrew	222	308334782	1237145	NA	14113171	41164984	NA	0
59	1	rocksdb	linuxbrew	6701169	315035951	1238222	NA	14382947	42064239	NA	0
60	1	rocksdb	linuxbrew	6756052	321792003	1239864	NA	14656876	42971704	NA	0
61	1	rocksdb	linuxbrew	6816924	328608927	1242366	NA	14944540	43891649	NA	0
62	1	rocksdb	linuxbrew	3102702	331711629	1242999	NA	15087963	44367110	NA	0
63	1	rocksdb	linuxbrew	6807639	338519268	1246017	NA	15378724	45284769	NA	0
64	1	rocksdb	linuxbrew	5096387	343615655	1247047	NA	15567119	45883726	NA	0
65	1	rocksdb	linuxbrew	6723774	350339429	1248371	NA	15840646	46783263	NA	0
66	1	rocksdb	linuxbrew	6346635	356686064	1248927	NA	16093182	47611517	NA	0
67	1	rocksdb	linuxbrew	6757287	363443351	1251097	NA	16380276	48522580	NA	0
68	1	rocksdb	linuxbrew	6765032	370208383	1253471	NA	16668622	49433431	NA	0
69	1	rocksdb	linuxbrew	6070692	376279075	1257666	NA	16906901	50208688	NA	0
70	1	rocksdb	linuxbrew	6771261	383050336	1260124	NA	17191879	51118626	NA	0
71	1	rocksdb	linuxbrew	6305169	389355505	1260877	NA	17439926	51939912	NA	0
72	1	rocksdb	linuxbrew	6758549	396114054	1263093	NA	17718069	52848494	NA	0
73	1	rocksdb	linuxbrew	6499663	402613717	1264098	NA	17980162	53707622	NA	0
74	1	rocksdb	linuxbrew	6791552	409405269	1265997	NA	18274495	54621327	NA	0
75	1	rocksdb	linuxbrew	1306020	410711289	1266755	NA	18335021	54816892	NA	0
76	1	rocksdb	linuxbrew	5918679	416629968	1268690	NA	18568902	55559671	NA	0
77	1	rocksdb	linuxbrew	6147139	422777107	1269754	NA	18812415	56348812	NA	0
78	1	rocksdb	linuxbrew	1371921	424149028	1270112	NA	18877430	56558171	NA	0
79	1	rocksdb	linuxbrew	2932299	427081327	1270659	NA	19012822	57012887	NA	0
80	1	rocksdb	linuxbrew	6315202	433396529	1273950	NA	19279078	57833111	NA	0
81	1	rocksdb	linuxbrew	6729137	440125666	1275839	NA	19556658	58734165	NA	0
82	1	rocksdb	linuxbrew	6196020	446321686	1277730	NA	19804153	59532841	NA	0
83	1	rocksdb	linuxbrew	2295360	448617046	1278269	NA	19907923	59872691	NA	0
84	1	rocksdb	linuxbrew	5709583	454326629	1279033	NA	20127032	60578086	NA	0
85	1	rocksdb	linuxbrew	5083645	459410274	1279350	NA	20312241	61174783	NA	0
86	1	rocksdb	linuxbrew	5093232	464503506	1279868	NA	20498934	61773368	NA	0
87	1	rocksdb	linuxbrew	6148940	470652446	1281331	NA	20743770	62562279	NA	0
88	1	rocksdb	linuxbrew	5905623	476558069	1282234	NA	20975952	63305381	NA	0
89	1	rocksdb	linuxbrew	6724686	483282755	1283315	NA	21253534	64209598	NA	0
90	1	rocksdb	linuxbrew	6102344	489385099	1284443	NA	21495643	64989183	NA	0
91	1	rocksdb	linuxbrew	2926429	492311528	1284770	NA	21631397	65442319	NA	0
92	1	rocksdb	linuxbrew	6316536	498628064	1288307	NA	21901010	66265910	NA	0
93	1	rocksdb	linuxbrew	5102130	503730194	1289114	NA	22087965	66866852	NA	0
94	1	rocksdb	linuxbrew	6305091	510035285	1289584	NA	22333548	67687870	NA	0
95	1	rocksdb	linuxbrew	6539970	516575255	1292100	NA	22608576	68550988	NA	0
