tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	spdlog	conan-gcc	2025821	2025821	456374	NA	485926	324124	61163	0
1	1	spdlog	conan-gcc	1632101	3657922	459246	NA	568075	584577	101314	0
2	1	spdlog	conan-gcc	1647423	5305345	459978	NA	647871	847546	141332	0
3	1	spdlog	conan-gcc	1624467	6929812	461595	NA	729903	1106456	161860	0
4	1	spdlog	conan-gcc	1631252	8561064	462191	NA	810049	1366544	175096	0
5	1	spdlog	conan-gcc	1868172	10429236	471372	NA	929170	1662831	190762	0
6	1	spdlog	conan-gcc	1424684	11853920	482398	NA	1033530	1895206	204597	0
7	1	spdlog	conan-gcc	2445683	14299603	494664	NA	1209833	2294738	231517	0
8	1	spdlog	conan-gcc	2619913	16919516	510232	NA	1340084	2725395	260254	0
9	1	spdlog	conan-gcc	2900674	19820190	576764	NA	1588045	3191476	305345	0
10	1	spdlog	conan-gcc	2910960	22731150	578820	NA	1725462	3658394	344321	0
11	1	spdlog	conan-gcc	3063679	25794829	588007	NA	1916710	4156674	363888	0
12	1	spdlog	conan-gcc	2961583	28756412	591677	NA	2060805	4625708	380751	0
13	1	spdlog	conan-gcc	208	28756620	591796	NA	2060891	4625834	380818	0
14	1	spdlog	conan-gcc	3216579	31973199	597740	NA	2219423	5131885	411765	0
15	1	spdlog	conan-gcc	2899930	34873129	599439	NA	2355749	5598189	422314	0
16	1	spdlog	conan-gcc	2902952	37776081	601211	NA	2491619	6064218	433793	0
17	1	spdlog	conan-gcc	2872925	40649006	601727	NA	2625772	6528474	441685	0
18	1	spdlog	conan-gcc	2874429	43523435	602633	NA	2761787	6993578	446609	0
19	1	spdlog	conan-gcc	2119473	45642908	602782	NA	2857221	7321245	448188	0
20	1	spdlog	conan-gcc	2890920	48533828	604114	NA	2992698	7786660	453253	0
21	1	spdlog	conan-gcc	2884768	51418596	605071	NA	3128798	8252198	455370	0
22	1	spdlog	conan-gcc	2874664	54293260	605633	NA	3263079	8716431	457009	0
23	1	spdlog	conan-gcc	2876454	57169714	606462	NA	3397126	9180724	458760	0
24	1	spdlog	conan-gcc	2895010	60064724	607669	NA	3532184	9645976	462221	0
25	1	spdlog	conan-gcc	2899744	62964468	609134	NA	3667729	10111338	466628	0
26	1	spdlog	conan-gcc	2873613	65838081	609547	NA	3801999	10575902	467687	0
27	1	spdlog	conan-gcc	2921061	68759142	612013	NA	3938494	11042696	474410	0
28	1	spdlog	conan-gcc	2874032	71633174	612467	NA	4072603	11507048	475695	0
29	1	spdlog	conan-gcc	2875147	74508321	613012	NA	4206855	11971832	476988	0
30	1	spdlog	conan-gcc	2880492	77388813	613889	NA	4341090	12436139	479443	0
31	1	spdlog	conan-gcc	2895326	80284139	615379	NA	4476213	12902515	482117	0
32	1	spdlog	conan-gcc	2888756	83172895	616533	NA	4611973	13367849	485021	0
33	1	spdlog	conan-gcc	2882400	86055295	617542	NA	4747125	13832828	487622	0
34	1	spdlog	conan-gcc	2881824	88937119	618510	NA	4882554	14298055	489858	0
