tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	spdlog	debian-gcc	1983914	1983914	446245	NA	474865	316850	57337	0
1	1	spdlog	debian-gcc	1593451	3577365	452084	NA	555183	570217	94230	0
2	1	spdlog	debian-gcc	1608736	5186101	452828	NA	632436	826069	130329	0
3	1	spdlog	debian-gcc	1585661	6771762	454454	NA	711641	1077857	153404	0
4	1	spdlog	debian-gcc	1592450	8364212	455061	NA	788891	1330899	163658	0
5	1	spdlog	debian-gcc	1827283	10191495	464171	NA	905109	1620347	179449	0
6	1	spdlog	debian-gcc	1390004	11581499	473977	NA	1006644	1847050	194004	0
7	1	spdlog	debian-gcc	2397352	13978851	486282	NA	1180055	2238825	219665	0
8	1	spdlog	debian-gcc	2571286	16550137	502042	NA	1307592	2661787	249829	0
9	1	spdlog	debian-gcc	2845481	19395618	566203	NA	1551518	3119175	292949	0
10	1	spdlog	debian-gcc	2854797	22250415	568230	NA	1686490	3577486	329354	0
11	1	spdlog	debian-gcc	3005862	25256277	577002	NA	1874118	4066683	346010	0
12	1	spdlog	debian-gcc	2904803	28161080	580624	NA	2015411	4527261	364345	0
13	1	spdlog	debian-gcc	200	28161280	580739	NA	2015493	4527384	364412	0
14	1	spdlog	debian-gcc	3150473	31311753	586253	NA	2170954	5023859	390013	0
15	1	spdlog	debian-gcc	2844703	34156456	587934	NA	2304818	5481549	396459	0
16	1	spdlog	debian-gcc	2847153	37003609	589681	NA	2438195	5939005	411396	0
17	1	spdlog	debian-gcc	2818044	39821653	590155	NA	2569679	6394673	416628	0
18	1	spdlog	debian-gcc	2819971	42641624	591065	NA	2703123	6851256	421757	0
19	1	spdlog	debian-gcc	2069917	44711541	591225	NA	2796125	7171066	423562	0
20	1	spdlog	debian-gcc	2835818	47547359	592553	NA	2929121	7627840	428030	0
21	1	spdlog	debian-gcc	2829848	50377207	593494	NA	3062720	8084814	430059	0
22	1	spdlog	debian-gcc	2820030	53197237	594065	NA	3194342	8540459	431529	0
23	1	spdlog	debian-gcc	2821761	56018998	594866	NA	3325753	8996141	433188	0
24	1	spdlog	debian-gcc	2839919	58858917	596035	NA	3458258	9452891	436853	0
25	1	spdlog	debian-gcc	2843663	61702580	597438	NA	3591260	9909634	440963	0
26	1	spdlog	debian-gcc	2819076	64521656	597829	NA	3722866	10365599	441956	0
27	1	spdlog	debian-gcc	2865198	67386854	600197	NA	3856880	10823917	448653	0
28	1	spdlog	debian-gcc	2819451	70206305	600649	NA	3988375	11279747	449896	0
29	1	spdlog	debian-gcc	2820551	73026856	601179	NA	4120024	11735981	451172	0
30	1	spdlog	debian-gcc	2825665	75852521	602057	NA	4251749	12191743	453564	0
31	1	spdlog	debian-gcc	2838660	78691181	603373	NA	4384318	12649484	455695	0
32	1	spdlog	debian-gcc	2833665	81524846	604533	NA	4517560	13106250	458537	0
33	1	spdlog	debian-gcc	2827351	84352197	605548	NA	4650176	13562632	461053	0
34	1	spdlog	debian-gcc	2827026	87179223	606517	NA	4783068	14019273	463263	0
