tu	pass	project	env	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	spdlog	linuxbrew	2040618	2040618	441947	NA	474121	316491	55467	0
1	1	spdlog	linuxbrew	1623517	3664135	447731	NA	553704	569429	91161	0
2	1	spdlog	linuxbrew	1639628	5303763	448342	NA	630111	824886	125873	0
3	1	spdlog	linuxbrew	1615226	6918989	450231	NA	708351	1075803	150141	0
4	1	spdlog	linuxbrew	1622687	8541676	450815	NA	784785	1328034	166455	0
5	1	spdlog	linuxbrew	1883954	10425630	459837	NA	899993	1617084	183105	0
6	1	spdlog	linuxbrew	1428192	11853822	469456	NA	1000827	1843506	195568	0
7	1	spdlog	linuxbrew	2466875	14320697	481506	NA	1172764	2234550	218930	0
8	1	spdlog	linuxbrew	2636880	16957577	496902	NA	1298782	2656324	246187	0
9	1	spdlog	linuxbrew	2912980	19870557	559645	NA	1540378	3112469	285403	0
10	1	spdlog	linuxbrew	2922905	22793462	561663	NA	1673698	3569310	319038	0
11	1	spdlog	linuxbrew	2894450	25687912	562555	NA	1805262	4024537	331201	0
12	1	spdlog	linuxbrew	2972546	28660458	565882	NA	1944867	4483399	344511	0
13	1	spdlog	linuxbrew	214	28660672	566006	NA	1944956	4483515	344585	0
14	1	spdlog	linuxbrew	3236525	31897197	579637	NA	2139954	4979216	371736	0
15	1	spdlog	linuxbrew	2913535	34810732	581322	NA	2272332	5435496	378180	0
16	1	spdlog	linuxbrew	2915652	37726384	583040	NA	2404208	5891503	389023	0
17	1	spdlog	linuxbrew	2885578	40611962	583551	NA	2534274	6345910	395186	0
18	1	spdlog	linuxbrew	2886841	43498803	584644	NA	2666283	6801152	398794	0
19	1	spdlog	linuxbrew	2125331	45624134	584797	NA	2758270	7120013	400197	0
20	1	spdlog	linuxbrew	2904039	48528173	586144	NA	2889866	7575350	404717	0
21	1	spdlog	linuxbrew	2897797	51425970	587082	NA	3021996	8031087	406791	0
22	1	spdlog	linuxbrew	2887608	54313578	587645	NA	3152211	8485557	408247	0
23	1	spdlog	linuxbrew	2890481	57204059	588524	NA	3282175	8940139	410053	0
24	1	spdlog	linuxbrew	2906945	60111004	589633	NA	3413345	9395452	413113	0
25	1	spdlog	linuxbrew	2911217	63022221	591048	NA	3544854	9850883	416995	0
26	1	spdlog	linuxbrew	2886027	65908248	591428	NA	3675056	10305605	417934	0
27	1	spdlog	linuxbrew	2934652	68842900	593782	NA	3807573	10762391	424270	0
28	1	spdlog	linuxbrew	2886367	71729267	594196	NA	3937637	11216959	425405	0
29	1	spdlog	linuxbrew	2887708	74616975	594722	NA	4067856	11671889	426628	0
30	1	spdlog	linuxbrew	2892862	77509837	595530	NA	4198113	12126393	428854	0
31	1	spdlog	linuxbrew	2907291	80417128	597024	NA	4329277	12582901	431475	0
32	1	spdlog	linuxbrew	2901114	83318242	598091	NA	4461123	13038322	434138	0
33	1	spdlog	linuxbrew	2895630	86213872	599081	NA	4592332	13493425	436680	0
34	1	spdlog	linuxbrew	2894207	89108079	600001	NA	4723787	13948712	438742	0
35	1	spdlog	linuxbrew	3103112	92211191	601172	NA	4861746	14439667	447576	0
36	1	spdlog	linuxbrew	3113037	95324228	601244	NA	4999676	14931459	454237	0
37	1	spdlog	linuxbrew	3084582	98408810	601307	NA	5137132	15421541	457145	0
38	1	spdlog	linuxbrew	3162678	101571488	601371	NA	5275780	15915367	468506	0
39	1	spdlog	linuxbrew	214	101571702	601422	NA	5275802	15915483	468530	0
40	1	spdlog	linuxbrew	3426657	104998359	601486	NA	5425474	16445680	486693	0
41	1	spdlog	linuxbrew	3103667	108102026	601550	NA	5563250	16936819	491015	0
42	1	spdlog	linuxbrew	3105784	111207810	601614	NA	5700945	17427715	495336	0
43	1	spdlog	linuxbrew	3075710	114283520	601677	NA	5838179	17916928	496732	0
44	1	spdlog	linuxbrew	3076973	117360493	601740	NA	5975623	18406815	498968	0
45	1	spdlog	linuxbrew	2125331	119485824	601792	NA	6067540	18725676	501230	0
46	1	spdlog	linuxbrew	3094171	122579995	601856	NA	6205070	19215858	505503	0
47	1	spdlog	linuxbrew	3087929	125667924	601919	NA	6342628	19706349	507606	0
