tu	pass	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	1836	1836	789323	NA	746	575	NA	0
1	1	3726840	3728676	1018991	NA	891449	587781	NA	0
2	1	3341805	7070481	1021127	NA	1052702	1119578	NA	0
3	1	3871485	10941966	1032554	NA	1298796	1718077	NA	0
4	1	2894389	13836355	1037384	NA	1434282	2182413	NA	0
5	1	3910918	17747273	1040512	NA	1612463	2784750	NA	0
6	1	3977380	21724653	1045648	NA	1809792	3398541	NA	0
7	1	4423246	26147899	1056093	NA	2068968	4086364	NA	0
8	1	3224620	29372519	1074667	NA	2287411	4608078	NA	0
9	1	3022248	32394767	1085963	NA	2453230	5093124	NA	0
10	1	3755417	36150184	1091651	NA	2641305	5690193	NA	0
11	1	3423516	39573700	1093876	NA	2807119	6234603	NA	0
12	1	3591597	43165297	1097355	NA	2990726	6806543	NA	0
13	1	3547473	46712770	1098175	NA	3157865	7369351	NA	0
14	1	3893927	50606697	1099170	NA	3332227	7970443	NA	0
15	1	3770999	54377696	1102904	NA	3512796	8556010	NA	0
16	1	3608859	57986555	1121532	NA	3717961	9128267	NA	0
17	1	2807366	60793921	1121916	NA	3846087	9574414	NA	0
18	1	3437381	64231302	1127278	NA	4029467	10126985	NA	0
19	1	3531244	67762546	1132161	NA	4181025	10664719	NA	0
20	1	3854245	71616791	1133955	NA	4353454	11264755	NA	0
21	1	4987004	76603795	1168458	NA	4782374	12028360	NA	0
22	1	2098275	78702070	1169311	NA	4879646	12353921	NA	0
23	1	3758634	82460704	1169880	NA	5047171	12935477	NA	0
24	1	4102983	86563687	1175351	NA	5255872	13577236	NA	0
25	1	2824953	89388640	1175762	NA	5384559	14029245	NA	0
26	1	3666182	93054822	1179822	NA	5569554	14614429	NA	0
27	1	3473988	96528810	1180416	NA	5726734	15168147	NA	0
28	1	3563242	100092052	1182728	NA	5902075	15734663	NA	0
29	1	3936287	104028339	1184008	NA	6081569	16344006	NA	0
30	1	3971101	107999440	1187648	NA	6282009	16973822	NA	0
31	1	3633439	111632879	1189565	NA	6454642	17549782	NA	0
32	1	1694908	113327787	1191623	NA	6535499	17807837	NA	0
33	1	3149329	116477116	1192015	NA	6672660	18297718	NA	0
34	1	2886351	119363467	1193108	NA	6806855	18760783	NA	0
35	1	3700722	123064189	1194328	NA	6981118	19347117	NA	0
36	1	3508974	126573163	1196426	NA	7148270	19901055	NA	0
37	1	3500367	130073530	1199215	NA	7322764	20454647	NA	0
38	1	3971550	134045080	1202104	NA	7516660	21069692	NA	0
39	1	2394412	136439492	1202501	NA	7626374	21448699	NA	0
40	1	3541553	139981045	1203754	NA	7778523	21987786	NA	0
41	1	4360803	144341848	1207239	NA	7992773	22656116	NA	0
42	1	4455883	148797731	1208819	NA	8197216	23342188	NA	0
43	1	3528182	152325913	1209429	NA	8346981	23879787	NA	0
44	1	4160577	156486490	1211890	NA	8541708	24528945	NA	0
45	1	3447564	159934054	1212758	NA	8694164	25064653	NA	0
46	1	2968010	162902064	1224631	NA	8860598	25541396	NA	0
47	1	3175279	166077343	1247036	NA	9061064	26031172	NA	0
48	1	4578134	170655477	1250313	NA	9279557	26739679	NA	0
49	1	4614383	175269860	1255956	NA	9516563	27462273	NA	0
50	1	4158627	179428487	1257521	NA	9705956	28112194	NA	0
51	1	3717490	183145977	1258214	NA	9871075	28678426	NA	0
52	1	3579788	186725765	1258819	NA	10022202	29223600	NA	0
53	1	4934852	191660617	1268831	NA	10296809	29996823	NA	0
54	1	2822997	194483614	1269629	NA	10425378	30437231	NA	0
55	1	3679603	198163217	1271034	NA	10600545	31010995	NA	0
56	1	4156384	202319601	1273422	NA	10796158	31660752	NA	0
57	1	3892276	206211877	1275361	NA	10979174	32281581	NA	0
58	1	4122406	210334283	1276556	NA	11168550	32922907	NA	0
59	1	2236738	212571021	1276986	NA	11270011	33271581	NA	0
60	1	2919850	215490871	1277681	NA	11404201	33740164	NA	0
61	1	3337365	218828236	1278055	NA	11556326	34277460	NA	0
62	1	3393617	222221853	1283446	NA	11726688	34825684	NA	0
63	1	4192631	226414484	1287471	NA	11936643	35480454	NA	0
64	1	4091388	230505872	1288922	NA	12126882	36117238	NA	0
65	1	4506253	235012125	1290378	NA	12335015	36818994	NA	0
66	1	3238369	238250494	1291263	NA	12476027	37321265	NA	0
67	1	4715745	242966239	1295214	NA	12713384	38069153	NA	0
68	1	3527210	246493449	1297795	NA	12886565	38632885	NA	0
69	1	4179925	250673374	1299927	NA	13080770	39288453	NA	0
70	1	4390269	255063643	1304355	NA	13294972	39975103	NA	0
71	1	3612747	258676390	1305379	NA	13463751	40547838	NA	0
72	1	3544789	262221179	1306545	NA	13632748	41115870	NA	0
73	1	4062778	266283957	1307621	NA	13815019	41747782	NA	0
74	1	3342950	269626907	1308002	NA	13962760	42272444	NA	0
75	1	4195677	273822584	1309641	NA	14161312	42920201	NA	0
76	1	4317460	278140044	1313278	NA	14368329	43588189	NA	0
77	1	3962533	282102577	1315054	NA	14548378	44204440	NA	0
78	1	3653738	285756315	1319398	NA	14741468	44787576	NA	0
79	1	4360662	290116977	1324123	NA	14958325	45471872	NA	0
80	1	3641496	293758473	1326706	NA	15140037	46054769	NA	0
81	1	4854234	298612707	1328427	NA	15365915	46811574	NA	0
82	1	1633591	300246298	1328623	NA	15442087	47059232	NA	0
83	1	3944700	304190998	1331435	NA	15641012	47666781	NA	0
84	1	5042057	309233055	1335209	NA	15882380	48441502	NA	0
85	1	3659721	312892776	1337300	NA	16058366	49022850	NA	0
86	1	2144976	315037752	1337582	NA	16155697	49360264	NA	0
87	1	3561155	318598907	1338389	NA	16321847	49923093	NA	0
88	1	3556695	322155602	1338693	NA	16479008	50485159	NA	0
89	1	3272470	325428072	1339470	NA	16623822	50995615	NA	0
90	1	3461960	328890032	1340089	NA	16778571	51542989	NA	0
91	1	3523849	332413881	1340467	NA	16926808	52079479	NA	0
92	1	3489699	335903580	1341610	NA	17089319	52630843	NA	0
93	1	3220543	339124123	1342392	NA	17235438	53138226	NA	0
94	1	3249087	342373210	1342890	NA	17380823	53652114	NA	0
95	1	4333113	346706323	1346178	NA	17597732	54324080	NA	0
96	1	3517462	350223785	1347067	NA	17747868	54861287	NA	0
97	1	3547675	353771460	1350270	NA	17924289	55419366	NA	0
98	1	3179678	356951138	1351255	NA	18071621	55931414	NA	0
99	1	3859590	360810728	1352036	NA	18249952	56540810	NA	0
100	1	3433195	364243923	1352970	NA	18407503	57092611	NA	0
101	1	3071572	367315495	1354173	NA	18604232	57591808	NA	0
102	1	3525715	370841210	1354728	NA	18761346	58147751	NA	0
103	1	5110625	375951835	1373800	NA	19103421	58953290	NA	0
104	1	3463434	379415269	1374448	NA	19258558	59500373	NA	0
105	1	3540687	382955956	1375112	NA	19416481	60062350	NA	0
106	1	3244383	386200339	1375734	NA	19561971	60574372	NA	0
107	1	3662822	389863161	1376712	NA	19726604	61137233	NA	0
108	1	4307369	394170530	1378924	NA	19929579	61806643	NA	0
109	1	4136276	398306806	1379629	NA	20115652	62442633	NA	0
110	1	2776734	401083540	1380364	NA	20243791	62887691	NA	0
111	1	3350332	404433872	1381054	1216755	20396215	63425515	NA	1
112	1	3439469	407873341	2090720	1216755	20591174	63966607	NA	0
113	1	4692869	412566210	2095150	1216755	20829329	64703480	NA	0
114	1	2637187	415203397	2095868	1216755	20947471	65106654	NA	0
115	1	681	415204078	2096068	1216755	20947655	65106863	NA	0
116	1	2409700	417613778	2097382	1216755	21056745	65488346	NA	0
117	1	2524092	420137870	2097878	1216755	21168992	65877192	NA	0
118	1	3294128	423431998	2099083	1216755	21322838	66405363	NA	0
119	1	3798909	427230907	2099892	1216755	21495249	66997066	NA	0
120	1	3950423	431181330	2102410	1216755	21681707	67612184	NA	0
121	1	3063938	434245268	2102881	1216755	21816795	68089097	NA	0
122	1	2856621	437101889	2103519	1216755	21943057	68536666	NA	0
123	1	5042192	442144081	2116467	1216755	22253958	69333811	NA	0
124	1	4617031	446761112	2119502	1216755	22471325	70057260	NA	0
125	1	2072253	448833365	2120225	1216755	22566597	70380468	NA	0
126	1	2568030	451401395	2122318	1216755	22705837	70782769	NA	0
127	1	4567300	455968695	2137505	1216755	22998107	71493241	NA	0
128	1	3953449	459922144	2138188	1216755	23175112	72105977	NA	0
129	1	1955142	461877286	2139778	1216755	23269318	72406008	NA	0
130	1	1647856	463525142	2140766	1216755	23353393	72658868	NA	0
131	1	2236210	465761352	2145449	1216755	23494518	72983858	NA	0
132	1	2592390	468353742	2147737	1216755	23622454	73380962	NA	0
133	1	1743095	470096837	2150067	1216755	23744482	73657077	NA	0
134	1	2022895	472119732	2153072	1216755	23866140	73976878	NA	0
135	1	2052673	474172405	2157654	1216755	23971314	74298859	NA	0
136	1	1976770	476149175	2158719	1216755	24063738	74602907	NA	0
137	1	2369083	478518258	2161725	1216755	24185430	74969917	NA	0
138	1	1856721	480374979	2162361	1216755	24271600	75256205	NA	0
139	1	2076342	482451321	2163539	1216755	24363603	75566665	NA	0
140	1	1927715	484379036	2164389	1216755	24452324	75861720	NA	0
141	1	1758615	486137651	2165141	1216755	24537558	76131974	NA	0
142	1	1962959	488100610	2166645	1216755	24636275	76440490	NA	0
143	1	2301824	490402434	2168585	1216755	24759302	76801343	NA	0
144	1	4466037	494868471	2180109	1216755	25032394	77504684	NA	0
145	1	2786401	497654872	2184166	1216755	25182575	77944017	NA	0
146	1	4042791	501697663	2188187	1216755	25381247	78568589	NA	0
147	1	2341791	504039454	2188944	1216755	25487279	78938155	NA	0
148	1	5338306	509377760	2206083	1216755	25821916	79759852	NA	0
149	1	3345805	512723565	2206628	1216755	25973575	80294084	NA	0
150	1	3226990	515950555	2207153	1216755	26118934	80809205	NA	0
151	1	3603368	519553923	2209451	1216755	26285655	81362109	NA	0
152	1	2002292	521556215	2210526	1216755	26379454	81672040	NA	0
153	1	3593725	525149940	2215767	1216755	26570704	82250517	NA	0
154	1	3270700	528420640	2216663	1216755	26721275	82777877	NA	0
155	1	3103667	531524307	2217443	1216755	26863573	83276215	NA	0
156	1	2318918	533843225	2217920	1216755	26968070	83633526	NA	0
157	1	2324434	536167659	2218541	1216755	27073152	83991745	NA	0
158	1	2859562	539027221	2219533	1216755	27205170	84442464	NA	0
159	1	2745201	541772422	2220273	1216755	27331790	84875214	NA	0
160	1	5268437	547040859	2266801	1216755	27825916	85720172	NA	0
161	1	3901021	550941880	2267973	1216755	28011105	86347773	NA	0
162	1	5648896	556590776	2271567	1216755	28281595	87242351	NA	0
163	1	4647203	561237979	2276536	1216755	28513364	87964230	NA	0
164	1	5384109	566622088	2281551	1216755	28786216	88825712	NA	0
165	1	3757878	570379966	2283731	1216755	28970937	89430402	NA	0
166	1	4255021	574634987	2284846	1216755	29171955	90114439	NA	0
167	1	4422666	579057653	2286150	1216755	29384311	90827514	NA	0
168	1	3665053	582722706	2286982	1216755	29553942	91402894	NA	0
169	1	6169470	588892176	2293574	1216755	29871745	92387852	NA	0
170	1	5098648	593990824	2298857	1216755	30127447	93189126	NA	0
171	1	4376001	598366825	2300945	1216755	30341105	93892475	NA	0
172	1	4191388	602558213	2302207	1216755	30541375	94563903	NA	0
173	1	4459467	607017680	2306573	1216755	30773293	95284906	NA	0
174	1	5079225	612096905	2308022	1216755	31016422	96098138	NA	0
175	1	4068126	616165031	2314597	1216755	31232876	96747959	NA	0
176	1	4262079	620427110	2316386	1216755	31434663	97434474	NA	0
177	1	4530667	624957777	2317400	1216755	31650675	98161887	NA	0
178	1	4484470	629442247	2318484	1216755	31856560	98867414	NA	0
179	1	2004029	631446276	2318818	1216755	31949668	99176694	NA	0
180	1	6572910	638019186	2329502	1216755	32322234	100234489	NA	0
181	1	3576456	641595642	2332049	1216755	32500976	100805287	NA	0
182	1	5937659	647533301	2335698	1216755	32791102	101746699	NA	0
183	1	5258676	652791977	2337172	1216755	33040680	102590104	NA	0
184	1	3933920	656725897	2337845	1216755	33229405	103220956	NA	0
185	1	4009788	660735685	2339218	1216755	33423175	103865619	NA	0
186	1	5365076	666100761	2342029	1216755	33686042	104729815	NA	0
187	1	3855476	669956237	2342675	1216755	33862175	105328859	NA	0
188	1	5658648	675614885	2343689	1216755	34124561	106227934	NA	0
189	1	4427369	680042254	2346565	1216755	34347438	106939444	NA	0
190	1	3511244	683553498	2347119	1216755	34515426	107499076	NA	0
191	1	4067346	687620844	2347492	1216755	34707132	108148563	NA	0
192	1	4183656	691804500	2349079	1216755	34906159	108818272	NA	0
193	1	5805682	697610182	2351240	1216755	35184055	109737159	NA	0
194	1	4353898	701964080	2352396	1216755	35390621	110435006	NA	0
195	1	4100812	706064892	2353202	1216755	35571584	111069112	NA	0
196	1	4401194	710466086	2354592	1216755	35770861	111754004	NA	0
197	1	4461010	714927096	2360536	1216755	36016436	112471310	NA	0
198	1	4155406	719082502	2360960	1216755	36213160	113135891	NA	0
199	1	5241132	724323634	2361461	1216755	36461089	113972251	NA	0
200	1	4936312	729259946	2362802	1216755	36691273	114739507	NA	0
201	1	3950832	733210778	2363234	1216755	36874252	115361166	NA	0
202	1	2931169	736141947	2364638	1216755	37012713	115832610	NA	0
203	1	1688438	737830385	2365013	1216755	37092401	116089521	NA	0
204	1	5268727	743099112	2366042	1216755	37331686	116915038	NA	0
205	1	3982502	747081614	2367737	1216755	37517158	117531818	NA	0
206	1	4195997	751277611	2369614	1216755	37714947	118193575	NA	0
207	1	4582935	755860546	2371831	1216755	37927273	118907148	NA	0
208	1	5334740	761195286	2374347	1216755	38189930	119762392	NA	0
209	1	4315671	765510957	2375732	1216755	38397185	120453016	NA	0
210	1	3702869	769213826	2376657	1216755	38569676	121042651	NA	0
211	1	4337756	773551582	2377325	1216755	38776852	121737117	NA	0
212	1	3960306	777511888	2378276	1216755	38952132	122345300	NA	0
213	1	4585437	782097325	2382911	1216755	39189233	123084877	NA	0
214	1	4801319	786898644	2385678	1216755	39427418	123858655	NA	0
215	1	3966339	790864983	2386583	1216755	39617934	124496796	NA	0
216	1	5927127	796792110	2388179	1216755	39893634	125435606	NA	0
217	1	5807979	802600089	2389952	1216755	40166831	126356159	NA	0
218	1	3325029	805925118	2390928	1216755	40314908	126874841	NA	0
219	1	3926663	809851781	2392839	1216755	40497857	127478714	NA	0
220	1	5514995	815366776	2393719	1216755	40758542	128363866	NA	0
221	1	5063745	820430521	2394611	1216755	40997763	129176038	NA	0
222	1	3389531	823820052	2395328	1216755	41154343	129715059	NA	0
223	1	3970700	827790752	2396632	2072572	41338140	130335389	NA	1
224	1	3304528	831095280	2626124	2072572	41493873	130878561	NA	0
225	1	4952868	836048148	2629133	2072572	41735879	131658108	NA	0
226	1	5004357	841052505	2632684	2072572	41976935	132441550	NA	0
227	1	3999060	845051565	2633647	2072572	42166737	133085739	NA	0
228	1	2159102	847210667	2633994	2072572	42263914	133411202	NA	0
229	1	2069876	849280543	2635998	2072572	42364565	133735865	NA	0
230	1	2209656	851490199	2636957	2072572	42471626	134084359	NA	0
231	1	2179436	853669635	2642024	2072572	42602394	134426126	NA	0
232	1	1818393	855488028	2642297	2072572	42687984	134706841	NA	0
233	1	2102699	857590727	2643890	2072572	42786726	135037485	NA	0
234	1	2166499	859757226	2646276	2072572	42887227	135376187	NA	0
235	1	2105967	861863193	2647765	2072572	42991669	135704697	NA	0
236	1	2187660	864050853	2649098	2072572	43095388	136045571	NA	0
237	1	2065749	866116602	2649969	2072572	43192602	136372394	NA	0
238	1	2079620	868196222	2651168	2072572	43288893	136697273	NA	0
239	1	2052892	870249114	2651855	2072572	43385130	137022427	NA	0
240	1	1976277	872225391	2652311	2072572	43476840	137332672	NA	0
241	1	2063528	874288919	2653549	2072572	43574103	137659520	NA	0
242	1	2053479	876342398	2654406	2072572	43672353	137984802	NA	0
243	1	2050152	878392550	2655147	2072572	43767582	138308540	NA	0
244	1	1886986	880279536	2655392	2072572	43854931	138604791	NA	0
245	1	1977267	882256803	2656224	2072572	43947075	138914808	NA	0
246	1	2212855	884469658	2657877	2072572	44051059	139263392	NA	0
247	1	1973876	886443534	2658250	2072572	44141928	139573101	NA	0
